#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=Все побочки, которые только от него могут быть, воплотились в одном состоянии.
1-1	0-3	Все	_	_	
1-2	4-11	побочки	_	_	
1-3	11-12	,	_	_	
1-4	13-20	которые	_	_	
1-5	21-27	только	_	_	
1-6	28-30	от	_	_	
1-7	31-35	него	_	_	
1-8	36-41	могут	_	_	
1-9	42-46	быть	_	_	
1-10	46-47	,	_	_	
1-11	48-59	воплотились	_	_	
1-12	60-61	в	_	_	
1-13	62-67	одном	_	_	
1-14	68-77	состоянии	_	_	
1-15	77-78	.	_	_	

#Text=Приняла полтаблетки за полчаса до сна, заснула, как будто провалилась куда-то... через час открылись глаза и началось, тело горит, во рту пересохло, язык к небу прилипает, встала такая вялость.
2-1	79-86	Приняла	_	_	
2-2	87-98	полтаблетки	_	_	
2-3	99-101	за	_	_	
2-4	102-109	полчаса	_	_	
2-5	110-112	до	_	_	
2-6	113-116	сна	_	_	
2-7	116-117	,	_	_	
2-8	118-125	заснула	_	_	
2-9	125-126	,	_	_	
2-10	127-130	как	_	_	
2-11	131-136	будто	_	_	
2-12	137-148	провалилась	_	_	
2-13	149-156	куда-то	_	_	
2-14	156-159	...	_	_	
2-15	160-165	через	*[1]	ADR[1]	
2-16	166-169	час	*[1]	ADR[1]	
2-17	170-179	открылись	*[1]	ADR[1]	
2-18	180-185	глаза	*[1]	ADR[1]	
2-19	186-187	и	_	_	
2-20	188-196	началось	_	_	
2-21	196-197	,	_	_	
2-22	198-202	тело	*[2]	ADR[2]	
2-23	203-208	горит	*[2]	ADR[2]	
2-24	208-209	,	_	_	
2-25	210-212	во	*[3]	ADR[3]	
2-26	213-216	рту	*[3]	ADR[3]	
2-27	217-226	пересохло	*[3]	ADR[3]	
2-28	226-227	,	_	_	
2-29	228-232	язык	*[4]	ADR[4]	
2-30	233-234	к	*[4]	ADR[4]	
2-31	235-239	небу	*[4]	ADR[4]	
2-32	240-249	прилипает	*[4]	ADR[4]	
2-33	249-250	,	_	_	
2-34	251-257	встала	_	_	
2-35	258-263	такая	_	_	
2-36	264-271	вялость	*	ADR	
2-37	271-272	.	_	_	

#Text=В итоге выпиоа Полисорб, чтобы промыться.
3-1	273-274	В	_	_	
3-2	275-280	итоге	_	_	
3-3	281-287	выпиоа	_	_	
3-4	288-296	Полисорб	*	Drugname	
3-5	296-297	,	_	_	
3-6	298-303	чтобы	_	_	
3-7	304-313	промыться	_	_	
3-8	313-314	.	_	_	

#Text=Больше не буду принимать никогла Общее впечатление : Ужас!
4-1	315-321	Больше	_	_	
4-2	322-324	не	_	_	
4-3	325-329	буду	_	_	
4-4	330-339	принимать	_	_	
4-5	340-347	никогла	_	_	
4-6	348-353	Общее	_	_	
4-7	354-365	впечатление	_	_	
4-8	366-367	:	_	_	
4-9	368-372	Ужас	_	_	
4-10	372-373	!	_	_	

#Text=RATING 1 NOTE
5-1	374-380	RATING	_	_	
5-2	381-382	1	_	_	
5-3	383-387	NOTE	_	_	
