#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=webanno.custom.SentenceLink|referenceRelation|referenceType


#Text=Имунал можно использовать как для поддержания иммунитета, так и для сокращения времени простудных и вирусных заболеваний.
1-1	0-6	Имунал	*	Drugname	_	_	
1-2	7-12	можно	_	_	_	_	
1-3	13-25	использовать	_	_	_	_	
1-4	26-29	как	_	_	_	_	
1-5	30-33	для	_	_	_	_	
1-6	34-45	поддержания	*[1]	DI[1]	_	_	
1-7	46-56	иммунитета	*[1]	DI[1]	_	_	
1-8	56-57	,	_	_	_	_	
1-9	58-61	так	_	_	_	_	
1-10	62-63	и	_	_	_	_	
1-11	64-67	для	_	_	_	_	
1-12	68-78	сокращения	_	_	_	_	
1-13	79-86	времени	_	_	_	_	
1-14	87-97	простудных	*	DI	_	_	
1-15	98-99	и	_	_	_	_	
1-16	100-108	вирусных	*[2]	DI[2]	_	_	
1-17	109-120	заболеваний	*[2]	DI[2]	_	_	
1-18	120-121	.	_	_	_	_	

#Text=Его можно давать и маленьким детям (С 1 года).
2-1	122-125	Его	_	_	_	_	
2-2	126-131	можно	_	_	_	_	
2-3	132-138	давать	_	_	_	_	
2-4	139-140	и	_	_	_	_	
2-5	141-150	маленьким	_	_	_	_	
2-6	151-156	детям	_	_	_	_	
2-7	157-158	(	_	_	_	_	
2-8	158-159	С	_	_	_	_	
2-9	160-161	1	_	_	_	_	
2-10	162-166	года	_	_	_	_	
2-11	166-167	)	_	_	_	_	
2-12	167-168	.	_	_	_	_	

#Text=Наша семья использует иммунал для поддержания иммунитета 2 раза в год осенью и весной.
3-1	169-173	Наша	_	_	_	_	
3-2	174-179	семья	_	_	_	_	
3-3	180-190	использует	_	_	_	_	
3-4	191-198	иммунал	*	Drugname	_	_	
3-5	199-202	для	_	_	_	_	
3-6	203-214	поддержания	*[3]	DI[3]	_	_	
3-7	215-225	иммунитета	*[3]	DI[3]	_	_	
3-8	226-227	2	_	_	_	_	
3-9	228-232	раза	_	_	_	_	
3-10	233-234	в	_	_	_	_	
3-11	235-238	год	_	_	_	_	
3-12	239-245	осенью	_	_	_	_	
3-13	246-247	и	_	_	_	_	
3-14	248-254	весной	_	_	_	_	
3-15	254-255	.	_	_	_	_	

#Text=Препаратом довольны!
4-1	256-266	Препаратом	_	_	_	_	
4-2	267-275	довольны	_	_	_	_	
4-3	275-276	!	_	_	_	_	

#Text=И советуем всем укреплять свой иммунитет, помогая тем самом своему организму.
5-1	277-278	И	_	_	_	_	
5-2	279-287	советуем	_	_	_	_	
5-3	288-292	всем	_	_	_	_	
5-4	293-302	укреплять	_	_	_	_	
5-5	303-307	свой	_	_	_	_	
5-6	308-317	иммунитет	_	_	_	_	
5-7	317-318	,	_	_	_	_	
5-8	319-326	помогая	_	_	_	_	
5-9	327-330	тем	_	_	_	_	
5-10	331-336	самом	_	_	_	_	
5-11	337-343	своему	_	_	_	_	
5-12	344-353	организму	_	_	_	_	
5-13	353-354	.	_	_	_	_	

#Text=Общее впечатление : помогает сократить время болезни RATING 4 NOTE
6-1	355-360	Общее	_	_	*->1-1	EF[1]	
6-2	361-372	впечатление	_	_	*->1-1	EF[1]	
6-3	373-374	:	_	_	*->1-1	EF[1]	
6-4	375-383	помогает	_	_	*->1-1	EF[1]	
6-5	384-393	сократить	_	_	*->1-1	EF[1]	
6-6	394-399	время	_	_	*->1-1	EF[1]	
6-7	400-407	болезни	_	_	*->1-1	EF[1]	
6-8	408-414	RATING	_	_	*->1-1	EF[1]	
6-9	415-416	4	_	_	*->1-1	EF[1]	
6-10	417-421	NOTE	_	_	*->1-1	EF[1]	
