,id,comment_id,drug_id,sentence_index,sentences,ADR,WD,EF,INF,SSI,DI,Findings,others,rating,category
4582,123.0,18.0,EffexorXR.18,17.0,DO NOT TAKE THIS MEDICATION!,0,0.0,0,0,0.0,0,0.0,1,1.0,snri
2384,893.0,156.0,zoloft.156,2.0,"As I am reading this forum, I noticed one or two (maybe same person) people using bad language & ""dissing"" the use of Zoloft.",0,0.0,0,0,0.0,0,0.0,1,5.0,ssri
5106,647.0,103.0,effexorXR.103,15.0,"I did try 150mg a day for a week, but the benefits didn't increase.",0,0.0,1,0,0.0,0,0.0,0,3.0,snri
5180,721.0,114.0,effexorXR.114,3.0,"However, beware!",0,0.0,0,0,0.0,0,0.0,1,3.0,snri
720,721.0,110.0,lexapro.110,1.0,"light headed and increased anxiety the first few days, then subsided.",1,0.0,0,0,1.0,1,0.0,0,4.0,ssri
676,677.0,103.0,lexapro.103,2.0,It worked for my anxiety for a year and then it stopped.,0,0.0,1,1,1.0,1,0.0,0,3.0,ssri
149,150.0,24.0,lexapro.24,2.0,But more alarming was the sensation of pressure behind my eyes-like they were going to pop out!,1,0.0,0,0,0.0,0,0.0,0,1.0,ssri
4844,385.0,59.0,EffexorXR.59,7.0,It all finally came to a hilt after not taking 2 doses under doctors orders New Years Eve because I knew I would be drinking.,0,0.0,0,0,0.0,0,0.0,1,1.0,snri
4170,1418.0,191.0,cymbalta.191,5.0,My moods are more even and I am alot nicer to be around.,0,0.0,1,0,0.0,0,0.0,0,5.0,snri
1032,1033.0,154.0,lexapro.154,9.0,I did not have any withdrawal side effects.,0,0.0,0,0,0.0,0,0.0,1,4.0,ssri
5287,828.0,131.0,effexorXR.131,1.0,"Vivid dreams, lack of any sex drive, constipation, farting, some sleepiness.",1,0.0,0,0,0.0,0,0.0,0,4.0,snri
1057,1058.0,158.0,lexapro.158,2.0,Very pleased with Lexapro.,0,0.0,1,0,0.0,0,0.0,0,4.0,ssri
4366,1614.0,220.0,cymbalta.220,8.0,"Now we've had to augment with Lamictal for regulating mood, because I'm going thu severe stress, and the combo is really helping me.",0,0.0,0,0,1.0,0,0.0,0,5.0,snri
1675,184.0,35.0,zoloft.35,4.0,"I am tired, have headaches, and don't really want to take it anymore.",1,0.0,0,0,0.0,0,0.0,0,2.0,ssri
555,556.0,88.0,lexapro.88,5.0,After taking lexapro for a little over a year I decided to stop taking it as it was no longer working.,0,0.0,0,1,0.0,0,0.0,0,3.0,ssri
5085,626.0,100.0,effexorXR.100,6.0,I wish I did not take this drug. ,0,0.0,0,0,0.0,0,0.0,1,3.0,snri
763,764.0,115.0,lexapro.115,7.0,"I exercise, I eat healthy, Although, 4 months ago I quit smoking/drinking alcohol, after that I'm craving food all the time, mostly sweets.",1,0.0,0,0,0.0,0,0.0,0,4.0,ssri
3871,1119.0,148.0,cymbalta.148,4.0,i took 60mg for four maybe five months but have gone off cold turkey.,0,0.0,0,0,0.0,0,0.0,1,4.0,snri
1258,1259.0,182.0,lexapro.182,6.0,"Struggled with a horrible cycle of insomnia, anxiety, depression, life changes and hormonal changes for a year.",0,0.0,0,0,1.0,0,0.0,0,5.0,ssri
1292,1293.0,188.0,lexapro.188,2.0,"Initial weight gain, but have since lost it.",1,0.0,0,0,0.0,0,0.0,0,5.0,ssri
4370,1618.0,221.0,cymbalta.221,4.0,I know it's hard.,0,0.0,0,0,0.0,0,0.0,1,5.0,snri
1231,1232.0,179.0,lexapro.179,4.0,"Some initial weight gain, but has now setteled down and am experiencing the reverse.",1,0.0,0,0,0.0,0,0.0,0,5.0,ssri
109,110.0,16.0,lexapro.16,6.0,Avoid at all costs and explore other options.,0,0.0,0,0,0.0,0,0.0,1,1.0,ssri
3825,1073.0,142.0,cymbalta.142,5.0,"It definately hasn't been a miracle cure, but it hasn't been bad at all.",0,0.0,0,0,0.0,0,0.0,1,4.0,snri
4731,272.0,42.0,EffexorXR.42,13.0,"i was off work for the longest time, finally got back to work and tried to wean off the med , that's when it really hit the fan .",1,1.0,0,0,0.0,0,0.0,0,1.0,snri
4491,32.0,6.0,EffexorXR.6,1.0,"Apathy, memory loss, blurred vision, insomnia, nightmares, sexul dysfunction, shivers and shakes and the list goes on.",1,0.0,0,0,0.0,0,0.0,0,1.0,snri
5201,742.0,117.0,effexorXR.117,3.0,Can get very turned on but just no release!,1,0.0,0,0,0.0,0,0.0,0,3.0,snri
1055,1056.0,157.0,lexapro.157,12.0,"Have had no negative side effects, glad I tried it.",0,0.0,1,0,0.0,0,0.0,0,4.0,ssri
1084,1085.0,162.0,lexapro.162,10.0,"I'm also on a relatively low dose with an average of 7,5MG/day.",0,0.0,0,0,0.0,0,0.0,1,4.0,ssri
5172,713.0,113.0,effexorXR.113,3.0,No real bad side effects unless I missed a dose then I'd cry a lot.,0,1.0,0,0,0.0,0,0.0,0,3.0,snri
2018,527.0,94.0,zoloft.94,9.0,"It did only allow me to think about one subject at a time other than my previous 9,846 thoughts in 2 minutes.",0,0.0,1,0,1.0,1,0.0,0,3.0,ssri
831,832.0,124.0,lexapro.124,3.0,"Lexapro has been great as far as balancing out my mood, and making me feel much less anxious and happy overall, However, the drowsiness is becoming a pretty big problem, especially when I am sleeping an average of 12 hours a day (mostly in 4-5 hour naps).",1,0.0,1,0,1.0,1,0.0,0,4.0,ssri
51,52.0,5.0,lexapro.5,12.0,The vertigo is rendering me unable to function in daily life causing me to lose work.,1,0.0,0,0,0.0,0,0.0,0,1.0,ssri
1717,226.0,42.0,zoloft.42,10.0,"I am experiencing some of the side effects mentioned elsewhere, dizziness, irritability, upset stomach, although they are fairly mild.",0,1.0,0,0,0.0,0,0.0,0,2.0,ssri
577,578.0,90.0,lexapro.90,7.0,"Paxil was especially bad in this case, However, lexapro has had no effect on my libido, In fact, it may have increased it, ssri's are notorious for killing one's sex drive but this drug hasn't in my case.",0,0.0,0,0,0.0,0,0.0,1,3.0,ssri
1090,1091.0,163.0,lexapro.163,5.0,"Switched me over to 10mg dose of Lexapro, which has never increased.",0,0.0,0,0,0.0,0,0.0,1,4.0,ssri
4588,129.0,19.0,EffexorXR.19,6.0,I know I wasn't as active on the drug as off of it.,0,0.0,0,0,0.0,0,0.0,1,1.0,snri
1397,1398.0,206.0,lexapro.206,4.0,I took another anti-depressant with disastrous results.,0,0.0,0,0,0.0,0,0.0,1,5.0,ssri
443,444.0,70.0,lexapro.70,13.0,"I would like to try a different antidepressant because the loss of motivation and being tired all the time is making me feel lazy, worthless, and almost as depressed as before I started taking it.",1,0.0,0,1,1.0,0,0.0,0,3.0,ssri
