sentences,EF,INF,ADR,DI,Finding
"Malaise, fever, dark urine, vomiting and nausea can also be symptoms.",0,0,0,0,1
"And then tomorrow, judging by the reviews, I will not get up at all...",0,0,0,0,0
It takes at least 3+ months for the drug to get out of your system according to pharmacists- but you still may have pain that continues after that.,0,0,1,0,0
"It helps him very quickly even with delayed treatment, as the husband delays treatment very often.",1,0,0,0,0
Sore muscle all over my body.,0,0,1,0,0
decrease in pain.,0,0,0,0,0
"But as a prevention, I did not see any result, so I put the drug's rating at four.",0,1,0,1,0
I've talked with a couple others that have rls and they are on lipitor too.,0,0,0,0,1
"It burned terribly, I could tell by the way she wriggled all over while I washed her.",0,0,1,0,0
"Upset enough that I decided here to write a review because it helps slow and does not help in the abyss, including ruining my weekend that I planned not to lie, obsazeny viruses, and does not even have a great time.",0,1,0,0,0
After a year of taking Lipitor my urine started feeling as if it was corrosive when it touched my skin and I developed a rash that I could not get rid of.,0,0,1,0,0
EXTREME EXHAUSTION.,0,0,1,0,0
"I felt like I was going to pass out, which would have been welcommed after feeling what I felt.",0,0,1,0,0
The antiviral agent Amixin was used by me as a drug against influenza and SARS.,0,0,0,1,0
There is no way I can be dehydrated because I am now aware of the problem and drink water and gatorade consantly when I am outside.,0,0,1,0,0
"Although it alleviated the pain, I got up this morning with heavy vaginal bleeding even though my period ended last week.",0,0,1,0,0
Overall impression : I help the pain (spasms) of the stomach RATING 4 NOTE,0,0,0,1,0
"Redness subsides, unpleasant sensations pass, even with pharyngitis and angina.",1,0,0,1,0
"I have been off of Lipitor for two years and continue to improve very slowly, but I still suffer from some pain and weakness.",0,0,1,0,0
I began having falls shortly after starting lipitor approx 5years ago.,0,0,1,0,0
I took 20 mg for 9 years and I told numerous physicians about my pain and stiffness and was told that I had arthritis and to keep taking it.,0,0,1,0,1
"Therefore, I will recommend Valerian tincture only for mild sleep disorders and minor irritability.",0,0,0,1,0
"Lower back pain, stiff neck - could not turn head.",0,0,1,0,0
"Anxiety, paranoia.",0,0,1,0,0
"After taking the drug, I feel sleepy.",0,0,1,0,0
Loss of Vison.,0,0,1,0,0
Difficulty getting up out of a chair.,0,0,1,0,0
"Acid Reflux, stomach pain, muscle pain, trouble with liver count.",0,0,1,0,0
I took 5mg/day of Lipitor for a year but finally quit as my legs were hurting too much.,0,0,1,0,0
Constant pain!,0,0,1,0,0
"This pill stopped my pain, but cause me more pain.",0,0,1,0,0
"I don't know about you, but in my case helped, so I trust him.",1,0,0,0,0
"The first reaction corresponded to the instructions: malaise, muscle pain, joint pain, chills, fever.",0,0,1,0,0
"Severe Hip pain in both hips, calves are sore and tender to the touch, dramatically decreased libdo, eye sight changes.",0,0,1,0,0
I also have neurally mediated hypotension and since I have been taking lipitor I have had recurring fainting spells.,0,0,1,1,0
"I started getting some pain in ankles from time to time, I work out so attributed the pain to ""old age"" (45).",0,0,1,0,0
Once I noticed that Valerian tincture helps me.,1,0,0,0,0
"From one pill : Heavy menstrual bleeding even though my periods ended a week before, cramps, nausea.",0,0,1,0,0
!,0,0,0,0,0
"Depression, severe and persistent musclo-skeletal pain, insomnia, gas, severe rectal bleeding, nausea, stomach pain, syncope and more.",0,0,1,0,0
"Loss of memory, aphasia, tremor, violent anger, tearfulness, insomnia, muscle weakness, easy bruising, and nosebleeds.",0,0,1,0,0
I even went to a podiatrist because my toes ached and my feet hurt.,0,0,1,0,0
"Yes, Yes, it is better on herbs, because chemicals can cause addiction.",0,0,0,0,1
Have recommended to two others who have had similar exceptional results for chronic arthritic type issues.,0,0,0,1,0
An ambulance was called.,0,0,0,0,0
I took Lipitor for 6 weeks and noticed extreme dehydration and extremely dry eyes.,0,0,1,0,0
"She was calm even too much, work, has become blunt, colleagues said I was some sort of inhibited, all the time sleepy.",0,0,1,1,0
"Extreme back pain, nerve damage, breathing problems to the point of hospitalization stiffness all over body, muscle damage, hugh black and blue marks 6 in., hair loss, dizzyness, vision problems, close to blackouts, sinus problems,temperature, heart palputations, abdominal problems, bleeding, gas.",0,0,1,0,0
have cold sweats and dizzyness.,0,0,1,0,0
"But at the same time, no one cancels the use of other medications to eliminate the runny nose and sore throat.",0,0,0,1,0
"So, I really believe in this drug, but must consider what it may be doing to my body and my degree of pain.",0,0,1,0,0
