sentences,EF,INF,ADR,DI,Finding
"Malaise, fever, dark urine, vomiting and nausea can also be symptoms.",0,0,0,0,1
"А то завтра, судя по отзывам, не встану совсем...",0,0,0,0,0
It takes at least 3+ months for the drug to get out of your system according to pharmacists- but you still may have pain that continues after that.,0,0,1,0,0
"Ему он помогает очень быстро даже при запоздалом лечении, так как муж затягивает с лечением очень часто.",1,0,0,0,0
Sore muscle all over my body.,0,0,1,0,0
decrease in pain.,0,0,0,0,0
"А вот в качестве профилактики не увидела никакого результата, поэтому и оценку препарату ставлю четверку.",0,1,0,1,0
I've talked with a couple others that have rls and they are on lipitor too.,0,0,0,0,1
"Жгло ей ужасно, я поняла это по тому как она бедняжка вся извивалась пока я ее подмывала.",0,0,1,0,0
"Удручен настолько, что решил вот даже написать комментарий, потому что между помогает медленно и не помогает вообще – пропасть, включившая в себя испорченные выходные, в которые я планировал никак не валяться, обсиженным вирусами, а вовсе даже прекрасно проводить время.",0,1,0,0,0
After a year of taking Lipitor my urine started feeling as if it was corrosive when it touched my skin and I developed a rash that I could not get rid of.,0,0,1,0,0
EXTREME EXHAUSTION.,0,0,1,0,0
"I felt like I was going to pass out, which would have been welcommed after feeling what I felt.",0,0,1,0,0
Противовирусное средство Амиксин использовалось мной как препарат против гриппа и ОРВИ.,0,0,0,1,0
There is no way I can be dehydrated because I am now aware of the problem and drink water and gatorade consantly when I am outside.,0,0,1,0,0
"Although it alleviated the pain, I got up this morning with heavy vaginal bleeding even though my period ended last week.",0,0,1,0,0
Общее впечатление : а мне помогает при болях (спазмах) желудка RATING 4 NOTE,0,0,0,1,0
"Покраснение спадает, неприятные ощущения проходят, даже при фарингите и ангине.",1,0,0,1,0
"I have been off of Lipitor for two years and continue to improve very slowly, but I still suffer from some pain and weakness.",0,0,1,0,0
I began having falls shortly after starting lipitor approx 5years ago.,0,0,1,0,0
I took 20 mg for 9 years and I told numerous physicians about my pain and stiffness and was told that I had arthritis and to keep taking it.,0,0,1,0,1
Поэтому буду рекомендовать настойку валерианы только при легких нарушениях сна и незначительной раздражительности.,0,0,0,1,0
"Lower back pain, stiff neck - could not turn head.",0,0,1,0,0
"Anxiety, paranoia.",0,0,1,0,0
После приема препарата мне хочется спать.,0,0,1,0,0
Loss of Vison.,0,0,1,0,0
Difficulty getting up out of a chair.,0,0,1,0,0
"Acid Reflux, stomach pain, muscle pain, trouble with liver count.",0,0,1,0,0
I took 5mg/day of Lipitor for a year but finally quit as my legs were hurting too much.,0,0,1,0,0
