sentences,EF,INF,ADR,DI,Finding
Xanax or something would do me much better with the Effexor that I am already taking.,0,0,0,0,0
"However, these speedy effects completely negate any sexual side effects and if anything will improve your sex life, making it great if you find SSRI's sexual side effects distressing.",0,0,0,0,0
Most of the fatigue passed after a week or so.,0,0,0,1,0
I have so much energy during the day and find myself laughing again.,1,0,0,0,0
There were times where it made me feel even more anxious than I already was.,0,1,1,0,0
"I suffered from extreme aggression, agitation, mood swings, and I was unable to feel peace or happiness.",0,0,0,0,0
My doc will add a mood stabilizer when I need one.,0,0,0,0,0
Keep an open mind.,0,0,0,0,0
I weaned slowly from 150mg to 75 to 37.5 and off.,0,0,0,0,0
I feel better!,1,0,0,0,0
"it caused some insominia, i also felt like i was haviing brain buzz and ringing in my ears.",0,0,1,0,0
I hope and pray it subsides.,0,0,0,0,0
"I did not notice a special effect, since the child was ill and still is (with Viferon""ointment or not).""",0,1,0,0,0
"I love this drug, but how long is it safe to take it?",0,0,0,0,0
I decided to stop taking the drug as I made me feel worse than I did before I took it.,0,1,0,0,0
Extreme anxiety attacks lasting for 3 full days and nights .,0,0,1,0,0
First 2 days had loose stools.,0,0,1,0,0
"weight gain (50+ pounds) high blood pressure skin problems tiny wounds would not heal for months, frequently developed into skin infections (e. g. from acne) immune system problems loss of interest in all activities loss of interest in relationships extreme fatigue wanted to sleep all the time could not feel happiness or joy continued to feel depression, have suicidal thoughts under stress .",0,1,1,0,0
Horrible.,0,0,0,0,0
omega 3 6 and 9) nothing is working to make me feel better you honestly feel like a walking zombie.,0,0,0,0,0
I was very depresed and suicidal.,0,0,0,0,0
"I prescribed everything, as always: heavy drinking, bed rest, symptomatic treatment (from a runny nose, from a high temperature, and so on), was given a sick leave, and finally the doctor said that it would not be bad to drink cyclopherone course.",0,0,0,1,0
"It did, however, fix the seratonin related imbalance, such as excessive crying and worrying.",1,0,0,1,0
"it helped with my depression and some with my anxiety, but i gained 35 lbs!",1,0,1,1,0
"If you have a runny nose, feel free to buy, this tool will definitely help Time of use: 2 years General impression: easy to use and effective in fighting a runny nose RATING 5 NOTE",1,0,0,1,0
Pulled myself together and spoke to GP & psych who feel it's anxiety and side-effects but even with my worst anxiety I have never felt quite like that.,0,0,0,0,0
I take it at night and have found that it helps me sleep.,0,0,0,0,0
My mental health has been awesome.,1,0,0,0,0
DO NOT TAKE THIS MEDICINE!,0,0,0,0,0
"For example: my 8-year-old spilled a whole glass of coke in my car and my reaction was ""Oh well, let's clean it up.""",0,0,0,0,0
"Lack of sex drive, no orgasms.",0,0,1,0,0
I would not be here today if it weren't for Lexapro.,0,0,0,0,0
"Over the 10 years, it has done a great job at lowering my anxiety and evening me out.",1,0,0,1,0
Broke my leg (had to have surgury) trying to walk up my porch steps.,0,0,0,0,0
"I had intense headaches for the first 3 days of taking Cymbalta, but then the depression ""fog"" cleared and I felt much less weighed down by my thoughts.",0,0,1,1,0
Sweating for the first 7-8 months was AWFUL.,0,0,1,0,0
"The price of this drug is quite ridiculous, so it is not surprising that there is no use from it Time of use: 2 weeks",0,0,0,0,0
I was prescribed a course of injections by a psychiatrist to a child because of my complaints about the child's lack of speech (3 years old).,0,0,0,1,0
"On Monday, put the sample on the right shoulder, a scarifier made 2 scratches and dripped a drop tolaria.",0,0,0,0,1
Made me gain a quick 15 pounds.,0,0,1,0,0
was initially on Effexor and slowly got up to 100 mg a day.,0,0,0,0,0
I am having strong flu like symtoms but I am coming off of effexor and that has always been hardcore.,0,0,1,0,0
"But, I'm still about 10 pounds heavier than I'd like and at this point, I don't think I can blame it on Effexor.",0,0,0,0,0
"My sex drive seems a little low, but it has not been that active for a couple ye",0,0,1,0,0
"Not suicidal anymore, but I don't think Cymbalta had anything to do with that.",0,0,0,0,0
I quickly gave Zirtek(for allergies)-you can say shoved a spoon with the medicine and after a while everything went as if nothing had happened.,0,0,0,1,0
"The pros far outweigh the cons, and I've found this drug to be very good for a drug-sensitive person like myself.",1,0,0,0,0
Yes?,0,0,0,0,0
"extreme weight gain, short-term memory loss, hair loss.",0,0,1,0,0
"Took a while to have an effect on mood obviously,but side-effects alarming:sudden migraines which I had had very infrequently before.",1,0,1,0,0
Felt better w/in days.,1,0,0,0,0
"I feel with feelings (not ""numbed""), can cry, laugh and enjoy life.",1,0,0,0,0
Diversion: treated the flu-stay without children.,0,0,0,1,0
"My sleep has improved, but my anxiety and irritability have not completely disappeared.",1,1,0,1,0
I was always hot.,0,0,1,0,0
The only side effects I experienced were mild insomnia and extreme shakiness for the first 3 days.,0,0,1,0,0
"Improvement in my morale has been great, I feel like my old self again!",1,0,0,0,0
I do feel bursts of happiness throughout the day.,1,0,0,0,0
"I feel happier, less ""blue"" I do have problems sleeping thru the night (I'm writing this at 4:30 am) but am hoping with continued dosage, that will subside.",1,0,1,0,0
"I dont know if I should stay on this or not, i'm only on 25mg for 6 days so far but i cant take much more of this afternoon anxiety.",0,1,1,0,0
Very big increase in blood pressure which I had never experienced before.,0,0,1,0,0
(40 lbs) It so far has been hard to change.,0,0,0,0,0
I find that at night I have a harder time falling asleep and then durring the day im exhausted.,0,0,1,0,0
"Took the pill for depression for a year and a half, extreme weight gain, no sex drive, even more depressed",0,1,1,1,0
None.,0,0,0,0,0
"Gained weight, moodswings, wasn't able to sleep at all.",0,0,1,0,0
And then she said that the child is allergic to the components of this medication.,0,0,1,0,0
"I have been losing handfuls of hair every time I brush, wash or run my fingers through it.",0,0,1,0,0
"Some anxiety and ""brain shocks"" for the first day or two.",0,0,1,0,0
I was already taking Wellbutrin but the depression was the worst I had ever had and doctor added the cymbalta 30 mg a day.,0,0,0,1,0
If still not working slowly going off.,0,1,0,0,0
Now I am trying to get off of the meds (pretty rough) to alleviate the negative side effects and return to a more natural state.,0,0,1,0,0
"The first 3 weeks of Zoloft (25mg), the anxiety had pretty much subsided (the clenched feeling in my chest was gone!",1,0,0,1,0
I'm already at 120mg and would like to go even higher.,0,0,0,0,0
