sentences,EF,INF,ADR,DI,others,annotation,review_id,sentence_id,sent_start,sent_end
"В приёмной, сразу же ребёнку укололи жаропонижающее и отправили спать.",0,0,0,0,0,NEUTRAL,1263039,2,118,188
"Второй раз энцефабол выписали уже в возрасте 2,5 года при задержке речевого развития, причем дозу даже меньшую, чем мы пили в два месяца.",0,0,0,1,0,DI[3],1740396,5,253,390
"Короче наоборот заразили нашего ребенка и «ушатали» иммунитет ребенку, теперь он у нас каждые две недели простывает, до этого вообще ни чем, ни разу не болел.",0,0,0,1,0,DI[2]|Finding[1],2525808,4,357,515
Порой подташнивает от его его применения.,0,0,1,0,0,ADR[2],2738498,8,420,461
Как настроишь себя так и будет называется.,0,0,0,0,0,NEUTRAL,2684706,5,504,546
"Мы использовали препарат в ампулах, разводили его водой и переливали во флакончик с пульвилизатором (купила в аптеке за 29р.).",0,0,0,0,0,NEUTRAL,877244,5,570,696
В последние годы простудные заболевания всё чаще и чаще проникают в мой организм.,0,0,0,1,0,DI[3],811523,1,0,81
"Сейчас, когда ребенок подрос, иногда даю ему таблеточку для успокоения, обычно тоже вечером, для засыпания.",0,0,0,1,0,DI[7],822352,5,275,382
"Вроде бы и нагрузки никакой нет, а сердце бьется непривычно часто, как будто ты только что догонял уходящий автобус.",0,0,1,0,0,ADR[2],2693866,12,504,620
"Мы живем в сплошной химии, еще и лекарства детские красим.",0,0,0,0,0,NEUTRAL,2519044,8,634,692
"По мне, так это пустышка, которая может обладать только эффектом плацебо.",0,1,0,0,0,INF[1],2729929,7,473,546
"На третьей таблетке самое интересное началось... не сразу понял, что всё это от Ликопида, не мог поверить, но четвёртый приём 10 мг.",0,0,1,0,0,ADR[2],5326845,3,399,488
А на щеках выступило какое-то высыпание.,0,0,1,0,0,ADR[5],594098,6,352,392
Поэтому мы старались больше пяти дней ею нос не мазать.,0,0,0,0,0,NEUTRAL,656330,5,310,365
"вечером дико хочу спать, но как только ложусь - всё, глаза в потолок, сна как не бывало.",0,0,0,1,0,DI[8],929986,3,71,159
Общее впечатление : Отличное средство RATING 4 NOTE,0,0,0,0,0,NEUTRAL,875711,12,777,814
Пришла я к нему с жалобами на хроническую усталость и проблемы с засыпанием.,0,0,0,1,0,DI[3],2662915,2,47,123
"Этот сироп может применяться как для профилактики, так и для раннего лечения ОРВИ и Гриппа.",0,0,0,1,0,DI[4],2555494,4,162,253
"В жизни каждого из нас бывают ситуации когда мы выходим из себя, злимся, ругаемся.",0,0,0,1,0,DI[2],2513399,2,22,104
"Нос конечно, еще мучает, но для него есть и другие лекарства, а то, что нет ломоты и температуры, я все могу делать-это плюс!",1,0,0,1,0,EF[5]|DI[1],2424679,11,660,785
"Первый раз нам выписали энцефабол в возрасте 2 месяца, так как у ребенка была родовая травма.",0,0,0,1,0,DI[1],1740396,1,0,93
Получается выкинутые деньги на ветер.,0,0,0,0,0,NEUTRAL,2658215,3,138,175
Ужасный неэффективный препарат!,0,0,0,0,0,NEUTRAL,2461263,4,166,197
"Очень радует цена на данный препарат - это не заоблачная тысяча с лишним, а вполне доступные 129 рублей за 20 капсул по 100 мг.",0,0,0,0,0,NEUTRAL,2718482,3,183,310
Вот только второму я этот препарат не капала.,0,0,0,0,0,NEUTRAL,656249,4,240,285
"сразу же после первого приема у ребенка высыпали на лице пятна, а потом стали увеличиваться.",0,0,1,0,0,ADR[2],3121591,2,18,110
Стоит ли таким мощным препаратом лечить грипп и тем более пить его для профилактики - большой вопрос.,0,0,0,1,0,DI[2]|Finding[1],1263885,6,449,550
А так очень даже эффективное средство.,1,0,0,0,0,EF[8],2685800,6,256,294
"Утром стала с трудом просыпаться, ничего не могла делать.",0,0,1,0,0,ADR[9],747352,7,375,432
Поэтому часто покупаю капли Фенистил и крем.,0,0,0,0,0,NEUTRAL,2490571,2,60,104
Лечить ею депрессивные состояния это всё равно что лечить грипп витаминами.,0,0,0,1,0,DI[3]|Finding[2],579743,2,26,101
"Парацетамол снимет жар и головную боль, а аскорбиновая кислота-это витамин.",0,0,0,1,0,DI[2],587207,4,224,299
"Цена на этот препарат совсем смешная, так что совсем не удивительно, что толку никакого от него нет Время использования: 2 недели",0,0,0,0,0,NEUTRAL,582797,3,267,396
Время использования: от 5 дней до 6 месяцев,0,0,0,0,0,NEUTRAL,273783,13,812,855
"В анафероне я полностью разочарована, считаю его БЕСПОЛЕЗНЫМ!",0,1,0,0,0,INF[4],2418485,11,810,871
"Дочка (1.2года) заболела, кашель, сопли желто-зеленые ручьем текут, только вытру, а они опять до рта дотекли... Вызвали врача, та там помимо кучи лекарств выписала ИРС 19... Пошла купила, дорогой, 450 рублей за него отдала, думала что раз такой дорогой, то точно должен вылечить мне дочку.",0,0,0,1,0,DI[1],589250,1,0,289
Весна - время простуды.,0,0,0,1,0,DI[3],913556,1,0,23
"Но в качестве побочных эффектов указаны: одышка, раздражение горла, головная боль, колебания давления, тошнота, рвота, изжога, боль в животе, диарея.",0,0,0,0,0,NEUTRAL,1484511,4,456,605
"Два дня Септефрил принимала, на ночь выпила Флю-колд, утром Амиксин, и что-то из них мне помогло.",1,0,0,0,0,EF[3],2674524,3,200,297
"у маленкий ребенок, 1 год, простыли кашель сопли рекой, температура 38,5 ну и сразу вызвали детского педиатора на дом, нам прописал и свечи Генферон лайт.",0,0,0,1,0,DI[2],2688660,2,14,168
"Когда корочка отпала, остался маленький рубчик.",0,0,1,0,0,ADR[4],1033114,13,818,865
Прием Ацикловира прекратила и вот уже 4 дня безуспешно борюсь с крапивницей,0,0,1,0,0,ADR[11],2177673,10,742,817
Диагноз - цистит.,0,0,0,1,0,DI[3],873342,7,442,459
Снова даю Исмиген и снова на третий день боль в горле.,0,0,1,0,0,ADR[3],2883218,9,483,537
Наш малыш начал говорить по два три слова в предложении.,1,0,0,0,0,EF[2],2460790,7,592,648
Общее впечатление : Результат хороший при комплексном лечении.,1,0,0,0,0,EF[7],591673,9,889,951
"Мне легче ни стало даже на 3 день приема Ингавирина, хотя принимать начала при первых симптомах.",0,1,0,0,0,INF[2],614513,6,541,637
"О данной мази я знаю еще с детства, ведь еще с тех времен, когда я простывала, у меня на губах вылазили болючие прыщики, герпес проще говоря, и мама мне всегда приходила на помощь вместе с данной мазью.",0,0,0,1,0,DI[1],2724762,2,28,230
"Думаю, что препарат хорош для взрослых с крепкой сердечно-сосудистой системой, легко переносящих высокую температуру.",1,0,1,0,0,EF[2]|ADR[4],2414358,7,493,610
Как не странно простуда прошла.,1,0,0,1,0,EF[1]|DI[4],1400882,8,655,686
Капли Грипферон всегда есть в моей аптечке - точнее в холодильнике.,0,0,0,0,0,NEUTRAL,2540685,8,552,619
"к счастью, никаких клещевых инфекций у нас не было обнаружено.",1,0,0,1,0,EF[3]|DI[6],2547762,8,514,576
"Вирус не ушел, так как оказалось он вообще не лечиться, иммунитет ни капельки не поднялся, только наоборот... Начала болеть простудой постоянно, горло, насморк, раньше никогда такого не было... Кроме того еще и начались проблемы с желудком, начались запоры, застой желчи, холецистит и в додачу ко всему еще и гастрит... Люди, это просто жесть!!!",0,1,1,0,0,INF[2]|ADR[3],2015980,2,67,412
"Сейчас постоянно пить бросила, а пользуюсь только в стрессовых ситуациях.",0,0,0,1,0,DI[3],264987,9,689,762
При ходьбе он заворачивал ножку внутрь.,0,0,0,1,0,DI[5],619561,2,81,120
"Вылечились, опять в сад с ИРС-19, но опять слегли, причем с сильным ринитом.",0,0,1,0,0,ADR[5],217439,5,242,318
На глаз никаких изменений не наблюдала.,0,1,0,0,0,INF[1],591856,12,529,568
С недавних пор начала страдать появлением герпеса на губах.,0,0,0,1,0,DI[7],832817,1,0,59
Он нормализует мозговое кровообращение.,1,0,1,0,0,EF[4]|ADR[15],2445498,12,742,781
Свечи на основе интерферона.,0,0,0,0,0,NEUTRAL,391573,6,190,218
Нос не пробивает абсолютно !!!,0,1,0,0,0,INF[3],265385,2,40,70
"Улучшился сон, если раньше он частенько просыпался по ночам и не мог уснуть, то сейчас он спит гораздо спокойнее.",1,0,1,1,0,EF[5]|ADR[4]|DI[2],2463217,6,536,649
И знаете он мне помог и причем существенно.,1,0,0,0,0,EF[2],885375,8,426,469
Общее впечатление : Малоэффективный препарат RATING 3 NOTE,0,1,0,0,0,INF[1],656330,12,617,661
Общее впечатление : Не очень.,0,0,0,0,0,NEUTRAL,632718,3,320,349
"Ни противовирусного, ни какого-то другого действия не имеет.",0,1,0,0,0,INF[4],815444,9,596,656
Советую!,0,0,0,0,0,NEUTRAL,2665872,8,648,656
Общее впечатление : При первых признаках простуды -эффективен.,1,0,0,1,0,EF[3]|DI[2],656261,8,802,864
"Препарат ""Меновален"" мне выписал невропатолог.",0,0,0,0,0,NEUTRAL,2662915,1,0,46
Врачи не могли понять от чего.,0,0,0,0,0,NEUTRAL,655424,2,51,81
У ребенка аденоиды и перед закапыванием лекарств нам прописали промывать нос Аквалором.,0,0,0,1,0,DI[2],794482,3,144,231
Препарат эффективен при любом виде герпетической инфекции - а их как известно целых восемь.,0,0,0,1,0,DI[3],2445572,1,0,91
"Еще есть мазь с аналогичным названием но она менее еффективна чем таблетки, разве что применять их в комплексе.",0,0,0,0,0,NEUTRAL,2412180,4,369,480
"Видно было его желание общаться, старалась поддерживать, повторяла все звуки вместе с ним.",0,0,0,0,0,NEUTRAL,2424557,5,383,473
"Прекрасно успокаивают нервную систему, благоприятно действуют на сердечно сосудистую и нормализовывают желудочно -кишечный тракт .",1,0,0,1,0,EF[3]|DI[4],656242,2,77,207
Пришлось купить его.,0,0,0,0,0,NEUTRAL,2522012,3,48,68
"Препарат только на один раз, организму он поможет, но дальше смысла нет деньги палить впустую.",0,1,0,0,0,INF[1],641485,6,404,498
"Боли конечно были, но не такие сильные как по мнению врача, а так как мне делали кесарево, то я первые 2 месяца кроме шва вообще ничего не чувствовала, а потом просто тянул низ живота, я думала это процесс заживления после операции.",0,0,0,1,0,DI[2],880567,3,208,440
"Принимала этот препарат по совету провизора в аптеке, так как были проблемы с засыпанием, и частое пробуждение во время сна.",0,0,0,1,0,DI[5],747352,1,0,124
При рецидиве пила только протефлазид.,0,0,0,0,0,NEUTRAL,2734640,12,494,531
"Так же я узнала, что ""Ликопид"", один из немногих иммуностимулирующих средств, который действует несмотря на вирус Герпеса.",0,0,0,1,0,DI[1],255563,8,566,688
Стоит 8.40 рублей.,0,0,0,0,0,NEUTRAL,2443740,6,410,428
У меня все это было кроме температуры и было слезотечение.,0,0,0,1,0,DI[13]|Finding[12],2733509,7,302,360
"И я прибегаю к таблеткам 'Вечернее', так как детям нужна спокойная мама.",0,0,0,0,0,NEUTRAL,2738039,17,814,886
"Почитала отзывы в интернете, всем помогает, все от него в восторге.",0,0,0,0,0,NEUTRAL,2461123,8,389,456
"А чередую я его с нурофеном, когда между приёмами нурофена у ребенка быстро набегает температура, а пить нурофен бывает ещё рано.",0,0,0,1,0,DI[1],2707053,2,211,340
"В первый день я почувствовала недомогание, общее, как будто в полудреме ходила, но списала это на недосып.",0,0,1,0,0,ADR[5]|Finding[1],3022901,3,259,365
"Начала сопеть носиком, сразу начали использывать, брызгала три дня.",0,0,0,1,0,DI[2],613806,7,396,463
Мои дети не аллергетики.,0,0,0,0,0,NEUTRAL,2886803,2,45,69
Но к моему разочарованию пропив его 5 дней помощи от него никакой не почувствовала.,0,1,0,0,0,INF[2],2703065,5,351,434
Советую иметь его в аптечки - недорогое и хорошее противовирусное.,1,0,0,0,0,EF[2],2689273,10,618,684
"Флюколд является бюджетным препаратом для людей, которые не могут себе позволить более эффективные лекарства от гриппа и простуды.",0,0,0,1,0,DI[3],2395998,7,612,742
"Я начала давать дочке препарат, на второй день дочка стала жаловаться на боли в животе.",0,0,1,0,0,ADR[5],2706058,4,198,285
"Итак, жена, при очередном моём заболевании, посоветовала пропить Лавомакс, так как перед этим сама опробовала и ей помогло, а несколько таблеток оставались ещё в пачке.",1,0,0,0,0,EF[2],811523,5,475,643
"На месяц мне хватило 2х упаковок, пусть он и дороже многих успокоительных средств, но эффект от него есть.",1,0,0,0,0,EF[2],2538754,5,315,421
Мой сын с шести месяцев очень часто болел.,0,0,0,0,0,NEUTRAL,697047,1,0,42
"Во время обеда пошла в аптеку, где мне посоветовали купить ""Арбидол"" или ""Ринза"", исходя из цены купила второе лекарство.",0,0,0,0,0,NEUTRAL,24065,4,228,349
"У ребенка начался сильный насморк(нам было 2 месяца), спросила у подружки чем лечились, сказала что прописали свечи Виферон 500000 и промывание.",0,0,0,1,0,DI[5],2509783,1,0,144
