sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id
"Of course, the nose still hurts, but there are other medications for it, and the fact that there is no ache and temperature, I can do everything-this is a plus!",1,0,0,1,0,EF[5]|DI[1],2424679,11
Only after a while did the child become calmer.,1,0,0,1,0,EF[2]|DI[3],2387405,9
"Redness subsides, unpleasant sensations pass, even with pharyngitis and angina.",1,0,0,1,0,EF[3]|DI[1],2522797,8
"And then tomorrow, judging by the reviews, I will not get up at all...",0,0,0,0,0,NEUTRAL,1792597,4
Hello!,0,0,0,0,0,NEUTRAL,2738039,1
"Finally, our pediatrician came, and after looking at us, she said that ARVI treatment of emergency doctors was ordered to continue.",0,0,0,1,0,DI[2],608779,6
I do not recommend this drug to people suffering from heart neuralgia and insomnia.,0,0,0,1,0,DI[4],2399213,10
That's why I prefer more serious flu medications.,0,0,0,1,0,DI[5],2395998,5
"I drank the course, got sick after all, but the disease was easier and I recovered faster.",1,0,0,0,0,EF[2],2443835,5
Although the packaging is excellent and the instructions give hope and help.,0,0,0,0,0,NEUTRAL,2427129,8
"I will say that the result is there if you take it clearly according to the scheme, namely before eating.",1,0,0,0,0,EF[1],822720,3
"The drug Amizon really helps, which is not true of homeopathic antiviral drugs.",1,0,0,0,0,EF[4],580741,3
"I took the option of 6 bags with raspberry flavor, as my mother was just SARS without a temperature.",0,0,0,1,1,DI[3]|Finding[1],807999,3
I myself often use it as a sedative for anxiety conditions.,0,0,0,1,0,DI[2],598445,4
"But the next time (it took about six months or a little more) during an exacerbation of gastroduodenitis, the drug acts quite differently.",0,0,0,1,0,DI[7],2653333,4
Constant internal experiences and feelings of anxiety really made my life very difficult.,0,0,0,1,0,DI[6],792635,1
Good day to all.,0,0,0,0,0,NEUTRAL,2533802,1
Ingavirin didn't help me much.,0,1,0,0,0,INF[1],2658215,1
"I often take it when traveling on the train, usually I could not sleep, then people walk for half the night, then the sound of wheels, but I tried to drink on the train for half a pill.",0,0,0,1,0,DI[7],616736,5
But I think there is not much difference in the manufacturers.,0,0,0,0,0,NEUTRAL,647288,8
To say that it was useless is not to say anything.,0,1,0,0,0,INF[8],886333,9
What's really strong about this drug is the marketers who advertise it.,0,0,0,0,0,NEUTRAL,2421119,4
"The drug should be used not only during the disease, but also after, as if to strengthen the immune system.",0,0,0,1,0,DI[1],656340,7
"To my surprise, it turned out to be our salvation!",0,0,0,0,0,NEUTRAL,824290,4
So the effect is there.,1,0,0,0,0,EF[1],2509783,5
"Do not treat, but prevent colds and viral diseases!!",0,0,0,0,1,Finding[4],3396668,10
I'll write my own.,0,0,0,0,0,NEUTRAL,2421166,3
"Corvalol is just an indispensable tool for nervous tension, disorders, before going to bed, my mother always dripped it into a beaker and drank it.",0,0,0,1,0,DI[1],598445,2
"After the course of injections, there were no changes, and the desire to talk again disappeared somewhere.",0,1,0,1,0,INF[2]|DI[1],2424557,6
