sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
But phrase everything became much easier.,0,0,0,0,0,NEUTRAL,877405,4,0.9657126665115356,0.018931541591882706,0.007948895916342735,0.011779174208641052,0.009989812038838863
My children are not allergic.,0,0,0,0,1,Finding[2],2886803,2,0.011421040631830692,0.009381393902003765,0.014594937674701214,0.011279094964265823,0.987097442150116
My children after the start of taking this drug had a severe form of drug Allergy.,0,0,1,0,0,ADR[3],2886803,3,0.0008089800830930471,0.0009162935893982649,0.996570348739624,0.001604749239049852,0.004735852591693401
"While we were in the hospital, the doctor told us that it is after taking this drug that a lot of children are admitted to emergency hospitals with severe allergic reactions.",0,0,1,0,0,ADR[1],2886803,5,0.0007253962103277445,0.0015027533518150449,0.9849119186401367,0.002141867997124791,0.26971837878227234
And it leaked very heavily.,0,0,0,0,0,NEUTRAL,2886803,4,0.0008165906765498221,0.0006869097705930471,0.9914775490760803,0.001427374198101461,0.0013946008402854204
"As soon as I felt that I was beginning to get sick, usually my nose starts to itch, I often sneeze and have a sore throat, then immediately I put these candles on.",0,0,0,1,0,DI[2],5801040,7,0.009982788003981113,0.006483129225671291,0.009996704757213593,0.9949216246604919,0.004606081638485193
"In addition to them, I did not start any treatment, and as a rule, everything went away on the third day.",1,0,0,0,0,EF[1],5801040,10,0.774954617023468,0.3823484480381012,0.001959569752216339,0.012945466674864292,0.014468208886682987
"And now, if my little son starts to get sick, I also put them on, easily and effectively, it always helps.",0,0,0,0,0,NEUTRAL,5801040,13,0.9931254386901855,0.008193321526050568,0.0130570437759161,0.42739513516426086,0.014020504429936409
"At work the afternoon I felt ill, started vomiting, became ill the whole body.",0,0,0,1,0,DI[1],24065,1,0.0015540148597210646,0.0012410565977916121,0.9983885288238525,0.0024916573893278837,0.0030167170334607363
"As I knew, these were the first signs of a cold, if I don't take action, I won't be able to get out of bed tomorrow.",0,0,0,1,0,DI[5],24065,2,0.0071124485693871975,0.00880788266658783,0.005009911023080349,0.9959406852722168,0.014125900343060493
I took it according to the instructions and at the end of the working day I felt good.,1,0,0,0,0,EF[3],24065,6,0.9715466499328613,0.01425196509808302,0.01093001663684845,0.008080441504716873,0.0195232555270195
"For prevention, I took another pill, and now I always carry ""Rinza""with me, you never know what.",0,0,0,1,0,DI[2],24065,8,0.0176872368901968,0.008060078136622906,0.019537335261702538,0.9961873888969421,0.0058165062218904495
"I don't know about you, but in my case helped, so I trust him.",1,0,0,0,0,EF[4],24065,10,0.9874645471572876,0.0349569171667099,0.012854154221713543,0.011759298853576183,0.019115429371595383
"During lunch I went to the pharmacy where I was advised to buy ""Arbidol"" or ""Rien"", based on the price I bought the second cure.",0,0,0,0,0,NEUTRAL,24065,4,0.0031330781057476997,0.002597885439172387,0.0030795112252235413,0.0042518205009400845,0.011938251554965973
"Unfortunately, it didn't give any results, and two weeks later we got sick.",0,1,0,0,0,INF[2],217439,4,0.0094826091080904,0.9883922934532166,0.07223033159971237,0.02573724463582039,0.019988061860203743
"Recovered, again in the garden with IRS-19, but again came down, and with a strong rhinitis.",0,0,1,0,0,ADR[5],217439,5,0.00653827702626586,0.06521020829677582,0.008640002459287643,0.9949414134025574,0.006062096916139126
I have never seen such green and thick snot from my daughter.,0,0,1,0,0,ADR[4],217439,6,0.0006295200437307358,0.0008819690556265414,0.9674071669578552,0.006961597129702568,0.0006504140328615904
"I was told that I need to read the manual, it says side effects: bronchitis, sinusitis and laryngitis.",0,0,0,0,1,Finding[1],217439,8,0.007526846136897802,0.011996868066489697,0.013786531053483486,0.043981604278087616,0.9906913638114929
"In our case, there was a strong rhinitis.",0,0,1,0,0,ADR[3],217439,9,0.004443037789314985,0.00449963565915823,0.01334824413061142,0.990356981754303,0.003871571272611618
"We always want the child to be healthy, so we are looking for ways to protect ourselves from viruses.",0,0,0,0,0,NEUTRAL,217439,1,0.005259442608803511,0.003306736471131444,0.0021189928520470858,0.007656460162252188,0.6011516451835632
"But it did not suit us for one interesting reason: it can not be chewed and washed down with water, nor crushed and diluted to drink.",0,1,0,0,0,INF[1],2706079,2,0.0024826698936522007,0.29099613428115845,0.012407385744154453,0.00233275443315506,0.01574384793639183
Only then will the drug be useful with a high degree of probability.,0,0,0,0,0,NEUTRAL,2706079,4,0.015685493126511574,0.017542079091072083,0.0023607341572642326,0.006319189444184303,0.0030823261477053165
I have been getting flu shots every year for about 10 years.,0,0,0,0,1,Finding[4],2734199,1,0.005741112865507603,0.0026756792794913054,0.00488909799605608,0.9824081063270569,0.005077988840639591
"Everything was fine, I didn't have the flu and ARI.",0,0,0,0,1,Finding[2],2734199,3,0.009143984876573086,0.016614176332950592,0.0005395043408498168,0.9097597599029541,0.1785127967596054
"As a result I had two weeks without temperature type ARI with the strongest cold of the past week was a terrible weakness, then two weeks later got the flu with horrible body aches all joints, high temperature and so on.",0,0,1,1,1,ADR[1]|DI[3]|Finding[5],2734199,6,0.2862893044948578,0.043683577328920364,0.9919695258140564,0.928761899471283,0.40913382172584534
Strictly facts.,0,0,0,0,0,NEUTRAL,2734199,8,0.0018020482966676354,0.14783039689064026,0.003213324351236224,0.0292517077177763,0.005045670084655285
"At the 3-month examination, the neurologist diagnosed motor disorders and prescribed a 10-day course of injections with a gradual increase in the dose.",0,0,0,1,0,DI[3],2689254,2,0.0064216735772788525,0.008553569205105305,0.01776929385960102,0.996336817741394,0.008204367943108082
"I don't know if the two facts are related, the child has developed severe atopic dermatitis.",0,0,1,0,0,ADR[1],2689254,6,0.0020160905551165342,0.007945128716528416,0.016074206680059433,0.9863678812980652,0.006318836472928524
"The neurologist said that Cortexin often causes allergic reactions, because it is synthesized from the brain of animals, most often pigs and cows.",0,0,1,0,0,ADR[2],2689254,7,0.009585733525454998,0.007079481612890959,0.026979511603713036,0.0036153795663267374,0.9769630432128906
"After Cortexin with our diagnosis, progress was made, but children with allergies should be prescribed with extreme caution.",0,0,0,0,1,Finding[4],2689254,8,0.007255109027028084,0.01832323521375656,0.011686431244015694,0.05084783583879471,0.9713237285614014
