sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
"I became nervous, Moody, just a little something-immediately screeching, to the grandparents does not go, everything is next to me and on the handles... Hard( and after all, before the nursery it was an active, sociable and cheerful baby... Doctors advised to drink a sedative.",0,0,0,1,1,DI[3]|Finding[1],252298,4,0.006719646509736776,0.0054078176617622375,0.9905229210853577,0.8974947333335876,0.022887730970978737
"After a week of taking the baby, it's easier to stay in the garden, and even though we still cry there, the process of getting used to it is a little easier.",1,0,0,0,0,EF[2],252298,7,0.03807361051440239,0.0013797711580991745,0.007749077398329973,0.007203561719506979,0.003960717935115099
"I am very happy that the tablets are not bitter, I dissolve them in water and my daughter has no problems drinking them without drinking water.",0,0,0,0,0,NEUTRAL,252298,8,0.0024993750266730785,0.0012996619334444404,0.0033973499666899443,0.0037524625658988953,0.10246816277503967
"And so with the appearance of a child in our family and frequent colds and viral diseases in our medicine Cabinet for a long time and firmly settled ""Aflubin"".",0,0,0,1,0,DI[1],2457636,2,0.006241434253752232,0.005998347885906696,0.004967741668224335,0.9923622608184814,0.00624293927103281
"The disease receded a little, but then came with a new force and no longer what Aflubin """" did not help (although we drank it for prevention for a whole month).""",0,1,0,1,0,INF[3]|DI[2],2457636,5,0.05007881298661232,0.9854027032852173,0.0124891996383667,0.9878580570220947,0.01793663762509823
Sometimes it seemed that viruses are used to the drug and simply do not respond to it.,0,1,0,0,0,INF[4],2457636,6,0.004090007860213518,0.01593124307692051,0.004277635831385851,0.0035867418628185987,0.003412172431126237
Well can not say completely useless but we are in the long-term use stopped to help at all.,0,0,0,0,0,NEUTRAL,2457636,1,0.0493391789495945,0.9917764663696289,0.021053658798336983,0.02056995779275894,0.01848180964589119
I've tried a lot of cold remedies.,0,0,0,1,0,DI[1],902248,1,0.0038496118504554033,0.008776582777500153,0.002646619686856866,0.9857916831970215,0.006901474203914404
But the effect was zero.,0,1,0,0,0,INF[2],902248,4,0.02058367058634758,0.9848783612251282,0.019884508103132248,0.014908303506672382,0.016780681908130646
But I didn't find it working on me.,0,1,0,0,0,INF[3],902248,13,0.015101424418389797,0.9832664728164673,0.022268202155828476,0.01488166768103838,0.016666103154420853
