sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
Но на второй день- сыпь по всему телу.,0,0,1,0,0,ADR[3],594103,3,0.0008740120101720095,0.0011847753776237369,0.9949617385864258,0.0006987176602706313,0.0019526557298377156
"Общее впечатление : Помогает, но дает сильную сыпь RATING 3 NOTE",1,0,1,0,0,EF[5]|ADR[6],594103,7,0.011110869236290455,0.009281061589717865,0.9959255456924438,0.0017148855840787292,0.001091220648959279
Пришлось отказаться.,0,0,0,0,0,NEUTRAL,594103,6,0.0013276011450216174,0.00281542562879622,0.012486441992223263,0.002758941613137722,0.0020873474422842264
Стараюсь делать прививки от гриппа каждый год.,0,0,0,1,0,DI[4],652119,1,0.0006433581002056599,0.001676648505963385,0.0018713456811383367,0.5233662128448486,0.2374415397644043
"После прививки температуры не было, общее состояние тоже было хорошее.",1,0,0,0,1,EF[9]|Finding[3],652119,6,0.9557826519012451,0.004604591056704521,0.0013710890198126435,0.9271780252456665,0.4528266489505768
Сильных ОРВИ не было (прошло 2 мес.,0,0,0,0,1,Finding[5],652119,7,0.9484778046607971,0.010003913193941116,0.0026537056546658278,0.9897701740264893,0.02416968159377575
"), но было фарингит (красное горло) - сидели на больничном.",0,0,0,1,0,DI[6],652119,8,0.004994901828467846,0.0050286403857171535,0.00864376500248909,0.9947332143783569,0.006796942558139563
Первый раз почувствовала недомогания - УЖАСНО болели мышцы на ногах (ниже колен) и на руках - от локтей до кончиков пальцев.,0,0,1,0,0,ADR[7],652119,10,0.005364059470593929,0.003615604480728507,0.028320403769612312,0.9941293001174927,0.0038299779407680035
Т. к. мышечная боль - симптом гриппа - то объяснила себе боли иммунизацией организма.,0,0,1,1,0,ADR[8]|DI[1],652119,14,0.006474464666098356,0.003364233998581767,0.05279829353094101,0.9976409673690796,0.2057885080575943
"Надеюсь, гриппом болеть не буду.",0,0,0,1,0,DI[2],652119,16,0.002487407298758626,0.002597340615466237,0.0007426023366861045,0.5049733519554138,0.44867610931396484
делала в сентябре.,0,0,0,0,0,NEUTRAL,652119,5,0.0016070816200226545,0.001259117154404521,0.015387960709631443,0.0020668928045779467,0.0028953268192708492
"Мы начинаем прием ""ударной дозы"" при первых признаках простуды, и как ни странно (возможно, это самовнушение), но он помогает.",1,0,0,1,0,EF[6]|DI[5],639476,2,0.9868451356887817,0.024035552516579628,0.006566774100065231,0.9861974120140076,0.013798089697957039
"Заболевание протекает менее выраженно, ребенок чувствует себя хорошо, не лежит весь день от усталости.",1,0,0,0,1,EF[3]|Finding[4],639476,3,0.9788722395896912,0.004084881395101547,0.0044740005396306515,0.09194623678922653,0.0968019887804985
"У нас бывает, что простуда начинается снова через перу месяцев, тогда пьем что-то другое.",0,0,0,1,0,DI[2],639476,9,0.08181878924369812,0.007968008518218994,0.002797562163323164,0.9877263903617859,0.0022141500376164913
"А так даже для профилактики берем, особенно в осенне-зимний период.",0,0,0,1,0,DI[1],639476,10,0.009177975356578827,0.004454499110579491,0.008061092346906662,0.9955765008926392,0.007479303050786257
"В какой-то мере Анаферон относится к гомеопатии, а такие препараты, как известно, действую очень медленно в плане лечения, но зато эффективно, заставляя организм бороться с вирусом самостоятельно.",0,0,0,0,0,NEUTRAL,639476,6,0.030567314475774765,0.0029381432104855776,0.0033937450498342514,0.0025244313292205334,0.005087547469884157
"Я большой противник всех ... феронов, т. к. они подавляют иммунитет.",0,0,0,0,1,Finding[5],884467,1,0.011972306296229362,0.0066005936823785305,0.006938815116882324,0.011251752264797688,0.9862596988677979
"И рассказывает, что просто невозможно стало: то старший ребенок из школы простуду принесет, вся семья болеет.",0,0,0,1,0,DI[4],884467,4,0.0034803913440555334,0.0045485468581318855,0.004459403920918703,0.9932697415351868,0.03231121599674225
"То муж на работе грипп подхватит, и снова все болеют.",0,0,0,1,0,DI[1],884467,5,0.0024226761888712645,0.047903530299663544,0.0019160943338647485,0.9805861711502075,0.5008368492126465
Мазать носики всех членам семьи в простудный и гриппозный период.,0,0,0,1,0,DI[3],884467,8,0.003499392420053482,0.002123789628967643,0.009119473397731781,0.9888790845870972,0.007299954071640968
"Общее впечатление : Похоже, и правда помогает от вирусов RATING 3 NOTE",1,0,0,0,0,EF[2],884467,11,0.02686065435409546,0.005235485266894102,0.003404093673452735,0.003599918680265546,0.0021518582943826914
"Применять их, я считаю, нужно в крайнем случае.",0,0,0,0,0,NEUTRAL,884467,2,0.0017624308820813894,0.0010387012735009193,0.008695620112121105,0.005282080266624689,0.002277411986142397
"Раньше я никогда не принимала успокаивающие, только что разве на ночь, когда не могла заснуть.",0,0,0,1,0,DI[3],2491250,1,0.04072947055101395,0.0034080094192177057,0.004602178931236267,0.9709877371788025,0.0013859192840754986
"Недавно мне поставили диагноз невроз и я поняла все"" прелести"" заболевания нервной системы-это кошмар.",0,0,0,1,0,DI[1],2491250,2,0.00375733757391572,0.0051896218210458755,0.009273496456444263,0.9940575361251831,0.007383557502180338
"Начали мучить сердцебиения, раздражительность, плаксивость, бессонница.",0,0,0,1,0,DI[7],2491250,3,0.0011221818858757615,0.001160352723672986,0.9442974925041199,0.25041845440864563,0.0005214461707510054
"К сожалению хочу сказать, что при действительно серьезных проблемах с нервной системой она оказалась бесполезной, все равно что ""мертвому припарка"".",0,1,0,0,0,INF[4],2491250,5,0.00822229404002428,0.1925402283668518,0.0033969043288379908,0.9878581762313843,0.003574949689209461
"Даже уснуть не помогает, нужно более сильное средство.",0,1,0,1,0,INF[5]|DI[2],2491250,6,0.021250737830996513,0.996060311794281,0.03380553424358368,0.8089591860771179,0.016504529863595963
"А так если чисто расстроился, расплакался временно, кто то обидел, то вполне поможет успокоиться.",0,0,0,0,1,Finding[6],2491250,7,0.9291884899139404,0.007822045125067234,0.051491763442754745,0.9973989725112915,0.03684243559837341
Время использования: много раз,0,0,0,0,0,NEUTRAL,2491250,8,0.003526480169966817,0.002000595210120082,0.006153397262096405,0.004201836418360472,0.0020399214699864388
"Так как имела проблемы с засыпанием, повышенную активность в течение дня.",0,0,0,1,0,DI[1],2404812,2,0.005185128655284643,0.002868699375540018,0.009223207831382751,0.9924587607383728,0.0056457193568348885
Одной из причин моего психического расстройства врачи признали применение данного препарата.,0,0,0,1,0,DI[2],2404812,4,0.00481230765581131,0.002741868607699871,0.0069274757988750935,0.9853327870368958,0.003123699454590678
А также барбовал провоцирует нарушения женского здоровья.,0,0,1,0,0,ADR[3],2404812,6,0.0006308185402303934,0.003417863743379712,0.8660045266151428,0.0006384617299772799,0.004163149744272232
"Хочу предостеречь любителей растительных препаратов, т. к барбовал содержит фенобарбитал, вызывающий привыкание (похлеще, чем наркотические средства).",0,0,1,0,0,ADR[4],2404812,7,0.006233931984752417,0.005417285021394491,0.027773849666118622,0.0024297682102769613,0.9680257439613342
Лечитесь с умом!,0,0,0,0,0,NEUTRAL,2404812,8,0.0028289398178458214,0.023832421749830246,0.004944097716361284,0.006354143377393484,0.0015630145790055394
"Средство эффективное, иммунный ответ возрастает чуть ли не с первого дня применения, эффект при грамотном курсовом приеме длится 2-3 месяца.",1,0,0,0,0,EF[1],565283,2,0.9971693158149719,0.018124666064977646,0.019480641931295395,0.2837556004524231,0.015221322886645794
"Простым языком: если вы через 5-6 месяцев не повторите курс, то в этот момент риск подхватить инфекционное заболевание повышается, т. е. это сбивает естественные иммунные настройки организма.",0,0,0,0,1,Finding[2],565283,9,0.021938839927315712,0.006753076333552599,0.014192473143339157,0.07378816604614258,0.9890212416648865
Побочек при приеме не наблюдалось.,0,0,0,0,0,NEUTRAL,565283,3,0.005780356004834175,0.0036893808282911777,0.003386987838894129,0.0017397411866113544,0.009260927326977253
"На четвертый раз-второй день, у сына начался пристуобразный кашель, нос полностью перестал дышать(отек носа), сын начал тереть горло как будто и там отек произошел.",0,0,1,1,0,ADR[2]|DI[3],2439532,4,0.05646829307079315,0.05708073824644089,0.9991067051887512,0.49567902088165283,0.01138902548700571
Он просто стал задыхаться.,0,0,1,0,0,ADR[4],2439532,5,0.020819205790758133,0.01084646862000227,0.1553570181131363,0.24932946264743805,0.00021271953301038593
Я быстро дала Зиртек(от аллергии)-можно сказать впихнула ложку с лекарством и через некоторое время все прошло как будто ничего и не было.,0,0,0,1,0,DI[1],2439532,6,0.8591421246528625,0.0014021317474544048,0.0045863427221775055,0.09655532240867615,0.24031122028827667
Читайте побочные эффекты.,0,0,0,0,0,NEUTRAL,2439532,10,0.0016937024192884564,0.0012471480295062065,0.010643860325217247,0.001762541476637125,0.005384606309235096
"Людям, когда бывает плохо - депрессия, ухудшение, нарушение сна, прибегают к таблеткам, с желанием избавиться от плохого самочувствия.",0,0,0,1,0,DI[2],877448,1,0.0034515238367021084,0.002329940674826503,0.0030176984146237373,0.9849475026130676,0.02060190588235855
"Когда принимаешь его, кружится голова, давление скачет и если принимаешь продолжительное время, самое неприятное попадаешь в зависимость.",0,0,1,0,0,ADR[3],877448,5,0.0010648363968357444,0.0011457190848886967,0.9990012049674988,0.002513277344405651,0.004776713438332081
"не станет лучше и не можешь без него, отечность.",0,0,1,0,0,ADR[4],877448,6,0.003968913108110428,0.0061275246553123,0.9973043203353882,0.0009232465527020395,0.0030338591895997524
"Не лучше ли обратиться к травам (хмель в подушку настои успокоительных трав, валериану и т. д)Мне очень помогла методика Сильва (медитация) при чем когда переживала большое горе, потерю родного человека ( не могла спать, страх).",0,0,0,0,1,Finding[1],877448,7,0.5125264525413513,0.00549775967374444,0.010874463245272636,0.9581038951873779,0.0014957885723561049
"Общее впечатление : Лучше не ис пользовать Амитриптилин,от него лучше будет временно.",0,0,0,0,0,NEUTRAL,877448,9,0.02002674899995327,0.01647036150097847,0.004605264402925968,0.0025239151436835527,0.0018999867606908083
Как то простыла я на работе.,0,0,0,1,0,DI[4],893239,1,0.002577545354142785,0.0029716144781559706,0.006726620253175497,0.9763078689575195,0.00314318691380322
"А карандаш для ингаляций очень удобный: и небольшой тоже по размеру, и понюхал, нос пробило.",1,0,1,0,0,EF[1]|ADR[5],893239,11,0.975709080696106,0.0036142957396805286,0.006445775274187326,0.38071581721305847,0.008804352954030037
Может быть конечно аллергия на сам бальзам.,0,0,1,0,0,ADR[6],893239,16,0.0005105432355776429,0.0005082042771391571,0.9944275617599487,0.0010263132862746716,0.002640462014824152
"А в остальном очень удобная штука, которая действительно помогает.",1,0,0,0,0,EF[2],893239,18,0.9594975709915161,0.011107291094958782,0.013877579011023045,0.006378627382218838,0.009343779645860195
Общее впечатление : хорошо помогает при заложенности носа RATING 4 NOTE,0,0,0,1,0,DI[3],893239,20,0.009665190242230892,0.005314793903380632,0.005621299613267183,0.9806822538375854,0.001633429666981101
И не надо мазать нос.,0,0,0,0,0,NEUTRAL,893239,12,0.0025186901912093163,0.0013995716581121087,0.0024698865599930286,0.20092736184597015,0.0032251900993287563
"Случилось мне заболеть: недомогание, боль в суставах, головная боль, из носа течет, на второй день еще и температура поднялась.",0,0,0,1,0,DI[2],655288,2,0.006447684485465288,0.010117695666849613,0.06902801245450974,0.9975200295448303,0.005852209869772196
"В общем итоге, деньги на ветер, а самочувствие не поправлено.",0,1,0,0,0,INF[1],655288,8,0.008963236585259438,0.9834818840026855,0.007541939616203308,0.03649041801691055,0.0239559356123209
Продукт российского производства.,0,0,0,0,0,NEUTRAL,655288,7,0.0020893141627311707,0.0015834226505830884,0.008088276721537113,0.0022818867582827806,0.004001169465482235
Она не помогает.,0,1,0,0,0,INF[1],2723162,8,0.010039768181741238,0.9859426617622375,0.01460560504347086,0.021156392991542816,0.0171702541410923
"Если он сильный, то тебе ничего не страшно.",0,0,0,0,0,NEUTRAL,2723162,10,0.00076390610774979,0.0004990869201719761,0.07003795355558395,0.003302846336737275,0.0019122788216918707
"Преследует меня проблема герпеса, особенно в холодное время года.",0,0,0,1,0,DI[2],2537356,1,0.004302673973143101,0.00331863877363503,0.007883983664214611,0.985353946685791,0.0029236457776278257
"И каково было мое разочарование, когда лечила я герпес около 10 дней.",0,1,0,1,0,INF[1]|DI[3],2537356,5,0.005417374894022942,0.06230534240603447,0.003819195320829749,0.9881812334060669,0.0034676867071539164
В дальнейшем он мне не помог даже в начальной стадии.,0,1,0,0,0,INF[4],2537356,6,0.012519670650362968,0.9871163964271545,0.017746029421687126,0.017877256497740746,0.014316950924694538
"В итоги я обратилась к врачу и она прописала мне ацикловир в таблетках http://otzovik.com/review_2537331.html, который и помог мне быстро справиться с проблемой.",1,0,0,0,0,EF[5],2537356,7,0.9819034337997437,0.015006273984909058,0.009714117273688316,0.018085742369294167,0.010261689312756062
"К сожалению полностью избавиться от нее невозможно, поэтому борюсь как могу.",0,0,0,0,0,NEUTRAL,2537356,2,0.002293578116223216,0.024848463013768196,0.004174708388745785,0.017249904572963715,0.0013291870709508657
Видимый эффект нам наверное рано еще судить но малыш простудился и простуда прошла в легкой форме.,1,0,0,1,0,EF[2]|DI[1],2732647,8,0.9869745969772339,0.050076864659786224,0.00531402975320816,0.9945264458656311,0.024738658219575882
Время использования: несколько курсов,0,0,0,0,0,NEUTRAL,2732647,12,0.007427247706800699,0.0021707459818571806,0.006223863922059536,0.004133135545998812,0.0016404009656980634
При запущенной простуде.,0,0,0,1,0,DI[2],3129222,2,0.005815334618091583,0.003777460427954793,0.010376154445111752,0.9921640157699585,0.003688181983307004
Но пошла аллергия!!!,0,0,1,0,0,ADR[3],3129222,4,0.0008520209812559187,0.001332914805971086,0.9963698387145996,0.00096747069619596,0.0017601563595235348
"Все тело, лицо, руки, ноги в страшных красных прыщах и пятнах вокруг них.",0,0,1,0,0,ADR[5],3129222,5,0.0003155581362079829,0.0008332104189321399,0.9798502922058105,0.0016614618944004178,0.0031308254692703485
"Трем коллегам и подруги ингавирин помогал, но вот у девушки одного из коллег тоже вызвал аллергическую реакция, но она раньше меня догадалась, что это из-за ингавирина.",0,0,1,0,0,ADR[6],3129222,9,0.05071283504366875,0.07488693296909332,0.98406583070755,0.0003171844291500747,0.017409859225153923
Я на него не грешила из-за ситуации с кожей так как уже пила до этого и никаких аллергий не было.,0,0,0,0,1,Finding[1],3129222,10,0.01085403747856617,0.01021530106663704,0.01431828923523426,0.00641813687980175,0.9905419945716858
Но в отчаинии прочла побочки и вот она родная аллергическая реакция которая типа редко!,0,0,1,0,0,ADR[7],3129222,11,0.0006263046525418758,0.0007262352155521512,0.9968208074569702,0.0009565974469296634,0.003358470508828759
У меня до этого никогда ни на что не было аллергии!,0,0,0,0,1,Finding[4],3129222,12,0.007344202604144812,0.007866651751101017,0.015038290992379189,0.004329027142375708,0.983854353427887
Успела пропить две таблетки ингавирина.,0,0,0,0,0,NEUTRAL,3129222,6,0.001783988089300692,0.0011546474415808916,0.010542020201683044,0.0031978273764252663,0.0025970679707825184
"Часто простужаюсь, а при активном насыщенном ритме жизни лекарственных средств, помогающих облегчить симптомы простуды пришлось перепробовать немало, попадался нередко среди них и Колдрекс, однако без особой необходимости стараюсь его не брать и вот почему: наверное, главный фактор - цена, по сути, препарат не имеет каких-либо преимуществ по своей эффективности в сравнении с другими, но ценовая накрутка достаточно впечатляет, то есть, по сути, покупатель платит деньги за весьма масштабную рекламную кампанию препарата.",0,0,0,1,0,DI[1],910748,1,0.39019155502319336,0.2891194224357605,0.01347647700458765,0.9964902997016907,0.01600274071097374
"Да, упаковка красивая, много разных вкусов (также и форм: порошки, таблетки - наиболее популярные), однако, соответственно, много и химических добавок, что, безусловно, оказывает крайне негативное воздействие на желудок.",0,0,0,0,0,NEUTRAL,910748,2,0.0017241323366761208,0.016494981944561005,0.013624321669340134,0.0009581046761013567,0.010033751837909222
"Если пью 1 таблетку, то через некоторое время все равно просыпаюсь, то есть эффект не длительный.",1,1,0,0,0,EF[4]|INF[5],2671902,2,0.45930927991867065,0.9956597685813904,0.927006185054779,0.24090400338172913,0.02214619144797325
"Ели пью 2 таблетки, то да минут через сорок засыпаю, но на утро побочные эффекты голова побаливает, тошнота немного и слабость присутствует.",1,0,1,1,0,EF[3]|ADR[1]|DI[6],2671902,3,0.3782496750354767,0.0632692277431488,0.9995549321174622,0.7607845664024353,0.07308340817689896
"Не буду конкретизировать этот препарат для всех, так как у меня были нервные срывы, и я принимала препараты намного сильнее.",0,0,0,0,1,Finding[7],2671902,5,0.010394291952252388,0.004372311290353537,0.009566553868353367,0.9936095476150513,0.0033025071024894714
Так что может это только мне он не очень помогает.,0,1,0,0,0,INF[2],2671902,6,0.03220558166503906,0.964002251625061,0.009166569449007511,0.007825390435755253,0.00854017585515976
"Единственное преимущество - это приемлемая цена, по сравнению с другими снотворными препаратами "" Сондокс"" очень дешевый, но качество не очень уж.",0,0,0,0,0,NEUTRAL,2671902,4,0.14275765419006348,0.012420783750712872,0.0046944585628807545,0.0030857159290462732,0.0018597382586449385
"У меня шаткая нервная система, поэтому проблемы со сном часто меня беспокоят.",0,0,0,1,1,DI[7]|Finding[1],108315,1,0.006364206783473492,0.0034219655208289623,0.010241271927952766,0.9922795295715332,0.0037863547913730145
А когда организм находится в стрессе так и вообще ночи на пролет не спала!,0,0,0,1,0,DI[2],108315,3,0.00472152978181839,0.15499764680862427,0.011918683536350727,0.9975162744522095,0.06564147025346756
"Нашла решение в донормиле, выпиваешь - засыпаешь!",1,0,0,0,0,EF[3],108315,4,0.0026056254282593727,0.24558189511299133,0.2599457800388336,0.9792181253433228,0.007495539728552103
"Но сон ужасный, утром просыпаешься, а состояние у тебя как будто ты не только ночь не спала, а еще усиленно работала.",0,0,1,0,1,ADR[6]|Finding[9],108315,5,0.19510813057422638,0.1762363314628601,0.998296320438385,0.24600058794021606,0.002984163351356983
