sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
"Стала нервной, капризной, чуть что -сразу визг, к бабушкам и дедушкам не идет, все рядом со мной да на ручках... Тяжело( А ведь перед яслями это был активный, общительный и жизнерадостный малыш... Врачи посоветовали попить успокоительное.",0,0,0,1,1,DI[3]|Finding[1],252298,4,0.002058746526017785,0.0017619123682379723,0.9971696734428406,0.014520764350891113,0.00826763641089201
"После недельного приема дочурка легче стала оставаться в саду, и хоть мы все равно еще плачем там, процесс привыкания идет немного легче.",1,0,0,0,0,EF[2],252298,7,0.0004299568245187402,0.0003968756936956197,0.8271880149841309,0.009136008098721504,0.008283145725727081
"Очень радует то, что таблетки не горькие, я растворяю их в воде и дочка без проблем их пьет не запивая водой.",0,0,0,0,0,NEUTRAL,252298,8,0.0033588327933102846,0.00305971410125494,0.07871873676776886,0.02577294036746025,0.18105365335941315
"И так с появление ребенка в нашей семье и частыми простудными и вирусными заболеваниями в нашей аптечке надолго и крепко поселился ""Афлубин"".",0,0,0,1,0,DI[1],2457636,2,0.006538604851812124,0.006374044343829155,0.006917493883520365,0.6044460535049438,0.1174660250544548
"Болезнь немного отступала, но потом с новой силой приходила и уже не какой ""Афлубин"" не помогал (хотя и пили мы его для профилактики по целому месяцу).",0,1,0,1,0,INF[3]|DI[2],2457636,5,0.002856699749827385,0.0028754672966897488,0.0413140207529068,0.28811439871788025,0.07900896668434143
Иногда казалось что вирусы привыкли к лекарству и попросту на него не реагируют.,0,1,0,0,0,INF[4],2457636,6,0.008453789167106152,0.00886259600520134,0.009045085869729519,0.18322858214378357,0.8671596050262451
Ну как сказать не совсем и бесполезный но нам при длительном использовании перестал помогать вообще.,0,0,0,0,0,NEUTRAL,2457636,1,0.0009451546939089894,0.0007895909948274493,0.9848864674568176,0.0021416926756501198,0.003184167668223381
Я перепрбовала очень много средсвт от простуды.,0,0,0,1,0,DI[1],902248,1,0.011477303691208363,0.010214375331997871,0.01453652884811163,0.8831238746643066,0.034569162875413895
Но эффекта было ноль.,0,1,0,0,0,INF[2],902248,4,0.0007232704665511847,0.0006352805066853762,0.9777674078941345,0.0019259555265307426,0.002831622026860714
Но на себе его действия я не обнаружила.,0,1,0,0,0,INF[3],902248,13,0.0007932225125841796,0.0006851865909993649,0.9808142185211182,0.0019542882218956947,0.0029876157641410828
Общее впечатление : Мне не помогает.Не нравится.,0,1,0,0,0,INF[4],902248,17,0.000764776486903429,0.0006667658453807235,0.9933710098266602,0.0018850188935175538,0.0034269890747964382
Ппри первых симптомах я принимаю порошки.,0,0,0,0,0,NEUTRAL,902248,2,0.002026756526902318,0.002089922549203038,0.024013692513108253,0.10901280492544174,0.01802821457386017
"После удаления небольшой паппиломы на лице (которая появилась повторно спустя 6 месяцев), дерматолог упомянула этот препарат, сказала, можно попробовать.",0,0,0,1,0,DI[5],1410682,1,0.0015096694696694613,0.0014291082043200731,0.9668818712234497,0.16824276745319366,0.004811426158994436
"Но через какое-то время паппилома на лице снова стала возвращаться, да и еще на пальцах рук стали появляться небольшие новообразования.",0,0,0,1,0,DI[8],1410682,3,0.0007104506366886199,0.0006114906864240766,0.9959182143211365,0.0032609228510409594,0.003519655205309391
Помог на 120%!,1,0,0,0,0,EF[4],1410682,6,0.0018521961756050587,0.0018722615204751492,0.02285953424870968,0.029928315430879593,0.026883715763688087
"Бесследно прошла паппилома на лице, прошли новообразования на пальцах рук + прошла бородавка на подушечке указательного пальца, которая была со мной уже лет 10-15.",1,0,0,1,1,EF[1]|DI[2]|Finding[6],1410682,7,0.0008403078536503017,0.0008584611932747066,0.33628523349761963,0.16416646540164948,0.04084666818380356
Из побочных действий у меня были головная боль и сонливость.,0,0,1,0,0,ADR[3],1410682,9,0.0007612666813656688,0.0006716093048453331,0.9971355199813843,0.0018178297905251384,0.004600073676556349
Немного стали выпадать волосы (может не из-за этого).,0,0,1,0,0,ADR[7],1410682,10,0.0007155954954214394,0.0006407168111763895,0.9970406889915466,0.0019189040176570415,0.0038954236079007387
Не жалею и только рада!,0,0,0,0,0,NEUTRAL,1410682,12,0.0018303912365809083,0.0017162853619083762,0.03763898089528084,0.01917348802089691,0.03509809821844101
"Приняла полтаблетки за полчаса до сна, заснула, как будто провалилась куда-то... через час открылись глаза и началось, тело горит, во рту пересохло, язык к небу прилипает, встала такая вялость.",0,0,1,0,0,ADR[1],828011,2,0.0008070635958574712,0.0007247028406709433,0.9972890615463257,0.001941393711604178,0.0036909691989421844
"В итоге выпиоа Полисорб, чтобы промыться.",0,0,0,0,0,NEUTRAL,828011,3,0.0016703797737136483,0.0015317139914259315,0.34881794452667236,0.024495447054505348,0.006174525711685419
"Я очень часто болею простудными заболеваниями, поэтому покупаю разные противовирусные средства.",0,0,0,1,0,DI[1],2670520,3,0.006751589477062225,0.006762402597814798,0.0051583582535386086,0.6358963251113892,0.24637214839458466
"Мазь нужно закладывать в каждую ноздрю на несколько часов, но обычно через минут 15-20 начинаются сильные выделения из носа и приходится его очищать.",0,0,0,1,0,DI[3],2670520,6,0.0007784772315062582,0.000680047960486263,0.9971091151237488,0.0021096498239785433,0.0034452166873961687
С ее помощью насморк быстрее проходит.,1,0,0,1,0,EF[2]|DI[4],2670520,8,0.0015710352454334497,0.0015461626462638378,0.046729665249586105,0.08342449367046356,0.011659481562674046
"Мазь имеет удобную упаковку, с широкой крышечкой, которая плотно закрывается, густую консистенцию, я использую ее ватной палочкой.",0,0,0,0,0,NEUTRAL,2670520,5,0.0005824329564347863,0.0005765801761299372,0.6051628589630127,0.012162204831838608,0.004063376225531101
"На следующее утро появились высыпания на лице и руках, похожие на комариные укусы.",0,0,1,0,0,ADR[1],2388814,2,0.0026373243890702724,0.0022668929304927588,0.9964338541030884,0.015501799993216991,0.08292137831449509
После отмены сыпь проходила медленно.,0,0,1,0,0,ADR[2],2388814,5,0.0007221770356409252,0.0006429774221032858,0.996997594833374,0.0018831501947715878,0.0037292621564120054
Один-два комарика такое сделать не смогли бы.,0,0,0,0,0,NEUTRAL,2388814,3,0.006663329899311066,0.0072611006908118725,0.03841133415699005,0.5633860230445862,0.19006623327732086
Кстати таблетки помогли несколько уменьшить симптомы болезни.,1,0,0,0,0,EF[1],2732826,6,0.002518017077818513,0.002459673909470439,0.011426642537117004,0.10863005369901657,0.031032441183924675
"Данные таблетки идут как антибиотик, точнее противовирусное средство.",0,0,0,0,0,NEUTRAL,2732826,3,0.006966321729123592,0.006551388185471296,0.004829180892556906,0.24910663068294525,0.5085116624832153
"Если бы лежала дома и болела, то и не заметила бы побочных эффектов, а именно сонливость, когда лежала в следующий раз дома при ОРВИ, то спала отлично.",0,0,1,1,0,ADR[3]|DI[1],2800633,4,0.03645019233226776,0.03340102359652519,0.9820625185966492,0.891484797000885,0.08778002113103867
"Но если Вы болезнь переносите на ногах, то это не Ваше средство и не дай Бог, если за рулём транспортного средства, предупреждение на упаковке есть... Так как я болезнь переносила на ногах, то выпив в течение рабочего дня 2 таблетки, через час после применения последней меня начало ""вырубать"" в маршрутном такси, пришлось себя щипать за руку)))) В своей жизни применяла 2 раза лично для себя, членам своей семьи не давала вообще.",0,0,1,0,0,ADR[2],2800633,5,0.001455848105251789,0.0014460646780207753,0.8442638516426086,0.09527327120304108,0.017514273524284363
"В сотаве препарата: парацетамол, цетиризин гидрохлорид, хлорфенирамин малеат, декстрометорфан гидробромид.",0,0,0,0,0,NEUTRAL,2800633,3,0.0032395750749856234,0.0032373738940805197,0.009000587277114391,0.2445896714925766,0.06678878515958786
"Болею я довольно часто, и приходится как-то бороться с простудой.",0,0,0,1,0,DI[2],2492997,1,0.008147712796926498,0.007945376448333263,0.007653812412172556,0.7791031002998352,0.09452059119939804
"""Альтабор"" я стала использовать при простуде постоянно и вот мои наблюдения: - действует медленно, то есть, тем людям, которые ходят на работу и требуют быстрого обесболивающего эффекта, такой препарат не подойдет; - говоря об обесболивании - в этом плане препарат не работает практически никак - только постепенное лечение; - состав, безусловно, порадовал - на травах и только скрепляющие компоненты, что крайне подходит для лечения; Общее лечение длится до 5 дней - за это время боль в горле проходит полностью и воспаление тоже.",1,1,0,1,0,INF[4]|EF[3]|DI[1],2492997,3,0.005157540552318096,0.0046069384552538395,0.11964371800422668,0.19887453317642212,0.033719196915626526
"А так как свекровь - фармацевт, то у меня дома вседа лучшие препараты для лечения в самые болезненные периоды.",0,0,0,0,0,NEUTRAL,2492997,2,0.004467906896024942,0.004372627008706331,0.005280294455587864,0.31031298637390137,0.0965401828289032
"Когда заболела ОРВИ и поделилась этой новостью с двоюродной сестрой, та подогнала мне пару пачек ""Ангрикапс Максима"".",0,0,0,1,0,DI[4],2433935,1,0.008707321248948574,0.008382248692214489,0.009436882100999355,0.7315093278884888,0.07049539685249329
"Для меня это лекарство оказалось абсолютно бесполезным, как мертвому припарка.",0,1,0,0,0,INF[5],2433935,3,0.0018586479127407074,0.0017053659539669752,0.055564045906066895,0.016872260719537735,0.038314998149871826
