sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
Простудные заболевания - очень распространенное явление в наше время.,0,0,0,0,1,Finding[3],875711,1,0.0012173140421509743,0.0010670776246115565,0.006007979158312082,0.0008662207401357591,0.0007912683649919927
каждый человек в своей жизни простужался не по одному разу.,0,0,0,0,1,Finding[4],875711,2,0.001495921635068953,0.0013224083231762052,0.005347616504877806,0.0011877052020281553,0.006595364306122065
"В течение многих лет изобретено множество различных лекарств и это неудивительно, ведь организм имеет такое свойство, как привыкание к лекарству.",0,0,0,0,1,Finding[5],875711,3,0.0011008050059899688,0.0022554274182766676,0.0020999149419367313,0.0007759989821352065,0.0011895456118509173
При очередном простудном заболевании врач выписал на это средство (Амиксин).,0,0,0,1,0,DI[6],875711,5,0.0018363947747275233,0.0019387538777664304,0.0029717078432440758,0.07795292139053345,0.004100751131772995
Через несколько дней от простуды не осталось и следа.,1,0,0,1,0,EF[1]|DI[2],875711,8,0.013856557197868824,0.0026581452693790197,0.00046015408588573337,0.014200201258063316,0.0020912745967507362
То есть когда препарат со временем перестает оказывать эффективное действие на организм.,0,0,0,0,0,NEUTRAL,875711,4,0.0024221993517130613,0.8813685774803162,0.017550209537148476,0.0014519990654662251,0.011361885815858841
"По своему личному опыту могу сказать, что препарат лишь купирует проявления простудного заболевания, избавляет от симптомов, но не вылечивает полностью.",0,1,0,1,0,INF[5]|DI[3],2657172,1,0.19586794078350067,0.8056033253669739,0.001462652231566608,0.3174467086791992,0.015089732594788074
"У меня развился затяжной бронхит, так как я считал, что поправился, а на деле лишь сбил симптомы и заболел сильнее по новой спустя лишь пару дней после казавшегося излечения.",0,0,0,1,0,DI[6],2657172,2,0.006424290593713522,0.06150826811790466,0.25971719622612,0.005171127617359161,0.5911953449249268
"Нужно использовать комплексное лечение, прогревание и принимать лекарства от кашля и насморка отдельно.",0,0,0,1,0,DI[2],2657172,4,0.0016726275207474828,0.003134974278509617,0.0026590756606310606,0.0018445556052029133,0.010235526598989964
"Препарат подходит для быстрого снятия симптомов и облегчения существования, но для выздоровления не годится.",1,1,0,0,0,INF[1]|EF[4],2657172,5,0.5439765453338623,0.8953075408935547,0.0014871165622025728,0.016444120556116104,0.012456010095775127
Впечатление двоякое.,0,0,0,0,0,NEUTRAL,2657172,6,0.0025415620766580105,0.003014401765540242,0.0016587638529017568,0.00048489647451788187,0.00064219965133816
"Иммунофлазид один из немногих препаратов, который облегчает протекание ОРВИ.",1,0,0,1,0,EF[2]|DI[3],656340,2,0.02048586495220661,0.0011713075218722224,0.0004855436854995787,0.014776561409235,0.0023353304713964462
"Препарат желательно применять не только во время болезни, но и после, как бы для подкрепления иммунитета.",0,0,0,1,0,DI[1],656340,7,0.001896133879199624,0.0020637409761548042,0.0026227214839309454,0.0013513395097106695,0.0021093827672302723
"Сколько уже было испробовано всяких разных противовирусных препаратов, на пальцах не пересчитать, и каждый раз когда идешь в аптеку с рецептом, думаешь, авось это то что нам надо( Иногда разочаровываешься в качестве, иногда в цене.",0,0,0,0,0,NEUTRAL,656340,1,0.0018094915430992842,0.002122308826074004,0.0017445358680561185,0.0013115678448230028,0.0006400985876098275
"купила 2 пачки, назначено по 2 таб.",0,0,1,0,0,ADR[1],668099,6,0.001362900249660015,0.0016447940142825246,0.0018707569688558578,0.0012048542266711593,0.0006776005611754954
"в день, 10 дней.",0,0,1,0,0,ADR[4],668099,7,0.001422125264070928,0.0016045162919908762,0.002154500223696232,0.0009950374951586127,0.0005984916351735592
"Вчера выпила, ночью проснулась чтобы покормить ребенка и понимаю что просто не могу встать.",0,0,1,0,0,ADR[3],668099,8,0.000387708394555375,0.0037447179201990366,0.28433921933174133,0.0006413601222448051,0.0032402435317635536
"Целый день хожу как старенькая бабушка, хромая, волочу ногу за собой!",0,0,1,0,0,ADR[2],668099,11,0.0025571719743311405,0.0023344261571764946,0.001321133691817522,0.0019189800368621945,0.0016891186824068427
"Прочитала что могут быть боли в мышцах, мол побочное действие!",0,0,0,0,0,NEUTRAL,668099,13,0.0009673024178482592,0.0007257374236360192,0.01468295231461525,0.0007519072969444096,0.002387651242315769
"Муж болеет орви, в аптеке купили ингавирин.",0,0,0,1,0,DI[3],1325273,1,0.00256402138620615,0.002280233893543482,0.004425116814672947,0.007761784829199314,0.04161780700087547
"Температура правда спала, но после приема третей таблетки начал закашливаться аш до рвоты, мондраш волнами, давление 130(хотя с давлением вообще проблем не было), жуткая головная боль.",1,0,1,1,0,EF[1]|ADR[6]|DI[2],1325273,2,0.0034620000515133142,0.028650503605604172,0.9993149042129517,0.0040907831862568855,0.012974489480257034
"А и ещё голова как будто едит куда-то, х. з куда.",0,0,1,0,0,ADR[5],1325273,4,0.0019718692637979984,0.0011547727044671774,0.991834282875061,0.0009348539751954377,0.001010969514027238
"Ужасный препарат, не надо его покупать, до этого пили кагоцел, цитовир, чего меня дёрнуло купить... Всё выкинула... Кстате при побочке сначала дала лактофильтрум, а потом через час таблетку от аллергии.",0,0,0,0,1,Finding[4],1325273,5,0.00037901889299973845,0.2075222283601761,0.05191094055771828,0.0008319197222590446,0.002471765736117959
"Это было и после второй таблетки, но я на ингавирин даже не подумала, а на следующий день никаких таблеток не пили только ингавирин и началось.",0,0,0,0,0,NEUTRAL,1325273,3,0.0008688601083122194,0.0032227092888206244,0.002361543010920286,0.0008592162048444152,0.0013944926904514432
"Я очень боюсь сквозняков, в результате которых у меня очень часто появляется простуда на губах и глазах.",0,0,0,1,0,DI[5],2412180,1,0.001868436229415238,0.0008979337872005999,0.006142765749245882,0.0012076660059392452,0.002779929433017969
