sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
"Then we tried to smear it in the summer - bitten by mosquitoes, and even combed - did not help either.",0,1,0,0,0,INF[6],591900,4,0.0007685935706831515,0.8934011459350586,0.003048104466870427,0.49503910541534424,0.005143823567777872
"Of course, you may need to use it in combination with internal medication, but as a separate tool it didn't help us.",0,1,0,0,0,INF[3],591900,5,0.004338989965617657,0.9904276132583618,0.006889543030411005,0.008478373289108276,0.008198522962629795
"I also suffered from mosquito bites in the summer, also smeared and also itched and itched.",0,1,0,0,0,INF[7],591900,6,0.026063311845064163,0.04991593584418297,0.0743321105837822,0.042370181530714035,0.9968276619911194
It seems to me that it is not effective.,0,1,0,0,0,INF[2],591900,7,0.005323499906808138,0.989962637424469,0.007161937188357115,0.007212181109935045,0.006322300992906094
I agree that the same tools work differently for different people.,0,0,0,0,0,NEUTRAL,591900,2,0.0012471979716792703,0.0009113099076785147,0.0026873245369642973,0.0010142129613086581,0.0005810027942061424
But ingavirin was able to help me in 3 days.,1,0,0,0,0,EF[3],2663253,4,0.8162028193473816,0.002313428558409214,0.0004987050779163837,0.003558849450200796,0.001382164773531258
"I got SARS, bought Ingavirin in capsules at the pharmacy.",0,0,0,1,0,DI[1],2663253,5,0.002012623241171241,0.003093813080340624,0.009174558334052563,0.9844106435775757,0.004284282214939594
"And helped, on the third day felt great.",1,0,0,0,0,EF[6],2663253,9,0.9932405948638916,0.004270145669579506,0.0026787782553583384,0.003983917646110058,0.0029573964420706034
An excellent effective tool.,1,0,0,0,0,EF[4],2663253,10,0.9935291409492493,0.002424496691673994,0.0033556181006133556,0.0053017414174973965,0.003024432575330138
"Though it may seem expensive, but for great action and you can spend, especially when you are sick and want to be in service as early as possible.",1,0,0,0,0,EF[2],2663253,11,0.027896901592612267,0.0007681234856136143,0.0006181360222399235,0.0031293067149817944,0.003964608069509268
I honestly recommend Ingavirin for the initial symptoms of a cold and even for prevention purposes.,0,0,0,1,0,DI[5],2663253,12,0.004304449539631605,0.001093612750992179,0.012894446961581707,0.9825672507286072,0.0035504268016666174
Probably because of the ads.,0,0,0,0,0,NEUTRAL,2663253,2,0.0008072485798038542,0.0012100805761292577,0.003802342340350151,0.0009377290261909366,0.0005260988837108016
"Recently, I began to suffer from the appearance of herpes on the lips.",0,0,0,1,0,DI[7],832817,1,0.005964352749288082,0.004321018699556589,0.005567711777985096,0.9911256432533264,0.0030853082425892353
"I lived for twenty-three years and nothing like this ever appeared, and once I got sick, my immune system weakened and this nonsense popped out on my lips.",0,0,0,1,0,DI[10],832817,2,0.0006744761485606432,0.011939585208892822,0.009109843522310257,0.8794357776641846,0.10765088349580765
"I have tried all sorts of remedies: Herpevir, Zovirax and some other means, and the doctor recommended me to dry it with alcohol, or rather alcohol solution (by the way, it helped) at an early stage of the appearance of herpes.",0,0,0,1,0,DI[3],832817,3,0.9877641797065735,0.005899032577872276,0.002993225585669279,0.9935601949691772,0.0144911864772439
But once I had herpes again and again when I had a respiratory viral infection.,0,0,0,1,0,DI[9],832817,4,0.003963926807045937,0.008651495911180973,0.003305696416646242,0.9931232333183289,0.007435671519488096
And the next day I was all over.,1,0,0,0,0,EF[6],832817,7,0.001143328147009015,0.0006185161764733493,0.003769003553315997,0.0010357541032135487,0.0008030323078855872
"True, there was still a small wound, but the lip did not swell, did not spread, further herpes did not go.",1,0,0,1,1,EF[1]|DI[8]|Finding[2],832817,8,0.25849029421806335,0.7687939405441284,0.006572288926690817,0.9992343187332153,0.07434390485286713
An excellent tool for fighting herpes.,1,0,0,1,0,EF[5]|DI[4],832817,11,0.9873710870742798,0.0017777467146515846,0.005201744846999645,0.9925227761268616,0.0191966500133276
"Overall impression: the main thing is to start using it at an early stage, the effect is RATING 4 NOTE",0,0,0,0,0,NEUTRAL,832817,13,0.9872982501983643,0.0029294646810740232,0.002136883093044162,0.0033701341599226,0.0025797984562814236
"We were first prescribed it by a doctor for ARVI, gave it a week, no result, then went to the hospital and we were prescribed other drugs.",1,0,0,1,0,EF[4]|DI[2],905423,1,0.004265381954610348,0.8690909743309021,0.02812575362622738,0.993835985660553,0.007744774222373962
"In General, I would not recommend buying it, as several times bought and the result was the same, no!",0,1,0,0,0,INF[1],905423,6,0.0028248631861060858,0.9729592800140381,0.003110189689323306,0.005240964237600565,0.008833004161715508
The General impression : and treated and prevention bullshit!,0,1,0,1,0,INF[3]|DI[5],905423,7,0.003361469367519021,0.005988715216517448,0.006545487325638533,0.990675687789917,0.0032147450838238
"However, this syringe is very hard to see the numbers, the markings are dim.",0,0,0,0,0,NEUTRAL,905423,5,0.0003399441484361887,0.002226812532171607,0.10997225344181061,0.0004787114157807082,0.0005629963707178831
"They prescribe for children with any cold, although I did not notice any special effects from them, what you eat, what you listen to the radio.",0,0,0,1,0,DI[3],578508,1,0.007561605889350176,0.9416846632957458,0.006864239927381277,0.9892128705978394,0.02008441649377346
"I tried to give separately as prevention, eat the whole pack, and it's meaningless, and are not cheap.",0,1,0,1,0,INF[1]|DI[2],578508,4,0.0013934471644461155,0.01149547379463911,0.009977879002690315,0.984516441822052,0.004082594998180866
"One plus can be given to children from birth, does no harm, and mothers quietly it seems that give to protect.""""",0,0,0,0,0,NEUTRAL,578508,6,0.0024453066289424896,0.012859818525612354,0.0016655204817652702,0.050919629633426666,0.7641962766647339
"And I alternate it with Nurofen, when the child's temperature quickly rises between Nurofen doses, and it is still too early to drink Nurofen.",0,0,0,1,0,DI[1],2707053,2,0.014267065562307835,0.003762831911444664,0.010434111580252647,0.9958374500274658,0.005031850654631853
"And that's why we always have two of these medications in our first-aid kit at home: Nurofen and an Analgesic and antipyretic ""Synthesis "" paracetamol for children in suspension.""",0,0,0,0,0,NEUTRAL,2707053,5,0.0008816510671749711,0.0010842226911336184,0.0010285131866112351,0.0035005612298846245,0.0021888825576752424
"Last fall, I decided to try Ratiopharm Echinacea""tablets for prevention.""",0,0,0,1,0,DI[1],2443835,2,0.002835003426298499,0.00251430319622159,0.0054532065987586975,0.9823710918426514,0.003919616341590881
"I drank the course, got sick after all, but the disease was easier and I recovered faster.",1,0,0,0,0,EF[2],2443835,5,0.7270964980125427,0.696748673915863,0.0038067104760557413,0.0010445243678987026,0.02842581830918789
"I don't know, maybe it was just a suggestion that I saw a preventive drug, and can, indeed, ""Echinacea"" it worked.",0,0,0,1,0,DI[3],2443835,6,0.9958987832069397,0.0020533332135528326,0.0028318038675934076,0.9452348947525024,0.04037362337112427
"They are certainly more expensive than their domestic counterparts, but I think the quality is a little better.",0,0,0,0,0,NEUTRAL,2443835,3,0.0037205470725893974,0.002722113858908415,0.001140492269769311,0.000670460460241884,0.0005526490858756006
"Valerian-type remedies don't help me at all, so I started looking for a new remedy.",0,1,0,0,0,INF[1],264987,2,0.0013440721668303013,0.8692423105239868,0.0019518992630764842,0.005236123688519001,0.0030883222352713346
"Tried some, but from some headache, some no effect.",0,1,1,0,0,INF[5]|ADR[7],264987,3,0.0003648958809208125,0.9601221084594727,0.016143228858709335,0.028849409893155098,0.01375421043485403
"Calms very well, no headaches, as I had from other means, drank for a month, the effect is very noticeable, became less irritable, more calm.",1,0,0,1,1,EF[8]|DI[2]|Finding[10],264987,8,0.9994662404060364,0.004213801119476557,0.22909051179885864,0.9788188934326172,0.05572978034615517
"Now I have stopped drinking constantly, but I only use it in stressful situations.",0,0,0,1,0,DI[3],264987,9,0.0015543862245976925,0.002716690069064498,0.000600048340857029,0.012608743272721767,0.001167468959465623
It is also good to drink at night-it normalizes sleep.,1,0,1,0,0,EF[12]|ADR[9],264987,10,0.9985297918319702,0.001020805211737752,0.029731497168540955,0.5619261860847473,0.014213083311915398
"If you drink during the day, no sleepiness is observed, which is important at work.",0,0,0,0,1,Finding[6],264987,11,0.02989158220589161,0.023898817598819733,0.01024542935192585,0.3391819894313812,0.9915103912353516
"This tool is definitely suitable for me, but everything is purely individual.",1,0,0,0,0,EF[4],264987,12,0.994682252407074,0.002424051519483328,0.006481203716248274,0.003346699755638838,0.0036277282051742077
