sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
But phrase everything became much easier.,0,0,0,0,0,NEUTRAL,877405,4,0.8042569756507874,0.01409466378390789,0.011285301297903061,0.009498508647084236,0.00461536506190896
My children are not allergic.,0,0,0,0,1,Finding[2],2886803,2,0.06857625395059586,0.04007310792803764,0.0692928209900856,0.035479288548231125,0.9418743252754211
My children after the start of taking this drug had a severe form of drug Allergy.,0,0,1,0,0,ADR[3],2886803,3,0.012311658822000027,0.011803773231804371,0.977134644985199,0.01244422048330307,0.023712094873189926
"While we were in the hospital, the doctor told us that it is after taking this drug that a lot of children are admitted to emergency hospitals with severe allergic reactions.",0,0,1,0,0,ADR[1],2886803,5,0.021969761699438095,0.009013892151415348,0.04630120471119881,0.41866663098335266,0.8807132840156555
And it leaked very heavily.,0,0,0,0,0,NEUTRAL,2886803,4,0.0066948579624295235,0.005450396798551083,0.02207527682185173,0.011560366488993168,0.010240430012345314
"As soon as I felt that I was beginning to get sick, usually my nose starts to itch, I often sneeze and have a sore throat, then immediately I put these candles on.",0,0,0,1,0,DI[2],5801040,7,0.011860674247145653,0.015504521317780018,0.3270101547241211,0.9934366345405579,0.07453475147485733
"In addition to them, I did not start any treatment, and as a rule, everything went away on the third day.",1,0,0,0,0,EF[1],5801040,10,0.02952352724969387,0.1905343234539032,0.009402871131896973,0.005221472587436438,0.005113222170621157
"And now, if my little son starts to get sick, I also put them on, easily and effectively, it always helps.",0,0,0,0,0,NEUTRAL,5801040,13,0.9794121384620667,0.010027142241597176,0.012119101360440254,0.03211711719632149,0.018706711009144783
"At work the afternoon I felt ill, started vomiting, became ill the whole body.",0,0,0,1,0,DI[1],24065,1,0.004019222687929869,0.004456548485904932,0.8779098987579346,0.025313764810562134,0.15003837645053864
"As I knew, these were the first signs of a cold, if I don't take action, I won't be able to get out of bed tomorrow.",0,0,0,1,0,DI[5],24065,2,0.05804242566227913,0.05503891780972481,0.008687213994562626,0.9972008466720581,0.013497082516551018
I took it according to the instructions and at the end of the working day I felt good.,1,0,0,0,0,EF[3],24065,6,0.9429438710212708,0.0139293372631073,0.010402210988104343,0.009491619653999805,0.01406971737742424
"For prevention, I took another pill, and now I always carry ""Rinza""with me, you never know what.",0,0,0,1,0,DI[2],24065,8,0.13144218921661377,0.02621210180222988,0.009592498652637005,0.997098445892334,0.010416299104690552
"I don't know about you, but in my case helped, so I trust him.",1,0,0,0,0,EF[4],24065,10,0.9779537916183472,0.016001425683498383,0.013645240105688572,0.019161555916070938,0.01617339998483658
"During lunch I went to the pharmacy where I was advised to buy ""Arbidol"" or ""Rien"", based on the price I bought the second cure.",0,0,0,0,0,NEUTRAL,24065,4,0.007733495440334082,0.006412376184016466,0.011299580335617065,0.013735051266849041,0.05368035286664963
"Unfortunately, it didn't give any results, and two weeks later we got sick.",0,1,0,0,0,INF[2],217439,4,0.020489957183599472,0.9871577620506287,0.02251446805894375,0.04219367727637291,0.015962492674589157
"Recovered, again in the garden with IRS-19, but again came down, and with a strong rhinitis.",0,0,1,0,0,ADR[5],217439,5,0.11167840659618378,0.45012524724006653,0.03893885761499405,0.9970945119857788,0.01315181516110897
I have never seen such green and thick snot from my daughter.,0,0,1,0,0,ADR[4],217439,6,0.005497131031006575,0.027112798765301704,0.008200334385037422,0.9914191961288452,0.013853111304342747
"I was told that I need to read the manual, it says side effects: bronchitis, sinusitis and laryngitis.",0,0,0,0,1,Finding[1],217439,8,0.002646218053996563,0.0056985183618962765,0.029255438596010208,0.893524169921875,0.15925705432891846
"In our case, there was a strong rhinitis.",0,0,1,0,0,ADR[3],217439,9,0.015675174072384834,0.017499281093478203,0.005896346177905798,0.9920360445976257,0.008401649072766304
"We always want the child to be healthy, so we are looking for ways to protect ourselves from viruses.",0,0,0,0,0,NEUTRAL,217439,1,0.0038548854645341635,0.004299071617424488,0.0062948125414550304,0.1532675325870514,0.016728240996599197
"But it did not suit us for one interesting reason: it can not be chewed and washed down with water, nor crushed and diluted to drink.",0,1,0,0,0,INF[1],2706079,2,0.005092935170978308,0.8744479417800903,0.04598044231534004,0.007640304043889046,0.03534878045320511
Only then will the drug be useful with a high degree of probability.,0,0,0,0,0,NEUTRAL,2706079,4,0.021961897611618042,0.01732795499265194,0.009838283061981201,0.0050642709247767925,0.005954810418188572
