sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
"I became nervous, Moody, just a little something-immediately screeching, to the grandparents does not go, everything is next to me and on the handles... Hard( and after all, before the nursery it was an active, sociable and cheerful baby... Doctors advised to drink a sedative.",0,0,0,1,1,DI[3]|Finding[1],252298,4,0.0028002916369587183,0.008726785890758038,0.16848544776439667,0.9880684018135071,0.0862838476896286
"After a week of taking the baby, it's easier to stay in the garden, and even though we still cry there, the process of getting used to it is a little easier.",1,0,0,0,0,EF[2],252298,7,0.9904574155807495,0.011879472061991692,0.05484115332365036,0.04837901145219803,0.012527136132121086
"I am very happy that the tablets are not bitter, I dissolve them in water and my daughter has no problems drinking them without drinking water.",0,0,0,0,0,NEUTRAL,252298,8,0.04021056741476059,0.003308413550257683,0.010341765359044075,0.003580912947654724,0.06253088265657425
"And so with the appearance of a child in our family and frequent colds and viral diseases in our medicine Cabinet for a long time and firmly settled ""Aflubin"".",0,0,0,1,0,DI[1],2457636,2,0.010064542293548584,0.005460481159389019,0.009442701004445553,0.9866586327552795,0.006351855583488941
"The disease receded a little, but then came with a new force and no longer what Aflubin """" did not help (although we drank it for prevention for a whole month).""",0,1,0,1,0,INF[3]|DI[2],2457636,5,0.044135577976703644,0.9830734729766846,0.016530882567167282,0.9842363595962524,0.02668909728527069
Sometimes it seemed that viruses are used to the drug and simply do not respond to it.,0,1,0,0,0,INF[4],2457636,6,0.003256225259974599,0.02399599365890026,0.0058968523517251015,0.010694131255149841,0.00718708848580718
Well can not say completely useless but we are in the long-term use stopped to help at all.,0,0,0,0,0,NEUTRAL,2457636,1,0.03581678122282028,0.9786657691001892,0.01155672874301672,0.01607692241668701,0.01760329306125641
I've tried a lot of cold remedies.,0,0,0,1,0,DI[1],902248,1,0.004638842307031155,0.004745166283100843,0.008209592662751675,0.973381757736206,0.008660734631121159
But the effect was zero.,0,1,0,0,0,INF[2],902248,4,0.017665691673755646,0.987655758857727,0.020254775881767273,0.026363832876086235,0.024138929322361946
But I didn't find it working on me.,0,1,0,0,0,INF[3],902248,13,0.013212098740041256,0.9839017987251282,0.019754167646169662,0.02222803421318531,0.024653015658259392
Overall impression: it doesn't help Me.Dislike.,0,1,0,0,0,INF[4],902248,17,0.02119167521595955,0.964722752571106,0.015861744061112404,0.010525156743824482,0.01320589054375887
"At the first symptoms, I take powders.",0,0,0,0,0,NEUTRAL,902248,2,0.006527801044285297,0.0037016281858086586,0.004975329618901014,0.9077541828155518,0.005359011702239513
"After removing a small pappiloma on the face (which reappeared 6 months later), the dermatologist mentioned this drug, said you can try it.",0,0,0,1,0,DI[5],1410682,1,0.0058791423216462135,0.0043614874593913555,0.009478135965764523,0.9728055000305176,0.00736304372549057
"But after some time, pappiloma on the face began to return again, and even on the fingers of the hands began to appear small tumors.",0,0,0,1,0,DI[8],1410682,3,0.007026993669569492,0.021590620279312134,0.5130246877670288,0.9289452433586121,0.0049277241341769695
Helped by 120%!,1,0,0,0,0,EF[4],1410682,6,0.981116771697998,0.018849171698093414,0.01476859301328659,0.016846003010869026,0.012578160502016544
"Pappiloma on the face passed without a trace, neoplasms on the fingers of the hands passed + a wart on the pad of the index finger, which was with me for 10-15 years.",1,0,0,1,1,EF[1]|DI[2]|Finding[6],1410682,7,0.7886012196540833,0.009481574408710003,0.4859859347343445,0.5472462773323059,0.7191342711448669
"Of the side effects, I had a headache and drowsiness.",0,0,1,0,0,ADR[3],1410682,9,0.011756201274693012,0.01218020636588335,0.9612960815429688,0.012507707811892033,0.011147808283567429
A little hair began to fall out (maybe not because of this).,0,0,1,0,0,ADR[7],1410682,10,0.018525727093219757,0.0038310857489705086,0.8436185717582703,0.0740581676363945,0.003269603941589594
I do not regret it and I am only glad!,0,0,0,0,0,NEUTRAL,1410682,12,0.06607674062252045,0.0054448265582323074,0.004490850493311882,0.007404629606753588,0.003625514218583703
"I took half a tablet half an hour before bed, fell asleep, as if I fell somewhere... after an hour, my eyes opened and it started, my body is burning, my mouth is dry, my tongue sticks to the roof of my mouth, I feel so lethargic.",0,0,1,0,0,ADR[1],828011,2,0.022832613438367844,0.021616598591208458,0.9881055355072021,0.021094681695103645,0.016839364543557167
"In the end, I drank POLYSORB to wash myself.",0,0,0,0,0,NEUTRAL,828011,3,0.00910903513431549,0.00641371076926589,0.006429229862987995,0.008384840562939644,0.0059384535998106
"I often suffer from colds, so I buy different antivirals.",0,0,0,1,0,DI[1],2670520,3,0.0054661575704813,0.004568416625261307,0.008185490034520626,0.974250316619873,0.007390701211988926
"The ointment should be placed in each nostril for a few hours, but usually after 15-20 minutes, strong discharge from the nose begins and it has to be cleaned.",0,0,0,1,0,DI[3],2670520,6,0.015938853845000267,0.03643399104475975,0.9636511206626892,0.009384386241436005,0.008808944374322891
"With its help, the runny nose passes faster.",1,0,0,1,0,EF[2]|DI[4],2670520,8,0.9850723147392273,0.023639414459466934,0.010307594202458858,0.974040687084198,0.0101050715893507
"The ointment has a convenient packaging, with a wide lid that closes tightly, a thick consistency, I use it with a cotton swab.",0,0,0,0,0,NEUTRAL,2670520,5,0.0074883452616631985,0.003801872953772545,0.016541732475161552,0.006564214825630188,0.00859215296804905
"The next morning, there were rashes on the face and hands, similar to mosquito bites.",0,0,1,0,0,ADR[1],2388814,2,0.009389201179146767,0.009547262452542782,0.966178834438324,0.014191211201250553,0.0172196663916111
"After cancellation, the rash passed slowly.",0,0,1,0,0,ADR[2],2388814,5,0.9127504825592041,0.012874681502580643,0.5953839421272278,0.020459044724702835,0.01801028847694397
One or two mosquitoes couldn't do that.,0,0,0,0,0,NEUTRAL,2388814,3,0.0017118410905823112,0.026411892846226692,0.05379977822303772,0.006174156907945871,0.007510886527597904
"By the way, the pills helped somewhat reduce the symptoms of the disease.",1,0,0,0,0,EF[1],2732826,6,0.9895603656768799,0.015575836412608624,0.016769545152783394,0.054063741117715836,0.01075954269617796
"These tablets are used as an antibiotic, or rather an antiviral agent.",0,0,0,0,0,NEUTRAL,2732826,3,0.0039172605611383915,0.003975997678935528,0.007878648117184639,0.01663973368704319,0.03759422525763512
"If I lay at home and was ill, I would not have noticed the side effects, namely drowsiness, when I lay at home next time with SARS, I slept perfectly.",0,0,1,1,0,ADR[3]|DI[1],2800633,4,0.05944870412349701,0.05245182663202286,0.09080658107995987,0.9976869821548462,0.263538122177124
"But if you carry the disease on your feet, then this is not Your vehicle and God forbid, if you are driving a vehicle, there is a warning on the package... Since I was carrying the disease on my feet, after drinking 2 tablets during the working day, an hour after applying the latter, I began to ""knock out"" in a minibus, I had to pinch my hand)))) In my life, I used it 2 times personally for myself, I did not give it to my family members at all.",0,0,1,0,0,ADR[2],2800633,5,0.051216140389442444,0.006332911550998688,0.8615227341651917,0.36455267667770386,0.003067753743380308
"In the sotave of the drug: paracetamol, cetirizine hydrochloride, chlorpheniramine maleate, dextromethorphan hydrobromide.",0,0,0,0,0,NEUTRAL,2800633,3,0.003737045917659998,0.005334183573722839,0.014006325975060463,0.00940525159239769,0.05276566743850708
