EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
0,0,1,0,0,ADR[3],594103,3,0.08518287539482117,0.04629603028297424,0.8760093450546265,0.033445000648498535,0.12697833776474
1,0,1,0,0,EF[5]|ADR[6],594103,7,0.5925205945968628,0.03454458713531494,0.7907565832138062,0.09357079863548279,0.08703494071960449
0,0,0,0,0,NEUTRAL,594103,6,0.10307985544204712,0.11502087116241455,0.025202959775924683,0.03187039494514465,0.025591880083084106
0,0,0,1,0,DI[4],652119,1,0.01998165249824524,0.013825684785842896,0.037301868200302124,0.18913182616233826,0.048204630613327026
1,0,0,0,1,EF[9]|Finding[3],652119,6,0.8793541193008423,0.4662257432937622,0.04491439461708069,0.5557213425636292,0.06519326567649841
0,0,0,0,1,Finding[5],652119,7,0.17742547392845154,0.19872573018074036,0.03518834710121155,0.9858125448226929,0.142228364944458
0,0,0,1,0,DI[6],652119,8,0.037445634603500366,0.03404504060745239,0.027996331453323364,0.9573677778244019,0.08248713612556458
0,0,1,0,0,ADR[7],652119,10,0.04356825351715088,0.03669294714927673,0.059865981340408325,0.9624553918838501,0.10858449339866638
0,0,1,1,0,ADR[8]|DI[1],652119,14,0.034695714712142944,0.04468664526939392,0.02809619903564453,0.9618122577667236,0.0963493287563324
0,0,0,1,0,DI[2],652119,16,0.03411370515823364,0.06660580635070801,0.011724025011062622,0.2139732837677002,0.03109598159790039
0,0,0,0,0,NEUTRAL,652119,5,0.052891433238983154,0.03280523419380188,0.029830366373062134,0.031018465757369995,0.03711339831352234
1,0,0,1,0,EF[6]|DI[5],639476,2,0.7968342304229736,0.08465588092803955,0.036402612924575806,0.95295250415802,0.10199034214019775
1,0,0,0,1,EF[3]|Finding[4],639476,3,0.9264160394668579,0.050374001264572144,0.10394692420959473,0.3284200429916382,0.060730576515197754
0,0,0,1,0,DI[2],639476,9,0.16468730568885803,0.10010802745819092,0.024284303188323975,0.9822017550468445,0.09586969017982483
0,0,0,1,0,DI[1],639476,10,0.0417904257774353,0.02642419934272766,0.019380420446395874,0.9397748708724976,0.06540355086326599
0,0,0,0,0,NEUTRAL,639476,6,0.7816778421401978,0.034609854221343994,0.028959602117538452,0.24361038208007812,0.05231213569641113
0,0,0,0,1,Finding[5],884467,1,0.1727527678012848,0.11643430590629578,0.00847432017326355,0.4114788770675659,0.0369148850440979
0,0,0,1,0,DI[4],884467,4,0.06031978130340576,0.03546890616416931,0.014871478080749512,0.942143440246582,0.06243175268173218
0,0,0,1,0,DI[1],884467,5,0.09847104549407959,0.6738523244857788,0.020806342363357544,0.6911325454711914,0.07018369436264038
0,0,0,1,0,DI[3],884467,8,0.0387151837348938,0.02828758955001831,0.02278551459312439,0.9471179842948914,0.06956008076667786
1,0,0,0,0,EF[2],884467,11,0.5423575639724731,0.052341997623443604,0.029119253158569336,0.052644044160842896,0.027990490198135376
0,0,0,0,0,NEUTRAL,884467,2,0.06529402732849121,0.04107818007469177,0.026441872119903564,0.027398288249969482,0.03907907009124756
