EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
0,0,0,0,1,Finding[3],875711,1,0.03574049472808838,0.04875573515892029,0.007544964551925659,0.9420778751373291,0.02789539098739624
0,0,0,0,1,Finding[4],875711,2,0.059534937143325806,0.035117506980895996,0.010491251945495605,0.9696648120880127,0.05462130904197693
0,0,0,0,1,Finding[5],875711,3,0.004641026258468628,0.006453812122344971,0.038197726011276245,0.008421003818511963,0.02859899401664734
0,0,0,1,0,DI[6],875711,5,0.05634087324142456,0.030826270580291748,0.015108615159988403,0.9703080654144287,0.03251051902770996
1,0,0,1,0,EF[1]|DI[2],875711,8,0.17469307780265808,0.871803879737854,0.013603925704956055,0.9664623737335205,0.07506340742111206
0,0,0,0,0,NEUTRAL,875711,4,0.06359037756919861,0.46546047925949097,0.010497182607650757,0.0037911832332611084,0.008219301700592041
0,1,0,1,0,INF[5]|DI[3],2657172,1,0.03701967000961304,0.09005305171012878,0.007856667041778564,0.9646281003952026,0.05317211151123047
0,0,0,1,0,DI[6],2657172,2,0.21233555674552917,0.02418309450149536,0.0164719820022583,0.9851950407028198,0.06033211946487427
0,0,0,1,0,DI[2],2657172,4,0.09495094418525696,0.025417238473892212,0.012527018785476685,0.9745115041732788,0.032955020666122437
1,1,0,0,0,INF[1]|EF[4],2657172,5,0.028730183839797974,0.022930622100830078,0.0036751627922058105,0.008588850498199463,0.004974782466888428
0,0,0,0,0,NEUTRAL,2657172,6,0.010583460330963135,0.0076141357421875,0.01290246844291687,0.006415724754333496,0.004257082939147949
1,0,0,1,0,EF[2]|DI[3],656340,2,0.9519219398498535,0.024972349405288696,0.17581602931022644,0.9076403975486755,0.23198413848876953
0,0,0,1,0,DI[1],656340,7,0.0172385573387146,0.021720528602600098,0.013877540826797485,0.9409907460212708,0.06047061085700989
0,0,0,0,0,NEUTRAL,656340,1,0.010938137769699097,0.01292949914932251,0.0073754191398620605,0.006948292255401611,0.0076409876346588135
0,0,1,0,0,ADR[1],668099,6,0.01131218671798706,0.004586249589920044,0.019128650426864624,0.007399618625640869,0.00493505597114563
0,0,1,0,0,ADR[4],668099,7,0.010666340589523315,0.0037592947483062744,0.03324073553085327,0.005627542734146118,0.004762321710586548
0,0,1,0,0,ADR[3],668099,8,0.0065524280071258545,0.0028269588947296143,0.19511839747428894,0.013394355773925781,0.03221645951271057
0,0,1,0,0,ADR[2],668099,11,0.00342404842376709,0.006279170513153076,0.6360021829605103,0.012630313634872437,0.07901674509048462
0,0,0,0,0,NEUTRAL,668099,13,0.0043191611766815186,0.007747381925582886,0.8442755937576294,0.014264732599258423,0.17121335864067078
0,0,0,1,0,DI[3],1325273,1,0.03665429353713989,0.02076655626296997,0.008137643337249756,0.9151596426963806,0.019905507564544678
1,0,1,1,0,EF[1]|ADR[6]|DI[2],1325273,2,0.022127628326416016,0.037706583738327026,0.9925209879875183,0.02083316445350647,0.04443803429603577
0,0,1,0,0,ADR[5],1325273,4,0.013793498277664185,0.008157342672348022,0.9661567211151123,0.010390043258666992,0.018098384141921997
