EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
0,0,0,0,0,NEUTRAL,877405,4,0.6137983202934265,0.06241521239280701,0.015134721994400024,0.0346638560295105,0.015738338232040405
0,0,0,0,1,Finding[2],2886803,2,0.08109396696090698,0.18531543016433716,0.10173597931861877,0.11541995406150818,0.5037940144538879
0,0,1,0,0,ADR[3],2886803,3,0.02553766965866089,0.04650735855102539,0.8946465253829956,0.028496861457824707,0.08534222841262817
0,0,1,0,0,ADR[1],2886803,5,0.05687934160232544,0.044822514057159424,0.17499619722366333,0.308992862701416,0.44901958107948303
0,0,0,0,0,NEUTRAL,2886803,4,0.11089563369750977,0.03195837140083313,0.01016971468925476,0.046912938356399536,0.011628180742263794
0,0,0,1,0,DI[2],5801040,7,0.07974183559417725,0.027921050786972046,0.0891386866569519,0.9779680967330933,0.16642582416534424
1,0,0,0,0,EF[1],5801040,10,0.14037039875984192,0.696617841720581,0.02034097909927368,0.03199875354766846,0.025942295789718628
0,0,0,0,0,NEUTRAL,5801040,13,0.8548098206520081,0.12123078107833862,0.0239831805229187,0.032177746295928955,0.02948784828186035
0,0,0,1,0,DI[1],24065,1,0.31090787053108215,0.0414254367351532,0.08112993836402893,0.9820908308029175,0.10712668299674988
0,0,0,1,0,DI[5],24065,2,0.06631705164909363,0.0351811945438385,0.021162360906600952,0.975151538848877,0.08122536540031433
1,0,0,0,0,EF[3],24065,6,0.9335575103759766,0.047351449728012085,0.057498782873153687,0.11420178413391113,0.05193445086479187
0,0,0,1,0,DI[2],24065,8,0.04322129487991333,0.029008477926254272,0.024246513843536377,0.966017484664917,0.0741313099861145
1,0,0,0,0,EF[4],24065,10,0.8949509263038635,0.06257587671279907,0.03844723105430603,0.04663205146789551,0.037852317094802856
0,0,0,0,0,NEUTRAL,24065,4,0.01650029420852661,0.015151172876358032,0.0427606999874115,0.07941219210624695,0.01867815852165222
0,1,0,0,0,INF[2],217439,4,0.0770653486251831,0.9242385625839233,0.051583945751190186,0.07051810622215271,0.07014700770378113
0,0,1,0,0,ADR[5],217439,5,0.18624144792556763,0.4650382697582245,0.015307337045669556,0.9678260684013367,0.10206705331802368
0,0,1,0,0,ADR[4],217439,6,0.09022846817970276,0.11438310146331787,0.015161395072937012,0.979804277420044,0.09096226096153259
0,0,0,0,1,Finding[1],217439,8,0.01836565136909485,0.019951969385147095,0.04419025778770447,0.8945453763008118,0.11438733339309692
0,0,1,0,0,ADR[3],217439,9,0.02021157741546631,0.010256588459014893,0.06577101349830627,0.3978292942047119,0.08196684718132019
0,0,0,0,0,NEUTRAL,217439,1,0.03954198956489563,0.010979712009429932,0.01403924822807312,0.3174114227294922,0.020783662796020508
0,1,0,0,0,INF[1],2706079,2,0.023980438709259033,0.7012065649032593,0.0428624153137207,0.0776725709438324,0.07667383551597595
0,0,0,0,0,NEUTRAL,2706079,4,0.023182064294815063,0.02069026231765747,0.09045475721359253,0.029642850160598755,0.03280472755432129
0,0,0,0,1,Finding[4],2734199,1,0.04233011603355408,0.015434175729751587,0.02592933177947998,0.9494400024414062,0.060241878032684326
0,0,0,0,1,Finding[2],2734199,3,0.5836597084999084,0.06946182250976562,0.015946686267852783,0.9678550958633423,0.0747901201248169
0,0,1,1,1,ADR[1]|DI[3]|Finding[5],2734199,6,0.06478902697563171,0.04411384463310242,0.14879390597343445,0.979080080986023,0.18625304102897644
0,0,0,0,0,NEUTRAL,2734199,8,0.03579851984977722,0.029835611581802368,0.035719484090805054,0.02199193835258484,0.014991223812103271
0,0,0,1,0,DI[3],2689254,2,0.03417783975601196,0.024046331644058228,0.023748189210891724,0.950351357460022,0.054414600133895874
0,0,1,0,0,ADR[1],2689254,6,0.016711413860321045,0.03483623266220093,0.8802167177200317,0.10259270668029785,0.1607450246810913
0,0,1,0,0,ADR[2],2689254,7,0.04274836182594299,0.05726614594459534,0.37242111563682556,0.13077029585838318,0.4883909225463867
0,0,0,0,1,Finding[4],2689254,8,0.4716622829437256,0.07689058780670166,0.007891207933425903,0.1994340419769287,0.06697413325309753
0,0,0,0,0,NEUTRAL,2689254,5,0.4345783591270447,0.015330314636230469,0.01887628436088562,0.08631011843681335,0.016271322965621948
0,0,0,1,0,DI[1],2883218,2,0.02752453088760376,0.018993079662322998,0.0384594202041626,0.914933443069458,0.14511477947235107
0,0,1,0,0,ADR[2],2883218,4,0.04500117897987366,0.052858591079711914,0.9448301792144775,0.04496219754219055,0.06345704197883606
0,0,1,0,0,ADR[3],2883218,9,0.3613656759262085,0.10681164264678955,0.058348894119262695,0.9697616696357727,0.2774074673652649
0,0,0,0,0,NEUTRAL,2883218,7,0.0353035032749176,0.022635608911514282,0.017129510641098022,0.9299708604812622,0.05109381675720215
0,0,0,1,0,DI[6],901487,1,0.03427666425704956,0.02672797441482544,0.03000125288963318,0.9648251533508301,0.08095651865005493
0,1,0,0,0,INF[5],901487,2,0.27960342168807983,0.028831183910369873,0.02679961919784546,0.020101934671401978,0.0144747793674469
1,1,1,1,0,EF[1]|INF[7]|ADR[8]|DI[4],901487,5,0.06541436910629272,0.057045549154281616,0.9689977169036865,0.09835800528526306,0.12792423367500305
0,0,1,0,0,ADR[2],901487,6,0.039160847663879395,0.05128723382949829,0.9381442666053772,0.04326832294464111,0.07121899724006653
0,0,1,0,0,ADR[3],901487,8,0.027517467737197876,0.023783057928085327,0.26795804500579834,0.8568123579025269,0.26716428995132446
0,0,0,0,0,NEUTRAL,901487,3,0.01708117127418518,0.02297636866569519,0.022819995880126953,0.13946619629859924,0.015236496925354004
0,0,0,1,0,DI[3],2869916,1,0.023336559534072876,0.014398843050003052,0.02551746368408203,0.8843456506729126,0.03975042700767517
0,0,0,1,0,DI[1],2869916,2,0.07612469792366028,0.029193967580795288,0.01779535412788391,0.9667903184890747,0.05340313911437988
1,0,0,0,0,EF[2],2869916,8,0.921684205532074,0.07387804985046387,0.05077594518661499,0.048001766204833984,0.0467371940612793
1,0,0,1,0,EF[4]|DI[5],2869916,9,0.14839011430740356,0.06106141209602356,0.019953429698944092,0.9848170280456543,0.09550395607948303
0,0,0,1,0,DI[6],2869916,11,0.02610677480697632,0.017824441194534302,0.0285358726978302,0.9329490661621094,0.0616278350353241
0,0,0,0,0,NEUTRAL,2869916,4,0.033943742513656616,0.018488526344299316,0.048304468393325806,0.02720680832862854,0.0145052969455719
0,0,0,1,0,DI[6],792635,1,0.10574015974998474,0.032457560300827026,0.043174415826797485,0.8879427909851074,0.11824870109558105
0,0,0,1,0,DI[4],792635,2,0.041650742292404175,0.019861698150634766,0.5131198763847351,0.2936825156211853,0.19845405220985413
1,0,0,1,0,EF[2]|DI[8],792635,7,0.9293279051780701,0.05075308680534363,0.12343284487724304,0.7413371205329895,0.11813971400260925
1,0,1,0,0,EF[3]|ADR[1],792635,10,0.8998414278030396,0.17176693677902222,0.051583677530288696,0.03228113055229187,0.053205251693725586
0,0,0,1,0,DI[7],792635,11,0.019873052835464478,0.016816049814224243,0.023667514324188232,0.8773859143257141,0.043793678283691406
0,0,0,0,1,Finding[5],792635,13,0.0533793568611145,0.08596110343933105,0.2809903621673584,0.08675166964530945,0.48407965898513794
0,0,0,0,0,NEUTRAL,792635,5,0.029704272747039795,0.027353018522262573,0.040908098220825195,0.029005318880081177,0.020081907510757446
0,0,0,1,0,DI[3],641485,3,0.016102761030197144,0.014391511678695679,0.024757742881774902,0.20817536115646362,0.018010377883911133
0,1,0,0,0,INF[2],641485,5,0.8985764384269714,0.2303701937198639,0.022804558277130127,0.0448242723941803,0.0370936393737793
0,1,0,0,0,INF[1],641485,6,0.683072030544281,0.03166317939758301,0.03133353590965271,0.030618280172348022,0.02560904622077942
0,0,0,0,0,NEUTRAL,641485,2,0.09675350785255432,0.025010228157043457,0.020485341548919678,0.026963800191879272,0.012560904026031494
1,0,0,1,0,EF[1]|DI[2],594839,1,0.3937705457210541,0.0474114716053009,0.1653793752193451,0.9726238250732422,0.17116212844848633
0,0,1,0,0,ADR[5],594839,2,0.03348648548126221,0.04389968514442444,0.9030426144599915,0.15497729182243347,0.1381409466266632
1,1,0,1,0,INF[3]|EF[6]|DI[4],594839,3,0.8977175951004028,0.22442790865898132,0.06747928261756897,0.9510515928268433,0.229566752910614
0,0,0,0,0,NEUTRAL,594839,5,0.7619228363037109,0.0319400429725647,0.039012014865875244,0.03629857301712036,0.024664193391799927
0,0,0,1,0,DI[1],2533802,6,0.041683048009872437,0.02507951855659485,0.028195887804031372,0.9689865112304688,0.09089335799217224
0,0,0,1,0,DI[2],2533802,8,0.027782738208770752,0.01716199517250061,0.02502959966659546,0.9297661781311035,0.05773133039474487
0,0,0,0,0,NEUTRAL,2533802,1,0.03362834453582764,0.01905497908592224,0.028491824865341187,0.04172086715698242,0.01403382420539856
1,0,0,0,0,EF[1],822720,3,0.4840864837169647,0.024818480014801025,0.02934318780899048,0.024162322282791138,0.017941147089004517
0,0,0,0,0,NEUTRAL,822720,2,0.05514618754386902,0.030754804611206055,0.011370271444320679,0.897577166557312,0.03611668944358826
1,0,1,1,0,EF[7]|ADR[1]|DI[4],2685800,2,0.7265157699584961,0.02454221248626709,0.1027427613735199,0.892755925655365,0.2988181710243225
1,0,0,0,0,EF[2],2685800,3,0.9406787753105164,0.054967522621154785,0.06390321254730225,0.10071101784706116,0.056076765060424805
1,0,0,0,0,EF[8],2685800,6,0.8820890188217163,0.054005444049835205,0.04280933737754822,0.037864506244659424,0.048125624656677246
0,0,0,1,0,DI[5],2685800,7,0.031041473150253296,0.021425992250442505,0.02319839596748352,0.9485198855400085,0.06140023469924927
0,0,0,0,1,Finding[3],2685800,8,0.2585573196411133,0.03698429465293884,0.11116629838943481,0.4713759124279022,0.3691968321800232
0,0,0,1,0,DI[6],2685800,11,0.05724295973777771,0.008365720510482788,0.09090179204940796,0.8485987186431885,0.14188677072525024
0,0,0,0,0,NEUTRAL,2685800,5,0.106190025806427,0.021484732627868652,0.7604218125343323,0.022028326988220215,0.06748959422111511
1,0,0,0,0,EF[1],2452343,11,0.39080262184143066,0.013988405466079712,0.01692900061607361,0.8154553771018982,0.0734667181968689
1,0,0,0,0,EF[2],2452343,13,0.0698375403881073,0.3609846532344818,0.011167436838150024,0.030171990394592285,0.024792104959487915
0,0,0,0,0,NEUTRAL,2452343,7,0.018025636672973633,0.011653095483779907,0.03496107459068298,0.11843669414520264,0.019825726747512817
0,0,1,0,0,ADR[3],2693866,9,0.01985830068588257,0.06460458040237427,0.5951253175735474,0.08737492561340332,0.28381627798080444
0,0,1,0,0,ADR[1],2693866,11,0.03858402371406555,0.04704761505126953,0.9341119527816772,0.03166577219963074,0.08408382534980774
0,0,1,0,0,ADR[2],2693866,12,0.019965142011642456,0.13354438543319702,0.8661545515060425,0.08501261472702026,0.3341282308101654
0,0,0,0,0,NEUTRAL,2693866,4,0.016155719757080078,0.017079830169677734,0.07181110978126526,0.055481135845184326,0.03144755959510803
0,0,0,1,0,DI[4],2547762,2,0.0244140625,0.031216591596603394,0.03228580951690674,0.6528338193893433,0.1539507806301117
0,0,0,1,0,DI[2],2547762,3,0.027103304862976074,0.1281680166721344,0.014166831970214844,0.16017049551010132,0.05023959279060364
