sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
"Стала нервной, капризной, чуть что -сразу визг, к бабушкам и дедушкам не идет, все рядом со мной да на ручках... Тяжело( А ведь перед яслями это был активный, общительный и жизнерадостный малыш... Врачи посоветовали попить успокоительное.",0,0,0,1,1,DI[3]|Finding[1],252298,4,0.0007856524898670614,0.0029605349991470575,0.9007757902145386,0.0013024817453697324,0.007218667306005955
"После недельного приема дочурка легче стала оставаться в саду, и хоть мы все равно еще плачем там, процесс привыкания идет немного легче.",1,0,0,0,0,EF[2],252298,7,0.004067086614668369,0.002569913398474455,0.0030708354897797108,0.0014420966617763042,0.0014122258871793747
"Очень радует то, что таблетки не горькие, я растворяю их в воде и дочка без проблем их пьет не запивая водой.",0,0,0,0,0,NEUTRAL,252298,8,0.0025261607952415943,0.0015687064733356237,0.005629447754472494,0.002104005543515086,0.0019571147859096527
"И так с появление ребенка в нашей семье и частыми простудными и вирусными заболеваниями в нашей аптечке надолго и крепко поселился ""Афлубин"".",0,0,0,1,0,DI[1],2457636,2,0.0022734617814421654,0.0040609645657241344,0.10671515762805939,0.005619293078780174,0.0902051031589508
"Болезнь немного отступала, но потом с новой силой приходила и уже не какой ""Афлубин"" не помогал (хотя и пили мы его для профилактики по целому месяцу).",0,1,0,1,0,INF[3]|DI[2],2457636,5,0.0022635282948613167,0.015299779362976551,0.9931984543800354,0.0027938014827668667,0.006698905490338802
Иногда казалось что вирусы привыкли к лекарству и попросту на него не реагируют.,0,1,0,0,0,INF[4],2457636,6,0.0023385388776659966,0.003025214886292815,0.004063555505126715,0.001660528825595975,0.00312305917032063
Ну как сказать не совсем и бесполезный но нам при длительном использовании перестал помогать вообще.,0,0,0,0,0,NEUTRAL,2457636,1,0.2146383672952652,0.9235539436340332,0.006738938391208649,0.005118818953633308,0.01598401740193367
Я перепрбовала очень много средсвт от простуды.,0,0,0,1,0,DI[1],902248,1,0.0029401290230453014,0.0019514107843860984,0.003464970737695694,0.0019994950853288174,0.0014190218644216657
Но эффекта было ноль.,0,1,0,0,0,INF[2],902248,4,0.0017444321420043707,0.0018986641662195325,0.9815598726272583,0.0015609529800713062,0.0019314573146402836
Но на себе его действия я не обнаружила.,0,1,0,0,0,INF[3],902248,13,0.0012872515944764018,0.0036010234616696835,0.9472775459289551,0.0010333084501326084,0.0018975096754729748
Общее впечатление : Мне не помогает.Не нравится.,0,1,0,0,0,INF[4],902248,17,0.0017063193954527378,0.011648827232420444,0.028819212689995766,0.0005634540575556457,0.0008698898018337786
Ппри первых симптомах я принимаю порошки.,0,0,0,0,0,NEUTRAL,902248,2,0.001559794181957841,0.0009438121924176812,0.8951213955879211,0.0014190529473125935,0.002035711891949177
"После удаления небольшой паппиломы на лице (которая появилась повторно спустя 6 месяцев), дерматолог упомянула этот препарат, сказала, можно попробовать.",0,0,0,1,0,DI[5],1410682,1,0.0020833266898989677,0.004542826674878597,0.0100444620475173,0.005054127890616655,0.03202714025974274
"Но через какое-то время паппилома на лице снова стала возвращаться, да и еще на пальцах рук стали появляться небольшие новообразования.",0,0,0,1,0,DI[8],1410682,3,0.019107982516288757,0.001096308114938438,0.021121341735124588,0.0005856577190570533,0.0005320231430232525
Помог на 120%!,1,0,0,0,0,EF[4],1410682,6,0.008549680933356285,0.010379846207797527,0.00146861479151994,0.0011808702256530523,0.0011638274881988764
"Бесследно прошла паппилома на лице, прошли новообразования на пальцах рук + прошла бородавка на подушечке указательного пальца, которая была со мной уже лет 10-15.",1,0,0,1,1,EF[1]|DI[2]|Finding[6],1410682,7,0.002591980155557394,0.0017425640253350139,0.004665262531489134,0.001782730920240283,0.001626318204216659
Из побочных действий у меня были головная боль и сонливость.,0,0,1,0,0,ADR[3],1410682,9,0.0021271200384944677,0.003969467245042324,0.9948785305023193,0.0024054297246038914,0.0056722527369856834
Немного стали выпадать волосы (может не из-за этого).,0,0,1,0,0,ADR[7],1410682,10,0.0033997544087469578,0.00225700531154871,0.9944861531257629,0.0026840295176953077,0.0020866822451353073
Не жалею и только рада!,0,0,0,0,0,NEUTRAL,1410682,12,0.0040809279307723045,0.002724500373005867,0.0036950658541172743,0.00123670045286417,0.0008069744217209518
