EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
0,0,1,0,0,ADR[3],594103,3,0.015511900186538696,0.03061339259147644,0.9296424388885498,0.0074198246002197266,0.12215813994407654
1,0,1,0,0,EF[5]|ADR[6],594103,7,0.2580875754356384,0.014941364526748657,0.7760128974914551,0.009853065013885498,0.03558054566383362
0,0,0,0,0,NEUTRAL,594103,6,0.04194211959838867,0.035384953022003174,0.005130797624588013,0.011522769927978516,0.004818528890609741
0,0,0,1,0,DI[4],652119,1,0.011480599641799927,0.009577363729476929,0.01456540822982788,0.09146186709403992,0.4983510673046112
1,0,0,0,1,EF[9]|Finding[3],652119,6,0.8778412342071533,0.019220799207687378,0.03316882252693176,0.6593518853187561,0.08538371324539185
0,0,0,0,1,Finding[5],652119,7,0.08061659336090088,0.23370525240898132,0.011148154735565186,0.9915469884872437,0.022414445877075195
0,0,0,1,0,DI[6],652119,8,0.0045611560344696045,0.02196010947227478,0.013217151165008545,0.6552207469940186,0.5037025809288025
0,0,1,0,0,ADR[7],652119,10,0.007816672325134277,0.00926905870437622,0.07405990362167358,0.9796631932258606,0.10034659504890442
0,0,1,1,0,ADR[8]|DI[1],652119,14,0.007080525159835815,0.01802268624305725,0.013432890176773071,0.9797202348709106,0.0706864595413208
0,0,0,1,0,DI[2],652119,16,0.01542210578918457,0.022091776132583618,0.008075803518295288,0.016788750886917114,0.2665058374404907
0,0,0,0,0,NEUTRAL,652119,5,0.008265972137451172,0.011291921138763428,0.016031742095947266,0.01545727252960205,0.007117599248886108
1,0,0,1,0,EF[6]|DI[5],639476,2,0.9496471881866455,0.057568639516830444,0.01342463493347168,0.9765397906303406,0.15654808282852173
1,0,0,0,1,EF[3]|Finding[4],639476,3,0.9725152850151062,0.011954814195632935,0.1278788447380066,0.8717150688171387,0.03430658578872681
0,0,0,1,0,DI[2],639476,9,0.3036012053489685,0.0290105938911438,0.008831173181533813,0.9887810349464417,0.017339974641799927
0,0,0,1,0,DI[1],639476,10,0.011700570583343506,0.011630922555923462,0.013747483491897583,0.9799473881721497,0.025124430656433105
0,0,0,0,0,NEUTRAL,639476,6,0.07183018326759338,0.11092519760131836,0.001771688461303711,0.7980241775512695,0.025789082050323486
0,0,0,0,1,Finding[5],884467,1,0.008852094411849976,0.013678908348083496,0.014205992221832275,0.41620078682899475,0.603195071220398
0,0,0,1,0,DI[4],884467,4,0.00898510217666626,0.008786112070083618,0.012269198894500732,0.9533578753471375,0.014074176549911499
0,0,0,1,0,DI[1],884467,5,0.01052829623222351,0.23893606662750244,0.009275436401367188,0.9710646867752075,0.25235384702682495
0,0,0,1,0,DI[3],884467,8,0.013456881046295166,0.01350441575050354,0.014777541160583496,0.9836956858634949,0.022857338190078735
1,0,0,0,0,EF[2],884467,11,0.7565066814422607,0.0326579213142395,0.007832854986190796,0.00981488823890686,0.010988563299179077
0,0,0,0,0,NEUTRAL,884467,2,0.013578921556472778,0.007622063159942627,0.01557224988937378,0.013802021741867065,0.007340937852859497
0,0,0,1,0,DI[3],2491250,1,0.006720364093780518,0.019854843616485596,0.02612045407295227,0.9719396829605103,0.2541863024234772
0,0,0,1,0,DI[1],2491250,2,0.010495424270629883,0.009334653615951538,0.012716352939605713,0.9711135625839233,0.020192593336105347
0,0,0,1,0,DI[7],2491250,3,0.025315314531326294,0.03423207998275757,0.9665847420692444,0.025754451751708984,0.03130310773849487
0,1,0,0,0,INF[4],2491250,5,0.007149606943130493,0.2373659312725067,0.007848531007766724,0.9611603021621704,0.11947649717330933
0,1,0,1,0,INF[5]|DI[2],2491250,6,0.058246910572052,0.9614687561988831,0.04054296016693115,0.9186549186706543,0.036608487367630005
0,0,0,0,1,Finding[6],2491250,7,0.021266460418701172,0.005613505840301514,0.027632862329483032,0.9750353097915649,0.12985071539878845
0,0,0,0,0,NEUTRAL,2491250,8,0.012453824281692505,0.01004701852798462,0.01191556453704834,0.013830780982971191,0.007063090801239014
0,0,0,1,0,DI[1],2404812,2,0.10864764451980591,0.004466623067855835,0.007465958595275879,0.9585579633712769,0.01533922553062439
0,0,0,1,0,DI[2],2404812,4,0.0031299591064453125,0.006515532732009888,0.007463663816452026,0.39099419116973877,0.03054565191268921
0,0,1,0,0,ADR[3],2404812,6,0.013135343790054321,0.009960472583770752,0.021022111177444458,0.1083710789680481,0.6358500719070435
0,0,1,0,0,ADR[4],2404812,7,0.024422526359558105,0.01988580822944641,0.02725118398666382,0.020094484090805054,0.7162194848060608
0,0,0,0,0,NEUTRAL,2404812,8,0.008008480072021484,0.009002000093460083,0.02140870690345764,0.016917496919631958,0.00815492868423462
1,0,0,0,0,EF[1],565283,2,0.9880129098892212,0.019811540842056274,0.043011873960494995,0.3506866693496704,0.04023575782775879
0,0,0,0,1,Finding[2],565283,9,0.955014169216156,0.009797543287277222,0.016988694667816162,0.7854564189910889,0.09915280342102051
0,0,0,0,0,NEUTRAL,565283,3,0.021220266819000244,0.9421374797821045,0.02396678924560547,0.014400869607925415,0.022180110216140747
0,0,1,1,0,ADR[2]|DI[3],2439532,4,0.4351723790168762,0.4875129163265228,0.5940016508102417,0.9872450828552246,0.04998201131820679
0,0,1,0,0,ADR[4],2439532,5,0.005959361791610718,0.0073586106300354,0.0068603456020355225,0.8373827934265137,0.0178699791431427
0,0,0,1,0,DI[1],2439532,6,0.027967184782028198,0.026929497718811035,0.9740166664123535,0.023444026708602905,0.07191097736358643
0,0,0,0,0,NEUTRAL,2439532,10,0.014549106359481812,0.007530122995376587,0.014009356498718262,0.009374290704727173,0.013893544673919678
0,0,0,1,0,DI[2],877448,1,0.006227552890777588,0.021581143140792847,0.015561103820800781,0.43947237730026245,0.6226662397384644
0,0,1,0,0,ADR[3],877448,5,0.02226734161376953,0.03551298379898071,0.9688005447387695,0.022561997175216675,0.033921003341674805
0,0,1,0,0,ADR[4],877448,6,0.1242731511592865,0.04910925030708313,0.9596918225288391,0.008461028337478638,0.03792425990104675
0,0,0,0,1,Finding[1],877448,7,0.5582669973373413,0.02751636505126953,0.015236198902130127,0.9932794570922852,0.047030627727508545
0,0,0,0,0,NEUTRAL,877448,9,0.0289880633354187,0.01394757628440857,0.004168480634689331,0.020084232091903687,0.009386330842971802
0,0,0,1,0,DI[4],893239,1,0.009429603815078735,0.019032031297683716,0.006757855415344238,0.935897707939148,0.010750621557235718
1,0,1,0,0,EF[1]|ADR[5],893239,11,0.6714111566543579,0.0592462420463562,0.002432107925415039,0.16467875242233276,0.009683817625045776
0,0,1,0,0,ADR[6],893239,16,0.014521956443786621,0.02500477433204651,0.9313226938247681,0.012693822383880615,0.04186677932739258
1,0,0,0,0,EF[2],893239,18,0.9637101888656616,0.017208904027938843,0.027637511491775513,0.023555904626846313,0.02396571636199951
0,0,0,1,0,DI[3],893239,20,0.6059888005256653,0.009867578744888306,0.01669257879257202,0.9831834435462952,0.018414288759231567
0,0,0,0,0,NEUTRAL,893239,12,0.005164384841918945,0.18328064680099487,0.005354791879653931,0.04888531565666199,0.022229790687561035
0,0,0,1,0,DI[2],655288,2,0.007994294166564941,0.024752289056777954,0.8899050951004028,0.4863099157810211,0.0414462685585022
0,1,0,0,0,INF[1],655288,8,0.020643264055252075,0.8596160411834717,0.01760321855545044,0.00757676362991333,0.018285274505615234
0,0,0,0,0,NEUTRAL,655288,7,0.005370736122131348,0.009680509567260742,0.013888657093048096,0.020666390657424927,0.016700834035873413
0,1,0,0,0,INF[1],2723162,8,0.020410120487213135,0.9647249579429626,0.025319963693618774,0.0390278697013855,0.021646827459335327
0,0,0,0,0,NEUTRAL,2723162,10,0.010087966918945312,0.022056102752685547,0.8470321297645569,0.007654070854187012,0.12092918157577515
0,0,0,1,0,DI[2],2537356,1,0.05282530188560486,0.007656842470169067,0.012439846992492676,0.980780839920044,0.013159304857254028
0,1,0,1,0,INF[1]|DI[3],2537356,5,0.07701796293258667,0.0247306227684021,0.012298524379730225,0.9906114339828491,0.015811562538146973
