EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
0,1,0,0,0,INF[6],591900,4,0.01300230622291565,0.9591426253318787,0.008918523788452148,0.7860033512115479,0.04481363296508789
0,1,0,0,0,INF[3],591900,5,0.029614359140396118,0.9811861515045166,0.022467344999313354,0.06521031260490417,0.01773020625114441
0,1,0,0,0,INF[7],591900,6,0.016066551208496094,0.021401405334472656,0.014535903930664062,0.9902409315109253,0.012467414140701294
0,1,0,0,0,INF[2],591900,7,0.03150331974029541,0.9840059280395508,0.02651837468147278,0.0626257061958313,0.019513368606567383
0,0,0,0,0,NEUTRAL,591900,2,0.024453550577163696,0.0052169859409332275,0.0067109763622283936,0.018783926963806152,0.021396934986114502
1,0,0,0,0,EF[3],2663253,4,0.9718475937843323,0.033093810081481934,0.02883368730545044,0.013844847679138184,0.02185666561126709
0,0,0,1,0,DI[1],2663253,5,0.005247622728347778,0.004483848810195923,0.00637364387512207,0.8049578666687012,0.019670099020004272
1,0,0,0,0,EF[6],2663253,9,0.9892298579216003,0.01771080493927002,0.05491277575492859,0.03699430823326111,0.04101327061653137
1,0,0,0,0,EF[4],2663253,10,0.9631408452987671,0.016211122274398804,0.03541034460067749,0.014392882585525513,0.022856295108795166
1,0,0,0,0,EF[2],2663253,11,0.8300477862358093,0.02049848437309265,0.030112415552139282,0.004857301712036133,0.016473978757858276
0,0,0,1,0,DI[5],2663253,12,0.01127326488494873,0.01179426908493042,0.013410121202468872,0.9851983189582825,0.012350767850875854
0,0,0,0,0,NEUTRAL,2663253,2,0.013998985290527344,0.01251763105392456,0.012266546487808228,0.016632825136184692,0.005186855792999268
0,0,0,1,0,DI[7],832817,1,0.012996375560760498,0.015890568494796753,0.014086812734603882,0.9870571494102478,0.01127198338508606
0,0,0,1,0,DI[10],832817,2,0.03708946704864502,0.02738294005393982,0.06528741121292114,0.052808940410614014,0.9443315267562866
0,0,0,1,0,DI[3],832817,3,0.1221657395362854,0.009359031915664673,0.0047508180141448975,0.9748935699462891,0.008525699377059937
0,0,0,1,0,DI[9],832817,4,0.007036656141281128,0.011820167303085327,0.012295305728912354,0.981876015663147,0.019942045211791992
1,0,0,0,0,EF[6],832817,7,0.589655876159668,0.010980427265167236,0.011782020330429077,0.009921729564666748,0.009829670190811157
1,0,0,1,1,EF[1]|DI[8]|Finding[2],832817,8,0.023289471864700317,0.08267346024513245,0.9627671241760254,0.9573335647583008,0.17650377750396729
1,0,0,1,0,EF[5]|DI[4],832817,11,0.6798938512802124,0.007327228784561157,0.009320378303527832,0.9737967252731323,0.009673476219177246
0,0,0,0,0,NEUTRAL,832817,13,0.12390705943107605,0.002682924270629883,0.00900217890739441,0.04036581516265869,0.00626528263092041
1,0,0,1,0,EF[4]|DI[2],905423,1,0.00721508264541626,0.9160875082015991,0.015637218952178955,0.9619701504707336,0.05581855773925781
0,1,0,0,0,INF[1],905423,6,0.01950746774673462,0.6295236349105835,0.009933948516845703,0.010644227266311646,0.009796112775802612
0,1,0,1,0,INF[3]|DI[5],905423,7,0.009390950202941895,0.012200802564620972,0.01626509428024292,0.9856606721878052,0.015488505363464355
0,0,0,0,0,NEUTRAL,905423,5,0.004202157258987427,0.007140606641769409,0.06031036376953125,0.011623561382293701,0.025143444538116455
0,0,0,1,0,DI[3],578508,1,0.01535487174987793,0.8231433629989624,0.022352933883666992,0.9895203709602356,0.024897873401641846
0,1,0,1,0,INF[1]|DI[2],578508,4,0.018155723810195923,0.019390463829040527,0.019538849592208862,0.4906468093395233,0.8846546411514282
0,0,0,0,0,NEUTRAL,578508,6,0.03604048490524292,0.0071478188037872314,0.009028613567352295,0.9882440567016602,0.019014596939086914
0,0,0,1,0,DI[1],2707053,2,0.00975772738456726,0.01001816987991333,0.29897403717041016,0.9804474711418152,0.05581054091453552
0,0,0,0,0,NEUTRAL,2707053,5,0.012734472751617432,0.0061401426792144775,0.005444705486297607,0.9019418358802795,0.008573710918426514
0,0,0,1,0,DI[1],2443835,2,0.01259082555770874,0.013508915901184082,0.011917293071746826,0.9839396476745605,0.009939193725585938
1,0,0,0,0,EF[2],2443835,5,0.9872613549232483,0.04471740126609802,0.030019789934158325,0.033008873462677,0.03181499242782593
0,0,0,1,0,DI[3],2443835,6,0.01588118076324463,0.013729363679885864,0.009964287281036377,0.9869023561477661,0.012312561273574829
0,0,0,0,0,NEUTRAL,2443835,3,0.9317469596862793,0.023782670497894287,0.020417004823684692,0.013197600841522217,0.01463344693183899
0,1,0,0,0,INF[1],264987,2,0.032901644706726074,0.9843395948410034,0.018359869718551636,0.19353827834129333,0.016257286071777344
0,1,1,0,0,INF[5]|ADR[7],264987,3,0.005604833364486694,0.3654223084449768,0.14742806553840637,0.004350990056991577,0.19221866130828857
1,0,0,1,1,EF[8]|DI[2]|Finding[10],264987,8,0.9907441735267639,0.023515313863754272,0.0724061131477356,0.9764662384986877,0.1818804144859314
