EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
0,0,0,0,1,Finding[3],875711,1,0.018270492553710938,0.021198242902755737,0.007063180208206177,0.9831020832061768,0.010376691818237305
0,0,0,0,1,Finding[4],875711,2,0.02213841676712036,0.010663866996765137,0.006696075201034546,0.9764527082443237,0.008992254734039307
0,0,0,0,1,Finding[5],875711,3,0.010210394859313965,0.005389153957366943,0.012171059846878052,0.04681837558746338,0.17377644777297974
0,0,0,1,0,DI[6],875711,5,0.026683539152145386,0.009630382061004639,0.007347226142883301,0.979500412940979,0.009168118238449097
1,0,0,1,0,EF[1]|DI[2],875711,8,0.7510812878608704,0.017069369554519653,0.010407507419586182,0.9886332750320435,0.018150389194488525
0,0,0,0,0,NEUTRAL,875711,4,0.013757079839706421,0.769683837890625,0.020745277404785156,0.007900834083557129,0.01568126678466797
0,1,0,1,0,INF[5]|DI[3],2657172,1,0.047135740518569946,0.9449682235717773,0.026789844036102295,0.9746211767196655,0.052654802799224854
0,0,0,1,0,DI[6],2657172,2,0.036328256130218506,0.3566972613334656,0.4970230162143707,0.9754282832145691,0.22195565700531006
0,0,0,1,0,DI[2],2657172,4,0.01688385009765625,0.010977059602737427,0.007392168045043945,0.9874706268310547,0.018689870834350586
1,1,0,0,0,INF[1]|EF[4],2657172,5,0.004728496074676514,0.12025552988052368,0.00429081916809082,0.16679736971855164,0.10805752873420715
0,0,0,0,0,NEUTRAL,2657172,6,0.028653770685195923,0.007161080837249756,0.014150679111480713,0.013921737670898438,0.009736746549606323
1,0,0,1,0,EF[2]|DI[3],656340,2,0.015115231275558472,0.018970191478729248,0.01044541597366333,0.9855827689170837,0.012053966522216797
0,0,0,1,0,DI[1],656340,7,0.007651329040527344,0.011031746864318848,0.006164878606796265,0.9786630868911743,0.02974262833595276
0,0,0,0,0,NEUTRAL,656340,1,0.00546032190322876,0.0035975873470306396,0.004292815923690796,0.44359779357910156,0.042444199323654175
0,0,1,0,0,ADR[1],668099,6,0.012146174907684326,0.007342994213104248,0.011319011449813843,0.016501963138580322,0.01589009165763855
0,0,1,0,0,ADR[4],668099,7,0.013296455144882202,0.026208460330963135,0.017967402935028076,0.006818443536758423,0.01320803165435791
0,0,1,0,0,ADR[3],668099,8,0.011999338865280151,0.014061689376831055,0.2132268249988556,0.030516237020492554,0.7310155630111694
0,0,1,0,0,ADR[2],668099,11,0.004847049713134766,0.021590232849121094,0.012893766164779663,0.984982430934906,0.048331618309020996
0,0,0,0,0,NEUTRAL,668099,13,0.006002247333526611,0.06660664081573486,0.01578083634376526,0.006884723901748657,0.02593362331390381
0,0,0,1,0,DI[3],1325273,1,0.010350942611694336,0.004965335130691528,0.004830509424209595,0.9340741038322449,0.018645912408828735
1,0,1,1,0,EF[1]|ADR[6]|DI[2],1325273,2,0.042684197425842285,0.031420618295669556,0.9784059524536133,0.3916822373867035,0.06215205788612366
0,0,1,0,0,ADR[5],1325273,4,0.005277663469314575,0.00567290186882019,0.8054221272468567,0.19554239511489868,0.19613921642303467
0,0,0,0,1,Finding[4],1325273,5,0.033971041440963745,0.0302467942237854,0.9742683172225952,0.016918987035751343,0.050166577100753784
0,0,0,0,0,NEUTRAL,1325273,3,0.03344988822937012,0.9076709747314453,0.6218510866165161,0.3174687922000885,0.1370735466480255
0,0,0,1,0,DI[5],2412180,1,0.007771044969558716,0.020253926515579224,0.010700792074203491,0.9896794557571411,0.03727012872695923
1,0,0,0,0,EF[3],2412180,2,0.8878206014633179,0.004546791315078735,0.011166751384735107,0.9233779907226562,0.01938226819038391
1,0,0,0,0,EF[1],2412180,3,0.01147770881652832,0.005781114101409912,0.003677457571029663,0.9225202798843384,0.0190393328666687
1,0,0,1,0,EF[4]|DI[2],2412180,5,0.028277426958084106,0.0241452157497406,0.01860871911048889,0.6141435503959656,0.6825853586196899
0,0,0,0,0,NEUTRAL,2412180,4,0.8819155693054199,0.012804806232452393,0.02045246958732605,0.019575178623199463,0.011803388595581055
0,0,0,1,0,DI[2],2451820,2,0.008607178926467896,0.006340533494949341,0.009251952171325684,0.02400273084640503,0.023461371660232544
1,0,0,0,0,EF[1],2451820,7,0.5529507398605347,0.009926944971084595,0.025970131158828735,0.02194991707801819,0.026649504899978638
1,0,0,0,0,EF[3],2451820,8,0.9513729214668274,0.021079838275909424,0.02823987603187561,0.0188332200050354,0.017631173133850098
0,0,0,0,0,NEUTRAL,2451820,1,0.013420909643173218,0.0093497633934021,0.009347200393676758,0.024187594652175903,0.009306907653808594
0,0,0,1,0,DI[1],588478,2,0.017587989568710327,0.009331673383712769,0.0075213611125946045,0.9849550724029541,0.016078859567642212
0,0,0,1,0,DI[4],588478,3,0.006212025880813599,0.006485015153884888,0.006625086069107056,0.9645719528198242,0.057405054569244385
0,0,0,1,0,DI[6],588478,4,0.005409717559814453,0.006765633821487427,0.009820669889450073,0.9698481559753418,0.04167240858078003
0,0,0,1,0,DI[7],588478,5,0.016278833150863647,0.024796754121780396,0.00792047381401062,0.9876887798309326,0.013857841491699219
0,1,0,0,0,INF[5],588478,8,0.009416759014129639,0.017566800117492676,0.23854458332061768,0.043559908866882324,0.760603129863739
0,0,0,0,1,Finding[2],588478,11,0.004817157983779907,0.031585901975631714,0.008648008108139038,0.18214896321296692,0.366038978099823
0,0,0,0,1,Finding[3],588478,12,0.5083673596382141,0.009415537118911743,0.09499269723892212,0.04811835289001465,0.5008396506309509
0,0,0,0,0,NEUTRAL,588478,1,0.01067468523979187,0.009696513414382935,0.012105852365493774,0.01204797625541687,0.02144649624824524
1,0,0,1,0,EF[3]|DI[4],2436411,3,0.9691368341445923,0.012407481670379639,0.0167330801486969,0.9090571999549866,0.016451925039291382
1,0,0,1,0,EF[1]|DI[2],2436411,4,0.002429097890853882,0.005130499601364136,0.042478352785110474,0.819094181060791,0.26805925369262695
0,0,0,0,0,NEUTRAL,2436411,1,0.44688817858695984,0.008695363998413086,0.01947575807571411,0.012818396091461182,0.008049428462982178
0,0,0,1,0,DI[4],2510045,1,0.015234053134918213,0.01019558310508728,0.008171707391738892,0.9858253002166748,0.017186105251312256
