sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
Простудные заболевания - очень распространенное явление в наше время.,0,0,0,0,1,Finding[3],875711,1,0.003529532579705119,0.002055214950814843,0.001665339688770473,0.9907354712486267,0.008621524088084698
каждый человек в своей жизни простужался не по одному разу.,0,0,0,0,1,Finding[4],875711,2,0.0028386078774929047,0.00148144387640059,0.002128488849848509,0.9868529438972473,0.007993585430085659
"В течение многих лет изобретено множество различных лекарств и это неудивительно, ведь организм имеет такое свойство, как привыкание к лекарству.",0,0,0,0,1,Finding[5],875711,3,0.0008306258241645992,0.0008897688239812851,0.0013955640606582165,0.0006505659548565745,0.0020750772673636675
При очередном простудном заболевании врач выписал на это средство (Амиксин).,0,0,0,1,0,DI[6],875711,5,0.004760167561471462,0.0033298099879175425,0.004074750002473593,0.9919118881225586,0.001874283654615283
Через несколько дней от простуды не осталось и следа.,1,0,0,1,0,EF[1]|DI[2],875711,8,0.4913921356201172,0.015128121711313725,0.0005121885915286839,0.994117021560669,0.0018496598349884152
То есть когда препарат со временем перестает оказывать эффективное действие на организм.,0,0,0,0,0,NEUTRAL,875711,4,0.0025173500180244446,0.9721043109893799,0.0040147146210074425,0.00315624987706542,0.006394949741661549
"По своему личному опыту могу сказать, что препарат лишь купирует проявления простудного заболевания, избавляет от симптомов, но не вылечивает полностью.",0,1,0,1,0,INF[5]|DI[3],2657172,1,0.3884502351284027,0.9657508134841919,0.0026404394302517176,0.9985595345497131,0.019120432436466217
"У меня развился затяжной бронхит, так как я считал, что поправился, а на деле лишь сбил симптомы и заболел сильнее по новой спустя лишь пару дней после казавшегося излечения.",0,0,0,1,0,DI[6],2657172,2,0.012042609043419361,0.4435744285583496,0.0027712818700820208,0.9991626739501953,0.02777179516851902
"Нужно использовать комплексное лечение, прогревание и принимать лекарства от кашля и насморка отдельно.",0,0,0,1,0,DI[2],2657172,4,0.0015049572102725506,0.007620514836162329,0.0010161016834899783,0.9848522543907166,0.02908421866595745
"Препарат подходит для быстрого снятия симптомов и облегчения существования, но для выздоровления не годится.",1,1,0,0,0,INF[1]|EF[4],2657172,5,0.001090707373805344,0.24509672820568085,0.00025995311443693936,0.7919982075691223,0.14505116641521454
Впечатление двоякое.,0,0,0,0,0,NEUTRAL,2657172,6,0.00103364372625947,0.00100345176178962,0.001033419743180275,0.0012296037748456001,0.0004249550693202764
"Иммунофлазид один из немногих препаратов, который облегчает протекание ОРВИ.",1,0,0,1,0,EF[2]|DI[3],656340,2,0.005161728709936142,0.0016212890623137355,0.0025530934799462557,0.9934874773025513,0.007210682146251202
"Препарат желательно применять не только во время болезни, но и после, как бы для подкрепления иммунитета.",0,0,0,1,0,DI[1],656340,7,0.003624360542744398,0.005387458950281143,0.0031421533785760403,0.9956377148628235,0.005225323140621185
"Сколько уже было испробовано всяких разных противовирусных препаратов, на пальцах не пересчитать, и каждый раз когда идешь в аптеку с рецептом, думаешь, авось это то что нам надо( Иногда разочаровываешься в качестве, иногда в цене.",0,0,0,0,0,NEUTRAL,656340,1,0.0004569118027575314,0.002409702632576227,0.0012583103962242603,0.0014413298340514302,0.0006505430210381746
"купила 2 пачки, назначено по 2 таб.",0,0,1,0,0,ADR[1],668099,6,0.001073524123057723,0.0006835352396592498,0.0013138458598405123,0.0007605557329952717,0.0006319787353277206
"в день, 10 дней.",0,0,1,0,0,ADR[4],668099,7,0.0010037539759650826,0.0007922110962681472,0.0010953058954328299,0.0013471652055159211,0.000448308332124725
"Вчера выпила, ночью проснулась чтобы покормить ребенка и понимаю что просто не могу встать.",0,0,1,0,0,ADR[3],668099,8,0.0009635339956730604,0.0009403281728737056,0.9961504936218262,0.001877554808743298,0.0025987420231103897
"Целый день хожу как старенькая бабушка, хромая, волочу ногу за собой!",0,0,1,0,0,ADR[2],668099,11,0.0009117337758652866,0.0024983540643006563,0.07896079868078232,0.9081045985221863,0.5859808325767517
"Прочитала что могут быть боли в мышцах, мол побочное действие!",0,0,0,0,0,NEUTRAL,668099,13,0.001593410735949874,0.0009262136300094426,0.9971244931221008,0.0029778541065752506,0.1304139345884323
"Муж болеет орви, в аптеке купили ингавирин.",0,0,0,1,0,DI[3],1325273,1,0.004452571272850037,0.0029666076879948378,0.0037050889804959297,0.9939122200012207,0.0031815278343856335
"Температура правда спала, но после приема третей таблетки начал закашливаться аш до рвоты, мондраш волнами, давление 130(хотя с давлением вообще проблем не было), жуткая головная боль.",1,0,1,1,0,EF[1]|ADR[6]|DI[2],1325273,2,0.02360849641263485,0.1440679281949997,0.998645007610321,0.9033060073852539,0.004389091394841671
"А и ещё голова как будто едит куда-то, х. з куда.",0,0,1,0,0,ADR[5],1325273,4,0.0008200266747735441,0.0017092353664338589,0.996688187122345,0.0009130273247137666,0.0020010608714073896
"Ужасный препарат, не надо его покупать, до этого пили кагоцел, цитовир, чего меня дёрнуло купить... Всё выкинула... Кстате при побочке сначала дала лактофильтрум, а потом через час таблетку от аллергии.",0,0,0,0,1,Finding[4],1325273,5,0.0007099504582583904,0.032405219972133636,0.7680562734603882,0.18182390928268433,0.9794166684150696
"Это было и после второй таблетки, но я на ингавирин даже не подумала, а на следующий день никаких таблеток не пили только ингавирин и началось.",0,0,0,0,0,NEUTRAL,1325273,3,0.0001998542866203934,0.08561733365058899,0.011566607281565666,0.00045426219003275037,0.004593176767230034
"Я очень боюсь сквозняков, в результате которых у меня очень часто появляется простуда на губах и глазах.",0,0,0,1,0,DI[5],2412180,1,0.0038832847494632006,0.0023815620224922895,0.001498746918514371,0.9894154071807861,0.15110348165035248
"Для меня настоящим спасением в таких ситуациях стало применения таблеток ""Ацикловир Сандоз"", которые не только убивают инфекцию но и повышают иммунитет к ней.",1,0,0,0,0,EF[3],2412180,2,0.7965094447135925,0.0007803132175467908,0.0006595554878003895,0.9834496378898621,0.026425089687108994
Поэтому пролечившись курс можно следующих 7-8 месяцев жить нормально не переживая за сквозняки и вирусы.,1,0,0,0,0,EF[1],2412180,3,0.9955734014511108,0.0010438533499836922,0.003737772349268198,0.012876410037279129,0.018022997304797173
Мне хватает при появлении болячек попринимать таблетки 2 дня как от герпеса не остается и следа.,1,0,0,1,0,EF[4]|DI[2],2412180,5,0.9554945826530457,0.004932646173983812,0.0019715989474207163,0.9970884919166565,0.004566265735775232
"Еще есть мазь с аналогичным названием но она менее еффективна чем таблетки, разве что применять их в комплексе.",0,0,0,0,0,NEUTRAL,2412180,4,0.003040484618395567,0.002000110922381282,0.0005188541254028678,0.000865403562784195,0.0010642558336257935
Почти все члены моей семьи болеют гайморитом.,0,0,0,1,0,DI[2],2451820,2,0.0032522128894925117,0.002369069028645754,0.0026778739411383867,0.9921809434890747,0.005334940273314714
"А на сейчас что я могу сказать: после того, как применяю, в носу становится легче, на запах и вкус непротивный, да и незаметно, как он попадает в нос.",1,0,0,0,0,EF[1],2451820,7,0.9964256882667542,0.001627724850550294,0.8875256776809692,0.01869812235236168,0.005554290488362312
Пока что помогает.,1,0,0,0,0,EF[3],2451820,8,0.994458794593811,0.0025833246763795614,0.002515600062906742,0.0034923574421554804,0.0027165752835571766
Здраствуйте!,0,0,0,0,0,NEUTRAL,2451820,1,0.0008472976624034345,0.000647106149699539,0.0019669311586767435,0.0007239627884700894,0.00047926566912792623
"Совсем недавно заставила сделать прививку от гриппа мужа и дочку, так как в доме есть годовалый малыш.",0,0,0,1,0,DI[1],588478,2,0.0020979992114007473,0.0009500631131231785,0.003618405433371663,0.9812561869621277,0.05469723790884018
Прошлый год для наших знакомых был просто кошмарным по заболеваемости гриппом.,0,0,0,1,0,DI[4],588478,3,0.0027710208669304848,0.0028829840011894703,0.003997592721134424,0.994217038154602,0.006690895184874535
"Три семьи (это только те кого знаю я) лежали пластом неделю с температурой под 40 и каким только чудом мы не заразились, одному Богу известно.",0,0,0,1,0,DI[6],588478,4,0.0018198384204879403,0.003560811746865511,0.0021968381479382515,0.9906935095787048,0.013378219678997993
Прошлогодняя статистика по заболеваемости ОРВИ не утешительная.,0,0,0,1,0,DI[7],588478,5,0.0032245127949863672,0.0023754576686769724,0.0029541542753577232,0.9931623935699463,0.0071066394448280334
"А вот муж, на 5 день заболел и заразил меня.",0,1,0,0,0,INF[5],588478,8,0.0006106458022259176,0.001046889228746295,0.00163341558072716,0.0009884019382297993,0.00729253189638257
"Время покажет, эффективна ли вакцина, но знакомые и родственники, делающие ежегодно прививку Грипполом Плюс гриппом не болели.",0,0,0,0,1,Finding[2],588478,11,0.005258861463516951,0.0034117926843464375,0.0011436424683779478,0.16391783952713013,0.8366042971611023
"И переносят её хорошо, без повышения температуры.",0,0,0,0,1,Finding[3],588478,12,0.02251790650188923,0.007177252322435379,0.016517886891961098,0.10321478545665741,0.9919517040252686
"Я противник прививок, но некоторые прививки нужны.",0,0,0,0,0,NEUTRAL,588478,1,0.0005913469940423965,0.0010293963132426143,0.001117082079872489,0.0011801010696217418,0.0014410230796784163
