sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
Простудные заболевания - очень распространенное явление в наше время.,0,0,0,0,1,Finding[3],875711,1,0.015935393050312996,0.014812410809099674,0.015766993165016174,0.9598475694656372,0.026128364726901054
каждый человек в своей жизни простужался не по одному разу.,0,0,0,0,1,Finding[4],875711,2,0.024106713011860847,0.013575335964560509,0.01169627159833908,0.9639995098114014,0.02647296153008938
"В течение многих лет изобретено множество различных лекарств и это неудивительно, ведь организм имеет такое свойство, как привыкание к лекарству.",0,0,0,0,1,Finding[5],875711,3,0.004262865521013737,0.009263737127184868,0.012161253951489925,0.026891440153121948,0.10523639619350433
При очередном простудном заболевании врач выписал на это средство (Амиксин).,0,0,0,1,0,DI[6],875711,5,0.023306606337428093,0.022155262529850006,0.016565019264817238,0.9699966907501221,0.01694144308567047
Через несколько дней от простуды не осталось и следа.,1,0,0,1,0,EF[1]|DI[2],875711,8,0.8802990913391113,0.04336317628622055,0.006090947892516851,0.9851306080818176,0.045523084700107574
То есть когда препарат со временем перестает оказывать эффективное действие на организм.,0,0,0,0,0,NEUTRAL,875711,4,0.015906840562820435,0.8886737823486328,0.018522417172789574,0.009740936569869518,0.027597442269325256
"По своему личному опыту могу сказать, что препарат лишь купирует проявления простудного заболевания, избавляет от симптомов, но не вылечивает полностью.",0,1,0,1,0,INF[5]|DI[3],2657172,1,0.3488922119140625,0.8861432075500488,0.01896853558719158,0.9807151556015015,0.06536811590194702
"У меня развился затяжной бронхит, так как я считал, что поправился, а на деле лишь сбил симптомы и заболел сильнее по новой спустя лишь пару дней после казавшегося излечения.",0,0,0,1,0,DI[6],2657172,2,0.049201130867004395,0.08727414160966873,0.015498096123337746,0.9914863109588623,0.07386485487222672
"Нужно использовать комплексное лечение, прогревание и принимать лекарства от кашля и насморка отдельно.",0,0,0,1,0,DI[2],2657172,4,0.010123251006007195,0.02548838220536709,0.00622771680355072,0.938962996006012,0.1129859909415245
"Препарат подходит для быстрого снятия симптомов и облегчения существования, но для выздоровления не годится.",1,1,0,0,0,INF[1]|EF[4],2657172,5,0.18831530213356018,0.9342626333236694,0.004558709915727377,0.29561087489128113,0.07525689899921417
Впечатление двоякое.,0,0,0,0,0,NEUTRAL,2657172,6,0.005685707554221153,0.006926216650754213,0.007572842296212912,0.006420970894396305,0.0038591104093939066
"Иммунофлазид один из немногих препаратов, который облегчает протекание ОРВИ.",1,0,0,1,0,EF[2]|DI[3],656340,2,0.17292474210262299,0.008392619900405407,0.012437306344509125,0.9773174524307251,0.02690635249018669
"Препарат желательно применять не только во время болезни, но и после, как бы для подкрепления иммунитета.",0,0,0,1,0,DI[1],656340,7,0.013967512175440788,0.016689741984009743,0.011856655590236187,0.9627819061279297,0.11123719811439514
"Сколько уже было испробовано всяких разных противовирусных препаратов, на пальцах не пересчитать, и каждый раз когда идешь в аптеку с рецептом, думаешь, авось это то что нам надо( Иногда разочаровываешься в качестве, иногда в цене.",0,0,0,0,0,NEUTRAL,656340,1,0.0029159856494516134,0.012281723320484161,0.00660721305757761,0.016230745241045952,0.008782877586781979
"купила 2 пачки, назначено по 2 таб.",0,0,1,0,0,ADR[1],668099,6,0.006747053470462561,0.0067485361360013485,0.007452558260411024,0.005050474777817726,0.004436866845935583
"в день, 10 дней.",0,0,1,0,0,ADR[4],668099,7,0.010729796253144741,0.0073186964727938175,0.004516000859439373,0.006194977089762688,0.004507466685026884
"Вчера выпила, ночью проснулась чтобы покормить ребенка и понимаю что просто не могу встать.",0,0,1,0,0,ADR[3],668099,8,0.007479136344045401,0.006713223643600941,0.9586738348007202,0.11995501816272736,0.024442417547106743
"Целый день хожу как старенькая бабушка, хромая, волочу ногу за собой!",0,0,1,0,0,ADR[2],668099,11,0.0027323723770678043,0.014481581747531891,0.3085363209247589,0.518647313117981,0.38898342847824097
"Прочитала что могут быть боли в мышцах, мол побочное действие!",0,0,0,0,0,NEUTRAL,668099,13,0.023518221452832222,0.033956389874219894,0.4337700605392456,0.023736098781228065,0.8748193979263306
"Муж болеет орви, в аптеке купили ингавирин.",0,0,0,1,0,DI[3],1325273,1,0.036645472049713135,0.020248347893357277,0.01507444679737091,0.9788841009140015,0.021399088203907013
"Температура правда спала, но после приема третей таблетки начал закашливаться аш до рвоты, мондраш волнами, давление 130(хотя с давлением вообще проблем не было), жуткая головная боль.",1,0,1,1,0,EF[1]|ADR[6]|DI[2],1325273,2,0.2491581290960312,0.04437992349267006,0.9970788955688477,0.28879162669181824,0.02445170283317566
"А и ещё голова как будто едит куда-то, х. з куда.",0,0,1,0,0,ADR[5],1325273,4,0.004773849621415138,0.011293652467429638,0.9850656390190125,0.007310064509510994,0.016166025772690773
"Ужасный препарат, не надо его покупать, до этого пили кагоцел, цитовир, чего меня дёрнуло купить... Всё выкинула... Кстате при побочке сначала дала лактофильтрум, а потом через час таблетку от аллергии.",0,0,0,0,1,Finding[4],1325273,5,0.0055498699657619,0.04239143058657646,0.9738369584083557,0.0381254218518734,0.4601297974586487
"Это было и после второй таблетки, но я на ингавирин даже не подумала, а на следующий день никаких таблеток не пили только ингавирин и началось.",0,0,0,0,0,NEUTRAL,1325273,3,0.003906335216015577,0.19566287100315094,0.03457312285900116,0.0035758994054049253,0.01624959334731102
"Я очень боюсь сквозняков, в результате которых у меня очень часто появляется простуда на губах и глазах.",0,0,0,1,0,DI[5],2412180,1,0.014329640194773674,0.009958514012396336,0.017100563272833824,0.9614902138710022,0.09438179433345795
"Для меня настоящим спасением в таких ситуациях стало применения таблеток ""Ацикловир Сандоз"", которые не только убивают инфекцию но и повышают иммунитет к ней.",1,0,0,0,0,EF[3],2412180,2,0.7601394653320312,0.006613619159907103,0.0031860265880823135,0.8205406665802002,0.07523923367261887
Поэтому пролечившись курс можно следующих 7-8 месяцев жить нормально не переживая за сквозняки и вирусы.,1,0,0,0,0,EF[1],2412180,3,0.9681962132453918,0.006075368262827396,0.008077682927250862,0.16236522793769836,0.026930686086416245
