EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
0,0,0,0,1,Finding[3],875711,1,0.0024718642234802246,0.011841148138046265,0.0030691325664520264,0.9793264865875244,0.003253757953643799
0,0,0,0,1,Finding[4],875711,2,0.010497212409973145,0.0075636208057403564,0.0035844147205352783,0.992770254611969,0.0023326575756073
0,0,0,0,1,Finding[5],875711,3,0.001500636339187622,0.0018146932125091553,0.004206329584121704,0.0014226138591766357,0.03107568621635437
0,0,0,1,0,DI[6],875711,5,0.006139218807220459,0.006360948085784912,0.0047318339347839355,0.9901232719421387,0.0023970305919647217
1,0,0,1,0,EF[1]|DI[2],875711,8,0.0620768666267395,0.9825384020805359,0.004965782165527344,0.9907876253128052,0.01992565393447876
0,0,0,0,0,NEUTRAL,875711,4,0.02335721254348755,0.9704903364181519,0.00766339898109436,0.0027656853199005127,0.0037717819213867188
0,1,0,1,0,INF[5]|DI[3],2657172,1,0.00685805082321167,0.027415603399276733,0.0015320777893066406,0.9954510927200317,0.015474945306777954
0,0,0,1,0,DI[6],2657172,2,0.0076493024826049805,0.004153341054916382,0.007259637117385864,0.9956674575805664,0.03454899787902832
0,0,0,1,0,DI[2],2657172,4,0.007042616605758667,0.004866242408752441,0.003708064556121826,0.9904623031616211,0.0032924115657806396
1,1,0,0,0,INF[1]|EF[4],2657172,5,0.9643634557723999,0.001694798469543457,0.0007933676242828369,0.04419401288032532,0.002354264259338379
0,0,0,0,0,NEUTRAL,2657172,6,0.0035806894302368164,0.002219945192337036,0.002978116273880005,0.0011660456657409668,0.0005384385585784912
1,0,0,1,0,EF[2]|DI[3],656340,2,0.005364567041397095,0.0029431581497192383,0.0015495717525482178,0.7019525170326233,0.4916992783546448
0,0,0,1,0,DI[1],656340,7,0.007704347372055054,0.0033150315284729004,0.0038667917251586914,0.9875839948654175,0.003185838460922241
0,0,0,0,0,NEUTRAL,656340,1,0.0017330348491668701,0.002591460943222046,0.0017928779125213623,0.0013132691383361816,0.002257227897644043
0,0,1,0,0,ADR[1],668099,6,0.0012437701225280762,0.002601325511932373,0.0030649304389953613,0.0015655755996704102,0.0010936558246612549
0,0,1,0,0,ADR[4],668099,7,0.0018886029720306396,0.0023116767406463623,0.0037387311458587646,0.0010773241519927979,0.0008485615253448486
