EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
0,0,0,0,0,NEUTRAL,877405,4,0.9077149629592896,0.012191951274871826,0.009794265031814575,0.012337595224380493,0.020064592361450195
0,0,0,0,1,Finding[2],2886803,2,0.013831079006195068,0.014984607696533203,0.01542404294013977,0.010218173265457153,0.48304396867752075
0,0,1,0,0,ADR[3],2886803,3,0.011604219675064087,0.012880116701126099,0.9677738547325134,0.010537266731262207,0.03979578614234924
0,0,1,0,0,ADR[1],2886803,5,0.017844587564468384,0.017566412687301636,0.04644465446472168,0.15627217292785645,0.91229248046875
0,0,0,0,0,NEUTRAL,2886803,4,0.0077266693115234375,0.01646643877029419,0.0055107176303863525,0.012295842170715332,0.007711440324783325
0,0,0,1,0,DI[2],5801040,7,0.01592874526977539,0.005669116973876953,0.05798467993736267,0.9935534000396729,0.021581828594207764
1,0,0,0,0,EF[1],5801040,10,0.03940412402153015,0.9026516675949097,0.009200036525726318,0.007030963897705078,0.02137938141822815
0,0,0,0,0,NEUTRAL,5801040,13,0.9793325066566467,0.016119152307510376,0.018563956022262573,0.02312794327735901,0.021287262439727783
0,0,0,1,0,DI[1],24065,1,0.003355264663696289,0.24369442462921143,0.9417853355407715,0.6622360944747925,0.1279500424861908
0,0,0,1,0,DI[5],24065,2,0.009107112884521484,0.020260721445083618,0.012665212154388428,0.9941787123680115,0.019263356924057007
1,0,0,0,0,EF[3],24065,6,0.9736300706863403,0.013200521469116211,0.03062775731086731,0.01058650016784668,0.049165278673172
0,0,0,1,0,DI[2],24065,8,0.0328499972820282,0.02068236470222473,0.010743170976638794,0.994289755821228,0.009333610534667969
1,0,0,0,0,EF[4],24065,10,0.9843535423278809,0.024230629205703735,0.025074750185012817,0.015139907598495483,0.02544844150543213
0,0,0,0,0,NEUTRAL,24065,4,0.012600958347320557,0.010648995637893677,0.012791752815246582,0.08623966574668884,0.6479203701019287
0,1,0,0,0,INF[2],217439,4,0.027990132570266724,0.9808937311172485,0.025822758674621582,0.030096709728240967,0.02006077766418457
0,0,1,0,0,ADR[5],217439,5,0.00913575291633606,0.19008618593215942,0.005520492792129517,0.9896077513694763,0.017385423183441162
0,0,1,0,0,ADR[4],217439,6,0.006148725748062134,0.04676082730293274,0.02299538254737854,0.9954036474227905,0.023819059133529663
0,0,0,0,1,Finding[1],217439,8,0.005679130554199219,0.004541873931884766,0.006091058254241943,0.8443940877914429,0.08533790707588196
0,0,1,0,0,ADR[3],217439,9,0.004220485687255859,0.00925832986831665,0.01736825704574585,0.00775831937789917,0.01900497078895569
0,0,0,0,0,NEUTRAL,217439,1,0.014596700668334961,0.005180865526199341,0.00490763783454895,0.03141295909881592,0.09070363640785217
0,1,0,0,0,INF[1],2706079,2,0.007360726594924927,0.4401702582836151,0.03330397605895996,0.017682760953903198,0.8006372451782227
0,0,0,0,0,NEUTRAL,2706079,4,0.006117105484008789,0.0095958411693573,0.7217690944671631,0.004298686981201172,0.04548799991607666
0,0,0,0,1,Finding[4],2734199,1,0.01256340742111206,0.00789991021156311,0.009922385215759277,0.9880486726760864,0.012502938508987427
0,0,0,0,1,Finding[2],2734199,3,0.8986235857009888,0.018387973308563232,0.0036425888538360596,0.955962061882019,0.01905876398086548
0,0,1,1,1,ADR[1]|DI[3]|Finding[5],2734199,6,0.0626116394996643,0.166969895362854,0.2561398446559906,0.9989495873451233,0.05893230438232422
0,0,0,0,0,NEUTRAL,2734199,8,0.007341623306274414,0.00907638669013977,0.009061187505722046,0.010501235723495483,0.007660984992980957
0,0,0,1,0,DI[3],2689254,2,0.007782578468322754,0.0070580244064331055,0.008934736251831055,0.9823502898216248,0.017622023820877075
0,0,1,0,0,ADR[1],2689254,6,0.004729628562927246,0.008122414350509644,0.3257531225681305,0.8734665513038635,0.6356545090675354
0,0,1,0,0,ADR[2],2689254,7,0.03830277919769287,0.0437624454498291,0.07977887988090515,0.04236292839050293,0.9619810581207275
0,0,0,0,1,Finding[4],2689254,8,0.01014864444732666,0.023771166801452637,0.003922015428543091,0.03962913155555725,0.23007279634475708
0,0,0,0,0,NEUTRAL,2689254,5,0.38654986023902893,0.005484193563461304,0.006033480167388916,0.02026870846748352,0.005284547805786133
0,0,0,1,0,DI[1],2883218,2,0.00821104645729065,0.00827905535697937,0.014067023992538452,0.9895520210266113,0.05821076035499573
0,0,1,0,0,ADR[2],2883218,4,0.019577771425247192,0.01967698335647583,0.9787763357162476,0.014959484338760376,0.0229436457157135
0,0,1,0,0,ADR[3],2883218,9,0.1948419213294983,0.9050233364105225,0.35612723231315613,0.9463189244270325,0.016993284225463867
0,0,0,0,0,NEUTRAL,2883218,7,0.009176403284072876,0.009281337261199951,0.009752541780471802,0.9830989837646484,0.009805262088775635
0,0,0,1,0,DI[6],901487,1,0.007391244173049927,0.008377820253372192,0.010279446840286255,0.9869089722633362,0.027797222137451172
0,1,0,0,0,INF[5],901487,2,0.15522512793540955,0.009572118520736694,0.009016156196594238,0.00611451268196106,0.004956722259521484
1,1,1,1,0,EF[1]|INF[7]|ADR[8]|DI[4],901487,5,0.056126296520233154,0.04857522249221802,0.9922565221786499,0.04453057050704956,0.04446673393249512
0,0,1,0,0,ADR[2],901487,6,0.016832351684570312,0.01290246844291687,0.9705995917320251,0.023530423641204834,0.019494712352752686
0,0,1,0,0,ADR[3],901487,8,0.0039556920528411865,0.004691958427429199,0.7313257455825806,0.7400622367858887,0.0970088541507721
0,0,0,0,0,NEUTRAL,901487,3,0.0029680728912353516,0.0033364295959472656,0.011865168809890747,0.4807806611061096,0.0112876296043396
0,0,0,1,0,DI[3],2869916,1,0.009134113788604736,0.006616801023483276,0.011636942625045776,0.9786056280136108,0.008778512477874756
0,0,0,1,0,DI[1],2869916,2,0.014366626739501953,0.007063120603561401,0.007818251848220825,0.9839953780174255,0.010598838329315186
1,0,0,0,0,EF[2],2869916,8,0.9770045280456543,0.023217439651489258,0.0210438072681427,0.011397749185562134,0.023421794176101685
1,0,0,1,0,EF[4]|DI[5],2869916,9,0.8606359958648682,0.28932109475135803,0.03770831227302551,0.998059868812561,0.07367512583732605
0,0,0,1,0,DI[6],2869916,11,0.01041722297668457,0.006670206785202026,0.011589765548706055,0.9831215143203735,0.00979498028755188
0,0,0,0,0,NEUTRAL,2869916,4,0.008639216423034668,0.006064891815185547,0.008398473262786865,0.016954869031906128,0.0062576234340667725
0,0,0,1,0,DI[6],792635,1,0.7973306179046631,0.009085625410079956,0.01118198037147522,0.979124903678894,0.01952153444290161
0,0,0,1,0,DI[4],792635,2,0.02552783489227295,0.0054544806480407715,0.9544941186904907,0.026319503784179688,0.019086211919784546
1,0,0,1,0,EF[2]|DI[8],792635,7,0.9934675693511963,0.03499189019203186,0.3911411166191101,0.9776773452758789,0.06758394837379456
1,0,1,0,0,EF[3]|ADR[1],792635,10,0.8128957748413086,0.00644761323928833,0.958120584487915,0.037991464138031006,0.03628718852996826
0,0,0,1,0,DI[7],792635,11,0.008058369159698486,0.0054305195808410645,0.00796210765838623,0.9599823951721191,0.008366554975509644
