EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
0,1,0,0,0,INF[6],591900,4,0.0015373528003692627,0.48247087001800537,0.1218961775302887,0.6628233790397644,0.004317671060562134
0,1,0,0,0,INF[3],591900,5,0.022151678800582886,0.9782229661941528,0.01717853546142578,0.023127853870391846,0.017010778188705444
0,1,0,0,0,INF[7],591900,6,0.002879112958908081,0.4119495153427124,0.9201434850692749,0.7850334644317627,0.018101990222930908
0,1,0,0,0,INF[2],591900,7,0.016323387622833252,0.9709649085998535,0.02088150382041931,0.015303641557693481,0.017379939556121826
0,0,0,0,0,NEUTRAL,591900,2,0.00643119215965271,0.008450984954833984,0.009362399578094482,0.009570837020874023,0.008264869451522827
1,0,0,0,0,EF[3],2663253,4,0.9844157099723816,0.026961177587509155,0.021003752946853638,0.015210390090942383,0.010388940572738647
0,0,0,1,0,DI[1],2663253,5,0.006926864385604858,0.008567720651626587,0.0074135661125183105,0.9816581010818481,0.007780879735946655
1,0,0,0,0,EF[6],2663253,9,0.9877051711082458,0.011456578969955444,0.029946982860565186,0.022945404052734375,0.012635588645935059
1,0,0,0,0,EF[4],2663253,10,0.9729288220405579,0.011134952306747437,0.02003142237663269,0.016097456216812134,0.009777605533599854
1,0,0,0,0,EF[2],2663253,11,0.8496714234352112,0.02555716037750244,0.011990845203399658,0.004577040672302246,0.008252114057540894
0,0,0,1,0,DI[5],2663253,12,0.009218871593475342,0.008507966995239258,0.007227599620819092,0.9871554374694824,0.009080588817596436
0,0,0,0,0,NEUTRAL,2663253,2,0.007296174764633179,0.006121844053268433,0.014136850833892822,0.009733974933624268,0.0050563812255859375
0,0,0,1,0,DI[7],832817,1,0.006207555532455444,0.009184956550598145,0.0070269107818603516,0.982600212097168,0.009007543325424194
0,0,0,1,0,DI[10],832817,2,0.005117982625961304,0.009080290794372559,0.016762256622314453,0.9882996678352356,0.01331627368927002
