sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
Простудные заболевания - очень распространенное явление в наше время.,0,0,0,0,1,Finding[3],875711,1,0.003945045173168182,0.006014999933540821,0.9152238965034485,0.03983822837471962,0.04726598784327507
каждый человек в своей жизни простужался не по одному разу.,0,0,0,0,1,Finding[4],875711,2,0.0028453385457396507,0.004502216354012489,0.8904172778129578,0.04321683943271637,0.050247929990291595
"В течение многих лет изобретено множество различных лекарств и это неудивительно, ведь организм имеет такое свойство, как привыкание к лекарству.",0,0,0,0,1,Finding[5],875711,3,0.00470886193215847,0.007946797646582127,0.7531070709228516,0.09264335036277771,0.10330921411514282
При очередном простудном заболевании врач выписал на это средство (Амиксин).,0,0,0,1,0,DI[6],875711,5,0.0012301296228542924,0.0016253221547231078,0.7035484313964844,0.10093624889850616,0.0995560958981514
Через несколько дней от простуды не осталось и следа.,1,0,0,1,0,EF[1]|DI[2],875711,8,0.002378088654950261,0.0035951051395386457,0.9473937749862671,0.02722390927374363,0.03279033303260803
То есть когда препарат со временем перестает оказывать эффективное действие на организм.,0,0,0,0,0,NEUTRAL,875711,4,0.009328803047537804,0.014806746505200863,0.781912088394165,0.10737106949090958,0.12010683119297028
"По своему личному опыту могу сказать, что препарат лишь купирует проявления простудного заболевания, избавляет от симптомов, но не вылечивает полностью.",0,1,0,1,0,INF[5]|DI[3],2657172,1,0.01102064736187458,0.01567406952381134,0.8260757327079773,0.09496096521615982,0.108771912753582
"У меня развился затяжной бронхит, так как я считал, что поправился, а на деле лишь сбил симптомы и заболел сильнее по новой спустя лишь пару дней после казавшегося излечения.",0,0,0,1,0,DI[6],2657172,2,0.001585011719726026,0.0022624528501182795,0.9517958760261536,0.022244948893785477,0.028115764260292053
"Нужно использовать комплексное лечение, прогревание и принимать лекарства от кашля и насморка отдельно.",0,0,0,1,0,DI[2],2657172,4,0.0018426646711304784,0.0025996381882578135,0.9236100316047668,0.03885508328676224,0.042540330439805984
"Препарат подходит для быстрого снятия симптомов и облегчения существования, но для выздоровления не годится.",1,1,0,0,0,INF[1]|EF[4],2657172,5,0.003226222237572074,0.004723334219306707,0.9297260642051697,0.03627154976129532,0.043884728103876114
Впечатление двоякое.,0,0,0,0,0,NEUTRAL,2657172,6,0.003520369529724121,0.004931590519845486,0.9063882827758789,0.04648949205875397,0.055294983088970184
"Иммунофлазид один из немногих препаратов, который облегчает протекание ОРВИ.",1,0,0,1,0,EF[2]|DI[3],656340,2,0.0016978224739432335,0.0023175152018666267,0.8579902052879333,0.05406459420919418,0.058099690824747086
"Препарат желательно применять не только во время болезни, но и после, как бы для подкрепления иммунитета.",0,0,0,1,0,DI[1],656340,7,0.010103712789714336,0.0143958805128932,0.8037074208259583,0.09799043834209442,0.11188711225986481
"Сколько уже было испробовано всяких разных противовирусных препаратов, на пальцах не пересчитать, и каждый раз когда идешь в аптеку с рецептом, думаешь, авось это то что нам надо( Иногда разочаровываешься в качестве, иногда в цене.",0,0,0,0,0,NEUTRAL,656340,1,0.0012007709592580795,0.0018579298630356789,0.91014164686203,0.032666608691215515,0.0372188501060009
"купила 2 пачки, назначено по 2 таб.",0,0,1,0,0,ADR[1],668099,6,0.0008115337113849819,0.0011408639838919044,0.7279713153839111,0.08429872244596481,0.0808660089969635
"в день, 10 дней.",0,0,1,0,0,ADR[4],668099,7,0.0014669820666313171,0.002041429514065385,0.9688783884048462,0.015783466398715973,0.021207891404628754
"Вчера выпила, ночью проснулась чтобы покормить ребенка и понимаю что просто не могу встать.",0,0,1,0,0,ADR[3],668099,8,0.0016166422283276916,0.002550702542066574,0.9165922999382019,0.03511779010295868,0.040176112204790115
"Целый день хожу как старенькая бабушка, хромая, волочу ногу за собой!",0,0,1,0,0,ADR[2],668099,11,0.0007787131471559405,0.001081777154468,0.9559305310249329,0.01817922666668892,0.022271957248449326
"Прочитала что могут быть боли в мышцах, мол побочное действие!",0,0,0,0,0,NEUTRAL,668099,13,0.002096104435622692,0.0033083290327340364,0.8876274824142456,0.04678289219737053,0.052735812962055206
"Муж болеет орви, в аптеке купили ингавирин.",0,0,0,1,0,DI[3],1325273,1,0.0005665661883540452,0.0006664472748525441,0.9024739265441895,0.03816661238670349,0.03547968715429306
"Температура правда спала, но после приема третей таблетки начал закашливаться аш до рвоты, мондраш волнами, давление 130(хотя с давлением вообще проблем не было), жуткая головная боль.",1,0,1,1,0,EF[1]|ADR[6]|DI[2],1325273,2,0.000559892097953707,0.0006479115108959377,0.9724574089050293,0.01497022993862629,0.017736339941620827
"А и ещё голова как будто едит куда-то, х. з куда.",0,0,1,0,0,ADR[5],1325273,4,0.0007780659943819046,0.0010088763665407896,0.9774343967437744,0.011237215250730515,0.016504615545272827
"Ужасный препарат, не надо его покупать, до этого пили кагоцел, цитовир, чего меня дёрнуло купить... Всё выкинула... Кстате при побочке сначала дала лактофильтрум, а потом через час таблетку от аллергии.",0,0,0,0,1,Finding[4],1325273,5,0.0008251344552263618,0.0009314482449553907,0.8017758131027222,0.0826408788561821,0.06901246309280396
"Это было и после второй таблетки, но я на ингавирин даже не подумала, а на следующий день никаких таблеток не пили только ингавирин и началось.",0,0,0,0,0,NEUTRAL,1325273,3,0.0017616583500057459,0.002867635805159807,0.9010045528411865,0.04008886590600014,0.04542059451341629
"Я очень боюсь сквозняков, в результате которых у меня очень часто появляется простуда на губах и глазах.",0,0,0,1,0,DI[5],2412180,1,0.0009885667823255062,0.0012845895253121853,0.9793065786361694,0.01104470994323492,0.01637890934944153
"Для меня настоящим спасением в таких ситуациях стало применения таблеток ""Ацикловир Сандоз"", которые не только убивают инфекцию но и повышают иммунитет к ней.",1,0,0,0,0,EF[3],2412180,2,0.0007488314295187593,0.0009939830051735044,0.8875726461410522,0.04080622270703316,0.04212165251374245
Поэтому пролечившись курс можно следующих 7-8 месяцев жить нормально не переживая за сквозняки и вирусы.,1,0,0,0,0,EF[1],2412180,3,0.0015281214145943522,0.0022521622013300657,0.9449660181999207,0.025693202391266823,0.0311922375112772
Мне хватает при появлении болячек попринимать таблетки 2 дня как от герпеса не остается и следа.,1,0,0,1,0,EF[4]|DI[2],2412180,5,0.0016453147400170565,0.0023381083738058805,0.91798335313797,0.03909666836261749,0.042352717369794846
"Еще есть мазь с аналогичным названием но она менее еффективна чем таблетки, разве что применять их в комплексе.",0,0,0,0,0,NEUTRAL,2412180,4,0.0011941548436880112,0.0016450650291517377,0.8049256801605225,0.0713161900639534,0.0723845511674881
Почти все члены моей семьи болеют гайморитом.,0,0,0,1,0,DI[2],2451820,2,0.0041440920904278755,0.006564765237271786,0.8707979321479797,0.052770063281059265,0.0615411214530468
"А на сейчас что я могу сказать: после того, как применяю, в носу становится легче, на запах и вкус непротивный, да и незаметно, как он попадает в нос.",1,0,0,0,0,EF[1],2451820,7,0.001030314713716507,0.001432748045772314,0.9657594561576843,0.015600048936903477,0.020833954215049744
Пока что помогает.,1,0,0,0,0,EF[3],2451820,8,0.0024995736312121153,0.0033451891504228115,0.8583512306213379,0.05644034221768379,0.06325982511043549
Здраствуйте!,0,0,0,0,0,NEUTRAL,2451820,1,0.0004941056831739843,0.0007421000627800822,0.876812756061554,0.030968274921178818,0.034447766840457916
"Совсем недавно заставила сделать прививку от гриппа мужа и дочку, так как в доме есть годовалый малыш.",0,0,0,1,0,DI[1],588478,2,0.0040171099826693535,0.006145342718809843,0.886203408241272,0.04758484661579132,0.059449028223752975
Прошлый год для наших знакомых был просто кошмарным по заболеваемости гриппом.,0,0,0,1,0,DI[4],588478,3,0.001981260720640421,0.002926907269284129,0.9077020883560181,0.034086938947439194,0.039827413856983185
"Три семьи (это только те кого знаю я) лежали пластом неделю с температурой под 40 и каким только чудом мы не заразились, одному Богу известно.",0,0,0,1,0,DI[6],588478,4,0.0005831320304423571,0.0008166350307874382,0.7746116518974304,0.052293043583631516,0.05729273706674576
Прошлогодняя статистика по заболеваемости ОРВИ не утешительная.,0,0,0,1,0,DI[7],588478,5,0.0008150195353664458,0.0010750008514150977,0.9348405003547668,0.02205323800444603,0.026231052353978157
"А вот муж, на 5 день заболел и заразил меня.",0,1,0,0,0,INF[5],588478,8,0.0009246871923096478,0.0012359933461993933,0.9647972583770752,0.015054021961987019,0.021032672375440598
"Время покажет, эффективна ли вакцина, но знакомые и родственники, делающие ежегодно прививку Грипполом Плюс гриппом не болели.",0,0,0,0,1,Finding[2],588478,11,0.0009113124688155949,0.001427366049028933,0.7800682187080383,0.06219828501343727,0.06791456043720245
"И переносят её хорошо, без повышения температуры.",0,0,0,0,1,Finding[3],588478,12,0.0019431470427662134,0.0029394959565252066,0.9388362765312195,0.03099348396062851,0.0363745242357254
"Я противник прививок, но некоторые прививки нужны.",0,0,0,0,0,NEUTRAL,588478,1,0.0017460820963606238,0.0028342772275209427,0.779522180557251,0.06645824015140533,0.07218316942453384
"Заметила, что дети стали меньше болеть, а если всё таки заболевают болезнь протекает легче и порою ограничевается только насморком.",1,0,0,1,0,EF[3]|DI[4],2436411,3,0.0011043772101402283,0.0015119524905458093,0.9571331739425659,0.01781492307782173,0.02386847697198391
Давненько не болели серьёзно с температурой.,1,0,0,1,0,EF[1]|DI[2],2436411,4,0.002433811081573367,0.00359415914863348,0.9323978424072266,0.032670795917510986,0.038839276880025864
Уже года два-три даём этот препарат детям.,0,0,0,0,0,NEUTRAL,2436411,1,0.016412829980254173,0.023036394268274307,0.7440466284751892,0.1296168863773346,0.14467982947826385
"Купил данный препарат, чтобы повторно лечится от простуды.",0,0,0,1,0,DI[4],2510045,1,0.005310754291713238,0.007873994298279285,0.7985817790031433,0.08930914103984833,0.10037010163068771
Это хорошее средство против вируса.,1,0,0,0,0,EF[5],2510045,3,0.0007631923072040081,0.0010078951017931104,0.7721185684204102,0.0696779191493988,0.06746166944503784
Эффект значительный - облегчение и быстрое исчезновение синдромов простуды.,1,0,0,1,0,EF[2]|DI[1],2510045,8,0.0017471611499786377,0.0025480214972049,0.9589311480522156,0.02133237197995186,0.027154352515935898
Но мне на данный момент Арбидол не помогает.,0,1,0,0,0,INF[3],2510045,13,0.004672435112297535,0.006614064332097769,0.8161056637763977,0.08526763319969177,0.09000454097986221
Злоупотреблять один препарат нет смысла и не будет эффекта.,0,0,0,0,0,NEUTRAL,2510045,6,0.005418155808001757,0.008015413768589497,0.7772392630577087,0.09165787696838379,0.10265050083398819
Когда перенервничаешь и болит сердечко пьём эти капельки.,0,0,0,1,0,DI[7],2700413,1,0.0009417605469934642,0.0013110375730320811,0.9600802659988403,0.018154744058847427,0.022549113258719444
"У нас в семье, он тоже не всем помогает.",1,1,0,0,0,EF[1]|INF[5],2700413,4,0.007341140881180763,0.010806616395711899,0.6532460451126099,0.13326439261436462,0.15380220115184784
"Но мне и маме он подошёл лучше корвалола и т. д. Когда не могу долго уснуть тоже пью на ночь, только в меньшей дозировке.",1,0,0,1,0,EF[2]|DI[6],2700413,5,0.000994284637272358,0.0014323517680168152,0.949027955532074,0.024481870234012604,0.02718023955821991
"Специфический запах как у всех капель конечно же присутствует, если не разбавить немного водой можно обжечь слизистые, с этим надо осторожно.",0,0,1,0,0,ADR[4],2700413,6,0.010263974778354168,0.016080820932984352,0.8152748346328735,0.0969419777393341,0.11395811289548874
"У мамы после него всегда болит желудок, поэту принимает редко Проконсультироваться надо с врачом так как есть противопоказания и желательно уточнить дозировку данного препарата именно для вас.",0,0,1,0,0,ADR[3],2700413,8,0.00306872371584177,0.003938404843211174,0.664310872554779,0.12890133261680603,0.1300235092639923
Как мне объяснили в больнице это зависит от возраста и веса,0,0,0,0,0,NEUTRAL,2700413,9,0.0023100555408746004,0.0037013471592217684,0.9030457735061646,0.03310232609510422,0.04680924117565155
"С противовирусными свечками Кипферон знаком давно, первый раз столкнулись с ними когда у жены был воспалительный процесс, очень дорогие по стоимости, но врач рекомендовал как найлучший препарат.",0,0,0,1,0,DI[3],591673,1,0.001674325205385685,0.0025105737149715424,0.8637773394584656,0.048813093453645706,0.053210463374853134
"Жене помогло, воспаление было связано с гинекологией.",1,0,0,1,0,EF[1]|DI[4],591673,2,0.0007789484807290137,0.0010612973710522056,0.9491125345230103,0.021576063707470894,0.024006707593798637
А вот буквально несколько дней назад ребенок приболел и при осмотре врачей поставили диагноз-бронхит.,0,0,0,1,0,DI[2],591673,3,0.001540708588436246,0.0021485495381057262,0.9440175294876099,0.02579529769718647,0.031087378039956093
"Начали пугать, что чють ли не пневмония и все остальное и прописали лечение.",0,0,0,0,1,Finding[5],591673,4,0.001573027460835874,0.002521342597901821,0.6825516819953918,0.09503248333930969,0.10358134657144547
Поэтому в этом случае положительного эффекта я не наблюдал.,0,1,0,0,0,INF[6],591673,7,0.005535140633583069,0.008627684786915779,0.8763031363487244,0.05963699892163277,0.07211414724588394
Общее впечатление : Результат хороший при комплексном лечении.,1,0,0,0,0,EF[7],591673,9,0.0024798372760415077,0.00354047236032784,0.9363327622413635,0.03259054198861122,0.03903789818286896
"Есть и недостаток, свечи стоят очень дорого, а качество плохое, при вскрытии упаковки свечи ломаются, просто-напросто крошатся, 50% с упаковки пропадает.",0,0,0,0,0,NEUTRAL,591673,8,0.004473123233765364,0.007009050343185663,0.8562937378883362,0.06776940077543259,0.07694806903600693
Как всегда врач назначила старшей дочери как профилактику от ОРВИ и гриппа.,0,0,0,1,0,DI[5],273783,2,0.0010016364976763725,0.0013280343264341354,0.7579241991043091,0.07797138392925262,0.07725170254707336
Но должной профилактики Анаферон не оказал.,0,1,0,1,0,INF[1]|DI[2],273783,5,0.0009667468257248402,0.0012617313768714666,0.8170136213302612,0.06753203272819519,0.06481920182704926
Но ребенок заболевал не зависимо от того принимали мы Анаферон или нет.,0,1,0,0,0,INF[4],273783,7,0.0013441828778013587,0.0019561138469725847,0.6124785542488098,0.10576461255550385,0.11705140769481659
"Может быть препарат действительно помогает, но я этого не поняла.",0,1,0,0,0,INF[3],273783,10,0.011117950081825256,0.017231307923793793,0.7153760194778442,0.12478861212730408,0.14580462872982025
"Такое ощущение было, что оганизм сам побеждал болячку.",0,0,0,0,0,NEUTRAL,273783,9,0.000664634455461055,0.0008478928357362747,0.9441599249839783,0.024975024163722992,0.028146974742412567
"Начинаем лечиться, в течении пяти, примерно, дней общая симптоматика идет на спад.",1,0,0,0,0,EF[2],4540580,2,0.0015775017673149705,0.0022452680859714746,0.959680438041687,0.020184380933642387,0.025209635496139526
"Так вот, каждый раз, когда заканчивается курс свечей, ребенок вполне себе здоровенький и я с облегчением заканчиваю терапию, вдруг через пару-тройку дней симптоматика возвращается снова.",0,1,0,0,0,INF[3],4540580,4,0.003298069816082716,0.004898820538073778,0.9252371191978455,0.03831763565540314,0.04542739316821098
И опять мы болеем и лечимся.,0,1,0,0,0,INF[1],4540580,5,0.0012204668018966913,0.001608100370503962,0.8582247495651245,0.057531870901584625,0.05518614128232002
"Еще, до кучи, у старшего при недавнем приеме препарата вдруг проявилась аллергия по типу крапивницы.",0,0,1,0,0,ADR[4],4540580,8,0.001394175342284143,0.0021168263629078865,0.9370478391647339,0.02698308601975441,0.03332770615816116
Двум моим детям педиатр назначает только эти свечи.,0,0,0,0,0,NEUTRAL,4540580,1,0.004467202816158533,0.006721829995512962,0.6990466713905334,0.11299671977758408,0.12449870258569717
"Ежеминутно стало бросать в жар, появилась сильная слабость, тахикардия, неясность сознания, притупленность, безразличие, никого не хочеться ни видеть, ни слышать, на улицу выйти естественно не можешь, да и не хочеться.",0,0,1,0,0,ADR[1],450633,2,0.0008048275485634804,0.001060976879671216,0.9777361154556274,0.01096965093165636,0.016113704070448875
Общее впечатление : Не подошел,0,0,0,0,0,NEUTRAL,450633,6,0.0016265104059129953,0.0021004765294492245,0.964943528175354,0.0157999936491251,0.024004600942134857
