sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
"Потом попробовали его намазать летом - покусали комарики, да еще и расчесали - не помог тоже.",0,1,0,0,0,INF[6],591900,4,0.001967288553714752,0.6761102676391602,0.02237519808113575,0.0029999883845448494,0.028315892443060875
"Конечно, может нужно его использовать в комплексе с внутренними препаратами, но как отдельное средство он нам не помог.",0,1,0,0,0,INF[3],591900,5,0.051614854484796524,0.9775761365890503,0.012681446969509125,0.007164952345192432,0.008756378665566444
"Я тоже пострадала от укусов комаров летом, тоже мазалась и тоже как чесалась так и чесалась.",0,1,0,0,0,INF[7],591900,6,0.0014287150697782636,0.2052115797996521,0.04846533015370369,0.007660664152354002,0.36714163422584534
"Мне кажется, что он не эффективен.",0,1,0,0,0,INF[2],591900,7,0.0080454396083951,0.9569762945175171,0.01972714439034462,0.0067627932876348495,0.007071398198604584
"Я согласна с тем, что на разных людей одинаковые средства действуют по-разному.",0,0,0,0,0,NEUTRAL,591900,2,0.001032636733725667,0.019766874611377716,0.001727229100652039,0.00387025298550725,0.005213543772697449
Но мне ингавирин смог помочь за 3 дня.,1,0,0,0,0,EF[3],2663253,4,0.3794965147972107,0.010086609981954098,0.0002727234677877277,0.017410699278116226,0.001592737971805036
"заболела Орви, купила в аптеке Ингавирин в капсулах.",0,0,0,1,0,DI[1],2663253,5,0.00056852848501876,0.006859712768346071,0.0017962637357413769,0.005176873411983252,0.017667975276708603
"И помогло, на третий день чувствовала себя уже отлично.",1,0,0,0,0,EF[6],2663253,9,0.9512031078338623,0.011857796460390091,0.0007665579323656857,0.005579634103924036,0.003139825537800789
Прекрасное эффективное средство.,1,0,0,0,0,EF[4],2663253,10,0.9824108481407166,0.004159845411777496,0.0022555452305823565,0.004804592579603195,0.0026304712519049644
"Правда может показаться дороговатым, но за прекрасное действие можно и потратиться, особенно когда болеешь и хочется быть в строю как можно раньше.",1,0,0,0,0,EF[2],2663253,11,0.9986457228660583,0.06437045335769653,0.058794088661670685,0.02482701651751995,0.004082416649907827
Я честно рекомендую Ингавирин при начальных симптомах простуды и даже в целях профилактики.,0,0,0,1,0,DI[5],2663253,12,0.24216611683368683,0.0040306150913238525,0.001183094922453165,0.9288308024406433,0.005500854924321175
"Наверно, благодаря рекламе.",0,0,0,0,0,NEUTRAL,2663253,2,0.010470528155565262,0.006896858103573322,0.0006384531734511256,0.015546660870313644,0.002487290184944868
С недавних пор начала страдать появлением герпеса на губах.,0,0,0,1,0,DI[7],832817,1,0.0003552401321940124,0.004429006949067116,0.009229833260178566,0.03602749481797218,0.08872918039560318
"Двадцать три года прожила и ничего подобного никогда не появлялось, а однажды переболела, иммунитет ослабел и выскочила эта ерунда на губах.",0,0,0,1,0,DI[10],832817,2,0.0016981094377115369,0.6647716760635376,0.32956254482269287,0.015023509040474892,0.10330922901630402
"Я какие только средства не перепробовала: и Герпевир, и Зовиракс и еще какое-то средство было, а еще врач мне порекомендовал еще на ранней стадии появления герпеса присушивать его спиртом, вернее спиртовым раствором (кстати, помог).",0,0,0,1,0,DI[3],832817,3,0.0009605720988474786,0.019681667909026146,0.0015462929150089622,0.018324902281165123,0.04562251269817352
А вот однажды у меня опять появился герпес и снова тогда когда я переболела респираторной вирусной инфекцией.,0,0,0,1,0,DI[9],832817,4,0.00039955825195647776,0.010342633351683617,0.0031544636003673077,0.0071792807430028915,0.0647759810090065
И уже на следующий день у меня все прошло.,1,0,0,0,0,EF[6],832817,7,0.04560738056898117,0.004938826430588961,0.0004440786724444479,0.0019068116089329123,0.0013339243596419692
"Правда, осталась еще маленькая ранка, но зато губу не раздуло, не разнесло, дальше герпес не пошел.",1,0,0,1,1,EF[1]|DI[8]|Finding[2],832817,8,0.007816724479198456,0.9380249381065369,0.009644686244428158,0.042465850710868835,0.22376824915409088
Отличное средство при борьбе с герпесом.,1,0,0,1,0,EF[5]|DI[4],832817,11,0.16075406968593597,0.002229287987574935,0.00021908896451350302,0.2421696037054062,0.005257430020719767
"Общее впечатление : главное начать пользоваться на ранней стадии, эффект есть RATING 4 NOTE",0,0,0,0,0,NEUTRAL,832817,13,0.018464840948581696,0.008938909508287907,0.0005574755487032235,0.0020109908655285835,0.0011823575478047132
"Нам первый раз прописывала его врач при ОРВИ, давала его неделю, результата никакого, потом пошли в больницу и нам выписали другие препараты.",1,0,0,1,0,EF[4]|DI[2],905423,1,0.0012055259430781007,0.06340242177248001,0.0011592474766075611,0.03278736397624016,0.04301779717206955
"В общем я бы не рекомендовала его покупать, так как несколько раз покупали и результат был один и тот же, никакой!",0,1,0,0,0,INF[1],905423,6,0.005344148259609938,0.8539108037948608,0.011359063908457756,0.005457879509776831,0.0046058217994868755
Общее впечатление : И лечились и профилактика фигня!,0,1,0,1,0,INF[3]|DI[5],905423,7,0.00973455049097538,0.02273618057370186,0.0007182593690231442,0.0016748527996242046,0.0016358670545741916
"Правда на этом шприце очень плохо видно циферки, разметка тусклая.",0,0,0,0,0,NEUTRAL,905423,5,0.0008364999084733427,0.11891380697488785,0.039378535002470016,0.004897828213870525,0.014278585091233253
"Выписывают детям при любой простуде, хотя особого действия я от них я не замечала, что ешь, что радио слушаешь.",0,0,0,1,0,DI[3],578508,1,0.0037389674689620733,0.07794540375471115,0.0018213946605101228,0.04373038932681084,0.00964604876935482
"Пробовала давать отдельно, как профилактику, съедают целую пачку, а толка никакого, а стоят не дёшево.",0,1,0,1,0,INF[1]|DI[2],578508,4,0.001779441605322063,0.25818511843681335,0.005304322112351656,0.0021476082038134336,0.018356332555413246
"Один плюс можно давать детям с самого рождения, не навредят, а мамам спокойнее « вроде что то дают для защиты».",0,0,0,0,0,NEUTRAL,578508,6,0.373806893825531,0.011807706207036972,0.001768915681168437,0.0046750460751354694,0.0014971016207709908
"А чередую я его с нурофеном, когда между приёмами нурофена у ребенка быстро набегает температура, а пить нурофен бывает ещё рано.",0,0,0,1,0,DI[1],2707053,2,0.001882370444945991,0.05579743534326553,0.0011945479782298207,0.006207410711795092,0.01828657276928425
"И поэтому у нас дома в нашей аптечка всегда имеются два этих лекарственных препаратов: нурофен и Обезболивающее и жаропонижающее средство ""Синтез"" Парацетамол детский в виде суспензии.",0,0,0,0,0,NEUTRAL,2707053,5,0.0018411952769383788,0.003500832710415125,0.0007013090653344989,0.0031350040808320045,0.006849627010524273
"Прошлой осенью решила попробовать для профилактики таблетки Ratiopharm ""Эхинацея"".",0,0,0,1,0,DI[1],2443835,2,0.0011214386904612184,0.0032328024972230196,0.004080054350197315,0.5947097539901733,0.048270970582962036
"Курс я пропила, заболела всё-таки, но болезнь протекала легче и выздоровела я быстрее.",1,0,0,0,0,EF[2],2443835,5,0.6985580325126648,0.18423698842525482,0.0006388038164004683,0.020997194573283195,0.0061258841305971146
"Не знаю, может быть, это было просто самовнушение, что я пила профилактический препарат, а может, действительно, ""Эхинацея"" сработала.",0,0,0,1,0,DI[3],2443835,6,0.07256777584552765,0.9876082539558411,0.007980856113135815,0.016876310110092163,0.04852838069200516
"Они, конечно дороже, чем отечественные аналоги, но, я думаю, качество немного лучше.",0,0,0,0,0,NEUTRAL,2443835,3,0.2364538311958313,0.01872493512928486,0.0009003698942251503,0.0014924798160791397,0.001226827036589384
"Средства типа валерианы мне не помогают совсем, поэтому начала искать для себя новое средство.",0,1,0,0,0,INF[1],264987,2,0.00314770988188684,0.17913474142551422,0.002548666438087821,0.03270093351602554,0.015373184345662594
"Перепробовала некоторые, но от каких-то болит голова, от каких-то никакого эффекта.",0,1,1,0,0,INF[5]|ADR[7],264987,3,0.0021076027769595385,0.384504497051239,0.014267400838434696,0.002851113211363554,0.0017040149541571736
"Успокаивает очень хорошо, никаких головных болей, как у меня были от других средств, пропила в течение месяца, эффект очень ощутимый, стала менее раздражительной, более спокойной.",1,0,0,1,1,EF[8]|DI[2]|Finding[10],264987,8,0.8836605548858643,0.4319841265678406,0.029180066660046577,0.40108826756477356,0.021036610007286072
"Сейчас постоянно пить бросила, а пользуюсь только в стрессовых ситуациях.",0,0,0,1,0,DI[3],264987,9,0.06426651030778885,0.9521545171737671,0.05429215729236603,0.25712504982948303,0.018899841234087944
Хорошо так же пить на ночь - нормализует сон.,1,0,1,0,0,EF[12]|ADR[9],264987,10,0.43709638714790344,0.0231179129332304,0.002699637785553932,0.01072775013744831,0.0021574681159108877
"Если пить днем, то никакой сонливости не наблюдается, что важно на работе.",0,0,0,0,1,Finding[6],264987,11,0.10534096509218216,0.29739972949028015,0.035046692937612534,0.01854942925274372,0.009639882482588291
"Это средство однозначно мне подходит, но всё сугубо индивидуально.",1,0,0,0,0,EF[4],264987,12,0.7862939834594727,0.1698847860097885,0.0019292928045615554,0.0038448572158813477,0.001535141607746482
"Общее впечатление : Единственное,что мне помогает",1,0,0,0,0,EF[11],264987,13,0.07391159236431122,0.8116348385810852,0.0011051869951188564,0.016099875792860985,0.0053239669650793076
"Если верить составу, то он основан на травах, честно эффекта не ждала, т. к. решила, что травки мне не помогут.",0,0,0,0,0,NEUTRAL,264987,5,0.008758957497775555,0.845684826374054,0.009840146638453007,0.034688979387283325,0.027807243168354034
"Первый раз столкнулся с препаратом когда лечили бабушку, уже довольно пожилая и возможно по-старости ее последнее время беспокоила гипертония.",0,0,0,1,0,DI[1],618094,1,0.0017364530358463526,0.0025905799120664597,0.00299599370919168,0.6677502989768982,0.07738518714904785
"Принимала таблетки, но в одно время стался микро-инсульт и парализовало левую сторону, так вот одним из препаратов был у нее кавинтон.",0,0,0,1,0,DI[6],618094,2,0.001081850379705429,0.009230252355337143,0.003793461015447974,0.15664829313755035,0.33086588978767395
"Около двух лет кололи всевозможные препараты и было хорошее комплексное лечение, но результат все-равно был слабым, немного отпустило, но руку и ногу бабушке до конца не отпустило.",1,1,0,0,0,EF[4]|INF[3],618094,3,0.016931334510445595,0.9197278618812561,0.007558032404631376,0.013072224333882332,0.17839545011520386
"Сам лично столкнулся с препаратом в кабинете у лора, беспокоил шум в ушах и к моему удивлению мне был прописан кавинтон форте.",0,0,0,1,0,DI[5],618094,4,0.0008228554506786168,0.0058244867250323296,0.003224362852051854,0.13705402612686157,0.3006598651409149
"Около недели принимал препарат и бросил, началась бессонница и тахикардия, мне он не подошел.",0,1,1,0,0,INF[9]|ADR[7],618094,5,0.002527091186493635,0.9055756330490112,0.04490974545478821,0.007548302412033081,0.020535603165626526
"Воздействия, кроме побочного явления я не почувствовал.",0,1,0,0,0,INF[10],618094,6,0.01049339771270752,0.9187466502189636,0.028966616839170456,0.003515081014484167,0.009674071334302425
"К удивлению у моего кума были проблеммы с ЦНС и он лечился тоже кавинтоном, очень помог ему.",1,0,0,1,0,EF[8]|DI[2],618094,7,0.006136995740234852,0.01615353301167488,0.0004546794225461781,0.4776199460029602,0.279191792011261
"Так что даже и незнаю как оценить правильно препарат, мне не дал результата, хотя моим знакомым и помог.",0,0,0,0,0,NEUTRAL,618094,8,0.04888703674077988,0.9899086952209473,0.015760082751512527,0.011241624131798744,0.021077534183859825
"Таблеточки не приносят никакого неудобства, их просто нужно проглотить) Раньше совсем таблетки не пила, а тут подхватила вирус гриппа и разболелась.",0,0,0,1,0,DI[2],5967832,2,0.0025778580456972122,0.5751242637634277,0.009783872403204441,0.005082693882286549,0.07002566754817963
