sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
А вот с аквалором все стало намного проще.,0,0,0,0,0,NEUTRAL,877405,4,0.3783484399318695,0.003553326241672039,0.0025745839811861515,0.006794164888560772,0.0037205046974122524
Мои дети не аллергетики.,0,0,0,0,1,Finding[2],2886803,2,0.011729207821190357,0.010679108090698719,0.012869774363934994,0.0131693035364151,0.9687482118606567
У моих деток после начала приема этого препарата появилась тяжелой формы медикаментозная аллергия.,0,0,1,0,0,ADR[3],2886803,3,0.0009730495512485504,0.001093075261451304,0.9932640790939331,0.004342485219240189,0.0034014370758086443
"В то время как мы попали в больницу, доктор нам сообщил, что именно после приема этого препарата очень много детей поступает в больницы скорой помощи с тяжелыми аллергическими реакциями.",0,0,1,0,0,ADR[1],2886803,5,0.000836347637232393,0.0006333127967081964,0.17141373455524445,0.028113054111599922,0.5684165358543396
И протекала очень тяжело.,0,0,0,0,0,NEUTRAL,2886803,4,0.0018262993544340134,0.0027695943135768175,0.002641475759446621,0.013334015384316444,0.0039201341569423676
"Как только я чувствовала, что начинаю заболевать, обычно у меня начинает чесаться нос, я часто чихаю и першит в горле, то сразу же я ставила эти свечи.",0,0,0,1,0,DI[2],5801040,7,0.005201846361160278,0.0036972747184336185,0.013383094221353531,0.9954079985618591,0.004044799134135246
Кроме них я никакого лечения не начинала и как правило уже на третий день у меня все проходило.,1,0,0,0,0,EF[1],5801040,10,0.7822233438491821,0.18049390614032745,0.003875770140439272,0.0026900095399469137,0.008355114609003067
"А сейчас и своему маленькому сынульке, если начинает болеть тоже их ставлю, легко и действенно, помогает всегда.",0,0,0,0,0,NEUTRAL,5801040,13,0.9962600469589233,0.012445450760424137,0.015285749919712543,0.028354931622743607,0.014240795746445656
"На работе, ближе к обеду я почувствовала себя плохо, начался озноб, стало болеть все тело.",0,0,0,1,0,DI[1],24065,1,0.0013650377513840795,0.003309511113911867,0.0625552162528038,0.991154134273529,0.010755376890301704
"Как я знала, это были первые признаки простуды, если не принять меры, завтра я не смогу встать с постели.",0,0,0,1,0,DI[5],24065,2,0.002581972163170576,0.0031283709686249495,0.005623677745461464,0.9935190081596375,0.009555797092616558
Принимала по инструкции и уже в конце рабочего дня почувствовала себя хорошо.,1,0,0,0,0,EF[3],24065,6,0.9699690937995911,0.009641876444220543,0.0125182019546628,0.004455480724573135,0.009435808286070824
"Для профилактики приняла еще одну таблетку, а сейчас всегда с собой ношу ""Ринзу"", мало ли что.",0,0,0,1,0,DI[2],24065,8,0.03238402307033539,0.006345213856548071,0.013528820127248764,0.9970554113388062,0.003251312067732215
"Не знаю как вам, но в моем случае помог, поэтому пока я ему доверяю.",1,0,0,0,0,EF[4],24065,10,0.9891402721405029,0.012599930167198181,0.011899566277861595,0.007248448673635721,0.015256871469318867
"Во время обеда пошла в аптеку, где мне посоветовали купить ""Арбидол"" или ""Ринза"", исходя из цены купила второе лекарство.",0,0,0,0,0,NEUTRAL,24065,4,0.001284505589865148,0.0017473931657150388,0.007074019871652126,0.003823088249191642,0.010006793774664402
"К сожалению результата он не дал, через две недели мы заболели.",0,1,0,0,0,INF[2],217439,4,0.01702439785003662,0.9827482104301453,0.015409727580845356,0.015507768839597702,0.009092028252780437
"Вылечились, опять в сад с ИРС-19, но опять слегли, причем с сильным ринитом.",0,0,1,0,0,ADR[5],217439,5,0.07553421705961227,0.8271556496620178,0.005878061521798372,0.982368528842926,0.003042519325390458
Я таких зеленых и густых соплей еще ни разу у своей дочки не видела.,0,0,1,0,0,ADR[4],217439,6,0.003990746568888426,0.00434641819447279,0.0070088449865579605,0.9905183911323547,0.0028113708831369877
"Мне объяснили, что надо читать инструкцию, там написаны побочные эффекты: бронхит, синусит и ларингит.",0,0,0,0,1,Finding[1],217439,8,0.002911593997851014,0.0018750758608803153,0.002456153742969036,0.14056414365768433,0.5369212627410889
В нашем случае оказался сильный ринит.,0,0,1,0,0,ADR[3],217439,9,0.005775175988674164,0.003025548765435815,0.005205964203923941,0.9802360534667969,0.0015447563491761684
"Всегда хочется, чтобы ребенок был здоров, поэтому ищем средства, чтобы защититься от вирусов.",0,0,0,0,0,NEUTRAL,217439,1,0.0022522478830069304,0.0011284374631941319,0.0013149293372407556,0.8410418033599854,0.004554288927465677
"Но он нам не подошел по одной интересной причине: его нельзя ни разгрызать и запивать водой, ни толочь и в разведенным виде пить.",0,1,0,0,0,INF[1],2706079,2,0.002892684657126665,0.12190989404916763,0.009448996745049953,0.001441308530047536,0.008331983350217342
Только тогда от приема препарата будет толк с высокой степенью вероятности.,0,0,0,0,0,NEUTRAL,2706079,4,0.175435870885849,0.007979619316756725,0.02374091185629368,0.0008995668613351882,0.0029314777348190546
Я уже около 10 лет каждый год делала прививки от гриппа.,0,0,0,0,1,Finding[4],2734199,1,0.002691204659640789,0.0022101716604083776,0.0027067875489592552,0.9897206425666809,0.01039408054202795
"Всё было хорошо, гриппом и ОРЗ не болела.",0,0,0,0,1,Finding[2],2734199,3,0.940530002117157,0.02256936952471733,0.0010988404974341393,0.330593079328537,0.35763001441955566
"В результате я переболела через две недели без температуры типа ОРЗ с сильнейшим насморком, около недели была жуткая слабость, после этого через две недели заболела гриппом с жуткой ломотой всех суставов, высокой температурой и пр.",0,0,1,1,1,ADR[1]|DI[3]|Finding[5],2734199,6,0.017430100589990616,0.33984291553497314,0.29508233070373535,0.9973981380462646,0.20677636563777924
Сугубо факты.,0,0,0,0,0,NEUTRAL,2734199,8,0.002453847089782357,0.0017134820809587836,0.0059433928690850735,0.005439592059701681,0.0036594083067029715
На осмотре в 3 месяца невролог поставил диагноз синдром двигательных нарушений и выписал 10-дневный курс уколов с постепенным увеличением дозы.,0,0,0,1,0,DI[3],2689254,2,0.004331397358328104,0.0018478065030649304,0.006772922817617655,0.9927423000335693,0.008058266714215279
