sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
Но на второй день- сыпь по всему телу.,0,0,1,0,0,ADR[3],594103,3,0.004758920520544052,0.005790430121123791,0.8432095646858215,0.04897792637348175,0.025660548359155655
"Общее впечатление : Помогает, но дает сильную сыпь RATING 3 NOTE",1,0,1,0,0,EF[5]|ADR[6],594103,7,0.0029274779371917248,0.0033855747897177935,0.8616935014724731,0.046280957758426666,0.04208670184016228
Пришлось отказаться.,0,0,0,0,0,NEUTRAL,594103,6,0.04646614193916321,0.049670830368995667,0.5621649622917175,0.20944641530513763,0.15258540213108063
Стараюсь делать прививки от гриппа каждый год.,0,0,0,1,0,DI[4],652119,1,0.013919654302299023,0.014192866161465645,0.39088326692581177,0.1647643893957138,0.1772748976945877
"После прививки температуры не было, общее состояние тоже было хорошее.",1,0,0,0,1,EF[9]|Finding[3],652119,6,0.028315387666225433,0.029227599501609802,0.6002424955368042,0.19213522970676422,0.23537307977676392
Сильных ОРВИ не было (прошло 2 мес.,0,0,0,0,1,Finding[5],652119,7,0.0033142855390906334,0.0035719003062695265,0.628840446472168,0.08280548453330994,0.09179320186376572
"), но было фарингит (красное горло) - сидели на больничном.",0,0,0,1,0,DI[6],652119,8,0.00937709305435419,0.012653500773012638,0.6354478597640991,0.10661213845014572,0.050799619406461716
Первый раз почувствовала недомогания - УЖАСНО болели мышцы на ногах (ниже колен) и на руках - от локтей до кончиков пальцев.,0,0,1,0,0,ADR[7],652119,10,0.024461789056658745,0.028578490018844604,0.879755973815918,0.0995681956410408,0.08807295560836792
Т. к. мышечная боль - симптом гриппа - то объяснила себе боли иммунизацией организма.,0,0,1,1,0,ADR[8]|DI[1],652119,14,0.01770438626408577,0.019900327548384666,0.38671672344207764,0.19791363179683685,0.23071418702602386
"Надеюсь, гриппом болеть не буду.",0,0,0,1,0,DI[2],652119,16,0.02409043163061142,0.02234838530421257,0.5262330770492554,0.19648477435112,0.25817370414733887
делала в сентябре.,0,0,0,0,0,NEUTRAL,652119,5,0.0032753259874880314,0.0034276992082595825,0.46935567259788513,0.09183496236801147,0.13242025673389435
"Мы начинаем прием ""ударной дозы"" при первых признаках простуды, и как ни странно (возможно, это самовнушение), но он помогает.",1,0,0,1,0,EF[6]|DI[5],639476,2,0.03785521537065506,0.04386596381664276,0.4395783841609955,0.23601381480693817,0.19818668067455292
"Заболевание протекает менее выраженно, ребенок чувствует себя хорошо, не лежит весь день от усталости.",1,0,0,0,1,EF[3]|Finding[4],639476,3,0.0237876009196043,0.028266381472349167,0.7602031230926514,0.14546950161457062,0.13389058411121368
"У нас бывает, что простуда начинается снова через перу месяцев, тогда пьем что-то другое.",0,0,0,1,0,DI[2],639476,9,0.016258299350738525,0.018266109749674797,0.5429807305335999,0.1642310917377472,0.15860195457935333
"А так даже для профилактики берем, особенно в осенне-зимний период.",0,0,0,1,0,DI[1],639476,10,0.01734893210232258,0.01908956468105316,0.34950050711631775,0.19786028563976288,0.20801709592342377
"В какой-то мере Анаферон относится к гомеопатии, а такие препараты, как известно, действую очень медленно в плане лечения, но зато эффективно, заставляя организм бороться с вирусом самостоятельно.",0,0,0,0,0,NEUTRAL,639476,6,0.048507072031497955,0.0508660264313221,0.23326212167739868,0.31992995738983154,0.3472645878791809
"Я большой противник всех ... феронов, т. к. они подавляют иммунитет.",0,0,0,0,1,Finding[5],884467,1,0.020285574719309807,0.023564297705888748,0.24801190197467804,0.22814171016216278,0.17249590158462524
"И рассказывает, что просто невозможно стало: то старший ребенок из школы простуду принесет, вся семья болеет.",0,0,0,1,0,DI[4],884467,4,0.003511558286845684,0.004583739675581455,0.8738435506820679,0.05299689620733261,0.04437560215592384
"То муж на работе грипп подхватит, и снова все болеют.",0,0,0,1,0,DI[1],884467,5,0.004511833190917969,0.005219621118158102,0.6275475025177002,0.09650275856256485,0.12410090863704681
Мазать носики всех членам семьи в простудный и гриппозный период.,0,0,0,1,0,DI[3],884467,8,0.0019448717357590795,0.0022258497774600983,0.6819838881492615,0.0626634806394577,0.0765761211514473
"Общее впечатление : Похоже, и правда помогает от вирусов RATING 3 NOTE",1,0,0,0,0,EF[2],884467,11,0.001677182619459927,0.0019754094537347555,0.7972346544265747,0.04454293102025986,0.047034695744514465
"Применять их, я считаю, нужно в крайнем случае.",0,0,0,0,0,NEUTRAL,884467,2,0.05791199952363968,0.05991829186677933,0.4306679964065552,0.27819153666496277,0.2684541940689087
"Раньше я никогда не принимала успокаивающие, только что разве на ночь, когда не могла заснуть.",0,0,0,1,0,DI[3],2491250,1,0.07903995364904404,0.08347824960947037,0.5677387118339539,0.2363710254430771,0.19550393521785736
"Недавно мне поставили диагноз невроз и я поняла все"" прелести"" заболевания нервной системы-это кошмар.",0,0,0,1,0,DI[1],2491250,2,0.019483594223856926,0.020969992503523827,0.3033161163330078,0.22759117186069489,0.22728358209133148
"Начали мучить сердцебиения, раздражительность, плаксивость, бессонница.",0,0,0,1,0,DI[7],2491250,3,0.01376329455524683,0.017109237611293793,0.9547823667526245,0.0578438900411129,0.04081784188747406
"К сожалению хочу сказать, что при действительно серьезных проблемах с нервной системой она оказалась бесполезной, все равно что ""мертвому припарка"".",0,1,0,0,0,INF[4],2491250,5,0.010823558084666729,0.010370113886892796,0.30688831210136414,0.19510316848754883,0.26882919669151306
"Даже уснуть не помогает, нужно более сильное средство.",0,1,0,1,0,INF[5]|DI[2],2491250,6,0.0344218909740448,0.03520931303501129,0.6852487921714783,0.17535217106342316,0.16517436504364014
"А так если чисто расстроился, расплакался временно, кто то обидел, то вполне поможет успокоиться.",0,0,0,0,1,Finding[6],2491250,7,0.004581829998642206,0.0038008687552064657,0.6320865750312805,0.1093025878071785,0.15927930176258087
Время использования: много раз,0,0,0,0,0,NEUTRAL,2491250,8,0.0012561110779643059,0.0014265879290178418,0.8221587538719177,0.027356941252946854,0.01932457648217678
"Так как имела проблемы с засыпанием, повышенную активность в течение дня.",0,0,0,1,0,DI[1],2404812,2,0.005135056097060442,0.005407087039202452,0.8961101174354553,0.05378008261322975,0.04490060359239578
Одной из причин моего психического расстройства врачи признали применение данного препарата.,0,0,0,1,0,DI[2],2404812,4,0.03644385561347008,0.03940475359559059,0.4016561508178711,0.24416343867778778,0.24009782075881958
А также барбовал провоцирует нарушения женского здоровья.,0,0,1,0,0,ADR[3],2404812,6,0.002791275968775153,0.003180720377713442,0.9767022132873535,0.02295185811817646,0.0190486591309309
"Хочу предостеречь любителей растительных препаратов, т. к барбовал содержит фенобарбитал, вызывающий привыкание (похлеще, чем наркотические средства).",0,0,1,0,0,ADR[4],2404812,7,0.02774948999285698,0.026765357702970505,0.2013491988182068,0.28799739480018616,0.34741437435150146
Лечитесь с умом!,0,0,0,0,0,NEUTRAL,2404812,8,0.005276448559015989,0.005910819862037897,0.7788689136505127,0.07655184715986252,0.06636880338191986
"Средство эффективное, иммунный ответ возрастает чуть ли не с первого дня применения, эффект при грамотном курсовом приеме длится 2-3 месяца.",1,0,0,0,0,EF[1],565283,2,0.04730553552508354,0.05410870164632797,0.6010115742683411,0.22506456077098846,0.22090081870555878
"Простым языком: если вы через 5-6 месяцев не повторите курс, то в этот момент риск подхватить инфекционное заболевание повышается, т. е. это сбивает естественные иммунные настройки организма.",0,0,0,0,1,Finding[2],565283,9,0.003074143547564745,0.0032418700866401196,0.955295979976654,0.041190870106220245,0.03949815407395363
Побочек при приеме не наблюдалось.,0,0,0,0,0,NEUTRAL,565283,3,0.04832166060805321,0.05179251357913017,0.3237871527671814,0.28896471858024597,0.300977498292923
"На четвертый раз-второй день, у сына начался пристуобразный кашель, нос полностью перестал дышать(отек носа), сын начал тереть горло как будто и там отек произошел.",0,0,1,1,0,ADR[2]|DI[3],2439532,4,0.006661281455308199,0.0070053571835160255,0.8316447734832764,0.0851459801197052,0.0977778509259224
Он просто стал задыхаться.,0,0,1,0,0,ADR[4],2439532,5,0.028047023341059685,0.03326917812228203,0.49288037419319153,0.19357074797153473,0.14188088476657867
Я быстро дала Зиртек(от аллергии)-можно сказать впихнула ложку с лекарством и через некоторое время все прошло как будто ничего и не было.,0,0,0,1,0,DI[1],2439532,6,0.007058341987431049,0.007904347963631153,0.26504549384117126,0.18223658204078674,0.26224514842033386
