sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
But on the second day-a rash all over the body.,0,0,1,0,0,ADR[3],594103,3,0.0018380212131887674,0.00254902639426291,0.9971051812171936,0.002256945241242647,0.004879164509475231
"Overall impression: Helps, but gives a strong rash RATING 3 NOTE",1,0,1,0,0,EF[5]|ADR[6],594103,7,0.009726055897772312,0.0010638589737936854,0.31928056478500366,0.1333230435848236,0.005085501354187727
I had to refuse.,0,0,0,0,0,NEUTRAL,594103,6,0.00377193046733737,0.004404754843562841,0.007459315471351147,0.02292632684111595,0.01739541068673134
I try to get flu shots every year.,0,0,0,1,0,DI[4],652119,1,0.019084090366959572,0.01754244789481163,0.010443154722452164,0.029380369931459427,0.9423373341560364
"After vaccination, there was no fever, General condition was good too.",1,0,0,0,1,EF[9]|Finding[3],652119,6,0.9313462972640991,0.01175841223448515,0.06706128269433975,0.9537023901939392,0.078968845307827
SARS was not strong (it took 2 months.,0,0,0,0,1,Finding[5],652119,7,0.09452193230390549,0.014154057018458843,0.022361455485224724,0.9746943116188049,0.005143779329955578
"), but there was pharyngitis (red throat) - they were on sick leave.",0,0,0,1,0,DI[6],652119,8,0.016186440363526344,0.02590416930615902,0.015133889392018318,0.9902383089065552,0.021469594910740852
For the first time felt malaise - TERRIBLE aching muscles in my legs (below the knees) and arms from elbows to fingertips.,0,0,1,0,0,ADR[7],652119,10,0.0015274202451109886,0.0019263826543465257,0.996319055557251,0.002925700740888715,0.003848480526357889
"Since muscle pain is a symptom of the flu , I explained the pain to myself by immunizing the body.",0,0,1,1,0,ADR[8]|DI[1],652119,14,0.004210344981402159,0.009045898914337158,0.9968044757843018,0.45236271619796753,0.11177968978881836
I hope I won't get the flu.,0,0,0,1,0,DI[2],652119,16,0.008507738821208477,0.01569502055644989,0.0035926070995628834,0.9643914103507996,0.19405566155910492
I did it in September.,0,0,0,0,0,NEUTRAL,652119,5,0.0038009195122867823,0.010718150064349174,0.01186283677816391,0.01198718324303627,0.007334895431995392
"We start taking the"" shock dose "" at the first sign of a cold, and oddly enough (it may be autosuggestion), but it helps.",1,0,0,1,0,EF[6]|DI[5],639476,2,0.8177951574325562,0.020850203931331635,0.01935592107474804,0.9896418452262878,0.030786626040935516
"The disease is less pronounced, the child feels well, does not lie all day from fatigue.",1,0,0,0,1,EF[3]|Finding[4],639476,3,0.007961377501487732,0.008410384878516197,0.9979091286659241,0.018655534833669662,0.008216156624257565
"Sometimes, we have cold starts again in Peru months, then drink something else.",0,0,0,1,0,DI[2],639476,9,0.04059799760580063,0.018186010420322418,0.01450544036924839,0.9910699129104614,0.017572320997714996
"And so even for prevention we take, especially in the autumn-winter period.",0,0,0,1,0,DI[1],639476,10,0.025797324255108833,0.05638863518834114,0.010401670821011066,0.9922431111335754,0.03181910142302513
"To some extent, Anaferon belongs to homeopathy, and such drugs are known to act very slowly in terms of treatment, but it is effective, forcing the body to fight the virus on its own.",0,0,0,0,0,NEUTRAL,639476,6,0.6694578528404236,0.008402840234339237,0.0074117654003202915,0.024764038622379303,0.01594311185181141
"I am a big opponent of everyone ... ferons, because they suppress the immune system.",0,0,0,0,1,Finding[5],884467,1,0.006366106681525707,0.0054758512414991856,0.006566700059920549,0.9547720551490784,0.07406267523765564
"And he says that it is simply impossible: the eldest child from school will bring a cold, the whole family is ill.",0,0,0,1,0,DI[4],884467,4,0.09486526250839233,0.012980706989765167,0.00836406834423542,0.9872315526008606,0.01336666289716959
"Then my husband will get the flu at work, and everyone will get sick again.",0,0,0,1,0,DI[1],884467,5,0.1831514686346054,0.0695706158876419,0.008785738609731197,0.9958726763725281,0.024730514734983444
Smear the noses of all family members in the cold and flu period.,0,0,0,1,0,DI[3],884467,8,0.018759099766612053,0.013205152004957199,0.013591531664133072,0.9890150427818298,0.02287159487605095
Overall impression : it is really helps from viruses RATING 3 NOTE,1,0,0,0,0,EF[2],884467,11,0.8194442987442017,0.02087748982012272,0.006892525590956211,0.020844778046011925,0.011886716820299625
I think they should be used as a last resort.,0,0,0,0,0,NEUTRAL,884467,2,0.006565284915268421,0.0026076510548591614,0.020365256816148758,0.006834336556494236,0.01141960360109806
"I've never taken a sedative before, except at night when I couldn't sleep.",0,0,0,1,0,DI[3],2491250,1,0.01881171390414238,0.034228406846523285,0.024050148203969002,0.9455562233924866,0.0069686672650277615
"Recently I was diagnosed with neurosis and I realized all the ""charms "" diseases of the nervous system-it's a nightmare.""",0,0,0,1,0,DI[1],2491250,2,0.011928929947316647,0.009946232661604881,0.037642952054739,0.9851394295692444,0.01386471651494503
