sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
"Стала нервной, капризной, чуть что -сразу визг, к бабушкам и дедушкам не идет, все рядом со мной да на ручках... Тяжело( А ведь перед яслями это был активный, общительный и жизнерадостный малыш... Врачи посоветовали попить успокоительное.",0,0,0,1,1,DI[3]|Finding[1],252298,4,0.004515212494879961,0.007372403517365456,0.0172501802444458,0.9940074682235718,0.015425927937030792
"После недельного приема дочурка легче стала оставаться в саду, и хоть мы все равно еще плачем там, процесс привыкания идет немного легче.",1,0,0,0,0,EF[2],252298,7,0.9897243976593018,0.006108900532126427,0.05316717550158501,0.023616496473550797,0.04410099983215332
"Очень радует то, что таблетки не горькие, я растворяю их в воде и дочка без проблем их пьет не запивая водой.",0,0,0,0,0,NEUTRAL,252298,8,0.016826318576931953,0.0022872223053127527,0.006072515156120062,0.0028854527045041323,0.0072908783331513405
"И так с появление ребенка в нашей семье и частыми простудными и вирусными заболеваниями в нашей аптечке надолго и крепко поселился ""Афлубин"".",0,0,0,1,0,DI[1],2457636,2,0.005677647422999144,0.007329843007028103,0.003839630400761962,0.9763496518135071,0.005003494676202536
"Болезнь немного отступала, но потом с новой силой приходила и уже не какой ""Афлубин"" не помогал (хотя и пили мы его для профилактики по целому месяцу).",0,1,0,1,0,INF[3]|DI[2],2457636,5,0.026165906339883804,0.9826014637947083,0.01115175150334835,0.980780303478241,0.022422943264245987
Иногда казалось что вирусы привыкли к лекарству и попросту на него не реагируют.,0,1,0,0,0,INF[4],2457636,6,0.0038058857899159193,0.0035131657496094704,0.002861398970708251,0.01166680920869112,0.2785067856311798
Ну как сказать не совсем и бесполезный но нам при длительном использовании перестал помогать вообще.,0,0,0,0,0,NEUTRAL,2457636,1,0.030245229601860046,0.9898977279663086,0.023696208372712135,0.02037702687084675,0.02321605570614338
Я перепрбовала очень много средсвт от простуды.,0,0,0,1,0,DI[1],902248,1,0.0033294190652668476,0.003988942597061396,0.006809044163674116,0.9783207178115845,0.010335427708923817
Но эффекта было ноль.,0,1,0,0,0,INF[2],902248,4,0.014588375575840473,0.9814811944961548,0.019545333459973335,0.02282344549894333,0.01817834936082363
Но на себе его действия я не обнаружила.,0,1,0,0,0,INF[3],902248,13,0.009150826372206211,0.9695726633071899,0.019968796521425247,0.0194731205701828,0.015337318181991577
Общее впечатление : Мне не помогает.Не нравится.,0,1,0,0,0,INF[4],902248,17,0.016601568087935448,0.9849944710731506,0.020518137142062187,0.025095259770751,0.019967369735240936
Ппри первых симптомах я принимаю порошки.,0,0,0,0,0,NEUTRAL,902248,2,0.007437360938638449,0.0046705882996320724,0.0018699131906032562,0.5643696188926697,0.0022710973862558603
"После удаления небольшой паппиломы на лице (которая появилась повторно спустя 6 месяцев), дерматолог упомянула этот препарат, сказала, можно попробовать.",0,0,0,1,0,DI[5],1410682,1,0.009596799500286579,0.006089314818382263,0.012589499354362488,0.9914364218711853,0.004646979738026857
"Но через какое-то время паппилома на лице снова стала возвращаться, да и еще на пальцах рук стали появляться небольшие новообразования.",0,0,0,1,0,DI[8],1410682,3,0.017561154440045357,0.6158004999160767,0.8830342292785645,0.938492476940155,0.002560795284807682
Помог на 120%!,1,0,0,0,0,EF[4],1410682,6,0.9759557247161865,0.013648230582475662,0.014727202244102955,0.012230861000716686,0.013813607394695282
"Бесследно прошла паппилома на лице, прошли новообразования на пальцах рук + прошла бородавка на подушечке указательного пальца, которая была со мной уже лет 10-15.",1,0,0,1,1,EF[1]|DI[2]|Finding[6],1410682,7,0.9485843181610107,0.007065163925290108,0.3467644155025482,0.9868249297142029,0.008353582583367825
Из побочных действий у меня были головная боль и сонливость.,0,0,1,0,0,ADR[3],1410682,9,0.0009589878027327359,0.0008307881071232259,0.9926087260246277,0.0012991558760404587,0.0038003111258149147
Немного стали выпадать волосы (может не из-за этого).,0,0,1,0,0,ADR[7],1410682,10,0.0034201787784695625,0.0008513157372362912,0.9892471432685852,0.017692722380161285,0.0011272153351455927
Не жалею и только рада!,0,0,0,0,0,NEUTRAL,1410682,12,0.04842911660671234,0.003911274019628763,0.0050813895650208,0.006718039512634277,0.004509827122092247
"Приняла полтаблетки за полчаса до сна, заснула, как будто провалилась куда-то... через час открылись глаза и началось, тело горит, во рту пересохло, язык к небу прилипает, встала такая вялость.",0,0,1,0,0,ADR[1],828011,2,0.06998533755540848,0.019201131537556648,0.9997090697288513,0.05570866912603378,0.05992782488465309
"В итоге выпиоа Полисорб, чтобы промыться.",0,0,0,0,0,NEUTRAL,828011,3,0.002682337537407875,0.0013898045290261507,0.005946638993918896,0.04038824513554573,0.003409415250644088
"Я очень часто болею простудными заболеваниями, поэтому покупаю разные противовирусные средства.",0,0,0,1,0,DI[1],2670520,3,0.003146351547911763,0.004539366811513901,0.0045887925662100315,0.9827054738998413,0.01694325916469097
"Мазь нужно закладывать в каждую ноздрю на несколько часов, но обычно через минут 15-20 начинаются сильные выделения из носа и приходится его очищать.",0,0,0,1,0,DI[3],2670520,6,0.0013300353894010186,0.009284267202019691,0.8269518613815308,0.2864230275154114,0.0007955331820994616
С ее помощью насморк быстрее проходит.,1,0,0,1,0,EF[2]|DI[4],2670520,8,0.9822129011154175,0.012508604675531387,0.007274741306900978,0.985694944858551,0.01768186129629612
"Мазь имеет удобную упаковку, с широкой крышечкой, которая плотно закрывается, густую консистенцию, я использую ее ватной палочкой.",0,0,0,0,0,NEUTRAL,2670520,5,0.006406269967556,0.0021771362517029047,0.010598468594253063,0.003291283268481493,0.003892880165949464
"На следующее утро появились высыпания на лице и руках, похожие на комариные укусы.",0,0,1,0,0,ADR[1],2388814,2,0.0011101902928203344,0.0018256300827488303,0.9971188306808472,0.00206457800231874,0.004544442053884268
После отмены сыпь проходила медленно.,0,0,1,0,0,ADR[2],2388814,5,0.0025951664429157972,0.001001923345029354,0.9977819323539734,0.003110072808340192,0.005135517101734877
Один-два комарика такое сделать не смогли бы.,0,0,0,0,0,NEUTRAL,2388814,3,0.0017944418359547853,0.0021528895013034344,0.013348200358450413,0.005238178186118603,0.21835048496723175
Кстати таблетки помогли несколько уменьшить симптомы болезни.,1,0,0,0,0,EF[1],2732826,6,0.9881938695907593,0.01229143887758255,0.013407941907644272,0.07070066779851913,0.008755381219089031
"Данные таблетки идут как антибиотик, точнее противовирусное средство.",0,0,0,0,0,NEUTRAL,2732826,3,0.002115523209795356,0.0032221535220742226,0.007289294619113207,0.005902878940105438,0.007474200334399939
