sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
Но на второй день- сыпь по всему телу.,0,0,1,0,0,ADR[3],594103,3,0.0046497248113155365,0.003998394124209881,0.9969610571861267,0.0018808759050443769,0.002420859644189477
"Общее впечатление : Помогает, но дает сильную сыпь RATING 3 NOTE",1,0,1,0,0,EF[5]|ADR[6],594103,7,0.554313063621521,0.011813342571258545,0.9830453395843506,0.0013197936350479722,0.0026550046168267727
Пришлось отказаться.,0,0,0,0,0,NEUTRAL,594103,6,0.0014020382659509778,0.0014309039106592536,0.0028710041660815477,0.0019330896902829409,0.0014201825251802802
Стараюсь делать прививки от гриппа каждый год.,0,0,0,1,0,DI[4],652119,1,0.005556168500334024,0.015492195263504982,0.005015762057155371,0.049550991505384445,0.854822039604187
"После прививки температуры не было, общее состояние тоже было хорошее.",1,0,0,0,1,EF[9]|Finding[3],652119,6,0.9164100885391235,0.003674399107694626,0.002337782410904765,0.9544152021408081,0.520971417427063
Сильных ОРВИ не было (прошло 2 мес.,0,0,0,0,1,Finding[5],652119,7,0.13039937615394592,0.006539862137287855,0.0011746505042538047,0.9915305376052856,0.14372041821479797
"), но было фарингит (красное горло) - сидели на больничном.",0,0,0,1,0,DI[6],652119,8,0.010879715904593468,0.008562827482819557,0.008165689185261726,0.9955131411552429,0.009673085063695908
Первый раз почувствовала недомогания - УЖАСНО болели мышцы на ногах (ниже колен) и на руках - от локтей до кончиков пальцев.,0,0,1,0,0,ADR[7],652119,10,0.002371598267927766,0.0032180622220039368,0.08761490881443024,0.9821006655693054,0.049834851175546646
Т. к. мышечная боль - симптом гриппа - то объяснила себе боли иммунизацией организма.,0,0,1,1,0,ADR[8]|DI[1],652119,14,0.004459864925593138,0.008534617722034454,0.006446190178394318,0.9647587537765503,0.5519572496414185
"Надеюсь, гриппом болеть не буду.",0,0,0,1,0,DI[2],652119,16,0.003672957420349121,0.022917859256267548,0.001910870661959052,0.3406597077846527,0.6706187725067139
делала в сентябре.,0,0,0,0,0,NEUTRAL,652119,5,0.0013557528145611286,0.001224188948981464,0.0028750502970069647,0.0022335799876600504,0.001156927552074194
"Мы начинаем прием ""ударной дозы"" при первых признаках простуды, и как ни странно (возможно, это самовнушение), но он помогает.",1,0,0,1,0,EF[6]|DI[5],639476,2,0.992228090763092,0.027175476774573326,0.003525741398334503,0.9954618811607361,0.02004413492977619
"Заболевание протекает менее выраженно, ребенок чувствует себя хорошо, не лежит весь день от усталости.",1,0,0,0,1,EF[3]|Finding[4],639476,3,0.9933295249938965,0.005724096670746803,0.002344027627259493,0.9641436338424683,0.09714916348457336
"У нас бывает, что простуда начинается снова через перу месяцев, тогда пьем что-то другое.",0,0,0,1,0,DI[2],639476,9,0.014945091679692268,0.010108782909810543,0.004962685517966747,0.9941243529319763,0.006249616853892803
"А так даже для профилактики берем, особенно в осенне-зимний период.",0,0,0,1,0,DI[1],639476,10,0.034162793308496475,0.004731354303658009,0.007037396542727947,0.9951663017272949,0.0064977253787219524
"В какой-то мере Анаферон относится к гомеопатии, а такие препараты, как известно, действую очень медленно в плане лечения, но зато эффективно, заставляя организм бороться с вирусом самостоятельно.",0,0,0,0,0,NEUTRAL,639476,6,0.01089564524590969,0.007384651806205511,0.002014634432271123,0.001345199765637517,0.06737976521253586
"Я большой противник всех ... феронов, т. к. они подавляют иммунитет.",0,0,0,0,1,Finding[5],884467,1,0.003152951132506132,0.006845745723694563,0.0047431509010493755,0.7259647250175476,0.6496379375457764
"И рассказывает, что просто невозможно стало: то старший ребенок из школы простуду принесет, вся семья болеет.",0,0,0,1,0,DI[4],884467,4,0.01944851689040661,0.003420016262680292,0.002639687154442072,0.990774929523468,0.01732056774199009
"То муж на работе грипп подхватит, и снова все болеют.",0,0,0,1,0,DI[1],884467,5,0.005555483512580395,0.010456512682139874,0.004342091269791126,0.9925864338874817,0.021694306284189224
Мазать носики всех членам семьи в простудный и гриппозный период.,0,0,0,1,0,DI[3],884467,8,0.0041756522841751575,0.0022560907527804375,0.006054579745978117,0.9779702425003052,0.01718745008111
"Общее впечатление : Похоже, и правда помогает от вирусов RATING 3 NOTE",1,0,0,0,0,EF[2],884467,11,0.09867683053016663,0.0016699295956641436,0.0005838708602823317,0.18441207706928253,0.0011475802166387439
"Применять их, я считаю, нужно в крайнем случае.",0,0,0,0,0,NEUTRAL,884467,2,0.00535149360075593,0.0011927782325074077,0.0021200983319431543,0.0011759715853258967,0.0005250005633570254
"Раньше я никогда не принимала успокаивающие, только что разве на ночь, когда не могла заснуть.",0,0,0,1,0,DI[3],2491250,1,0.006718408782035112,0.006876941304653883,0.014855588786303997,0.9947177767753601,0.14703521132469177
"Недавно мне поставили диагноз невроз и я поняла все"" прелести"" заболевания нервной системы-это кошмар.",0,0,0,1,0,DI[1],2491250,2,0.009632670320570469,0.006319917272776365,0.0039304569363594055,0.9931007623672485,0.012924469076097012
"Начали мучить сердцебиения, раздражительность, плаксивость, бессонница.",0,0,0,1,0,DI[7],2491250,3,0.0014098723186179996,0.003407102543860674,0.993934690952301,0.002174940425902605,0.004187907557934523
"К сожалению хочу сказать, что при действительно серьезных проблемах с нервной системой она оказалась бесполезной, все равно что ""мертвому припарка"".",0,1,0,0,0,INF[4],2491250,5,0.06416343152523041,0.9855166077613831,0.006730089895427227,0.9893738627433777,0.03320031985640526
"Даже уснуть не помогает, нужно более сильное средство.",0,1,0,1,0,INF[5]|DI[2],2491250,6,0.06071977689862251,0.9967592358589172,0.008217889815568924,0.9023715853691101,0.03675069659948349
"А так если чисто расстроился, расплакался временно, кто то обидел, то вполне поможет успокоиться.",0,0,0,0,1,Finding[6],2491250,7,0.9648445844650269,0.0026399886701256037,0.0022140953224152327,0.8857506513595581,0.005636993795633316
Время использования: много раз,0,0,0,0,0,NEUTRAL,2491250,8,0.0009310831665061414,0.001469282666221261,0.0059775677509605885,0.00173585070297122,0.0005891344044357538
"Так как имела проблемы с засыпанием, повышенную активность в течение дня.",0,0,0,1,0,DI[1],2404812,2,0.005592117551714182,0.004684880841523409,0.002689541317522526,0.954310417175293,0.003498699050396681
Одной из причин моего психического расстройства врачи признали применение данного препарата.,0,0,0,1,0,DI[2],2404812,4,0.005113477353006601,0.006087338086217642,0.0085527328774333,0.9903098940849304,0.012109572067856789
А также барбовал провоцирует нарушения женского здоровья.,0,0,1,0,0,ADR[3],2404812,6,0.0028037813026458025,0.01747675985097885,0.01533263735473156,0.0038951721508055925,0.6472136378288269
"Хочу предостеречь любителей растительных препаратов, т. к барбовал содержит фенобарбитал, вызывающий привыкание (похлеще, чем наркотические средства).",0,0,1,0,0,ADR[4],2404812,7,0.008011952042579651,0.015126578509807587,0.031187383458018303,0.0038230339996516705,0.868799090385437
Лечитесь с умом!,0,0,0,0,0,NEUTRAL,2404812,8,0.006833340041339397,0.0021004534792155027,0.001272988854907453,0.001185599947348237,0.0005751434364356101
"Средство эффективное, иммунный ответ возрастает чуть ли не с первого дня применения, эффект при грамотном курсовом приеме длится 2-3 месяца.",1,0,0,0,0,EF[1],565283,2,0.9982900023460388,0.011580358259379864,0.008514792658388615,0.024546634405851364,0.014320341870188713
"Простым языком: если вы через 5-6 месяцев не повторите курс, то в этот момент риск подхватить инфекционное заболевание повышается, т. е. это сбивает естественные иммунные настройки организма.",0,0,0,0,1,Finding[2],565283,9,0.006273400504142046,0.0035255702678114176,0.0014034670311957598,0.2797035872936249,0.31575170159339905
Побочек при приеме не наблюдалось.,0,0,0,0,0,NEUTRAL,565283,3,0.003004517173394561,0.007337420713156462,0.0015416111564263701,0.0016155519988387823,0.03179237246513367
"На четвертый раз-второй день, у сына начался пристуобразный кашель, нос полностью перестал дышать(отек носа), сын начал тереть горло как будто и там отек произошел.",0,0,1,1,0,ADR[2]|DI[3],2439532,4,0.019190438091754913,0.02274407260119915,0.9992967844009399,0.4579671323299408,0.06402520090341568
Он просто стал задыхаться.,0,0,1,0,0,ADR[4],2439532,5,0.0004024288500659168,0.0034625891130417585,0.5311869978904724,0.0059298742562532425,0.002648055087774992
Я быстро дала Зиртек(от аллергии)-можно сказать впихнула ложку с лекарством и через некоторое время все прошло как будто ничего и не было.,0,0,0,1,0,DI[1],2439532,6,0.364088773727417,0.008909943513572216,0.005242649931460619,0.01800924353301525,0.871127724647522
Читайте побочные эффекты.,0,0,0,0,0,NEUTRAL,2439532,10,0.001287134480662644,0.0016194700729101896,0.003000507829710841,0.001512864138931036,0.000981407007202506
"Людям, когда бывает плохо - депрессия, ухудшение, нарушение сна, прибегают к таблеткам, с желанием избавиться от плохого самочувствия.",0,0,0,1,0,DI[2],877448,1,0.008729545399546623,0.004024849738925695,0.00753452954813838,0.9930862188339233,0.016577212139964104
"Когда принимаешь его, кружится голова, давление скачет и если принимаешь продолжительное время, самое неприятное попадаешь в зависимость.",0,0,1,0,0,ADR[3],877448,5,0.0050181918777525425,0.004175425972789526,0.9985741376876831,0.00608577998355031,0.007677014451473951
"не станет лучше и не можешь без него, отечность.",0,0,1,0,0,ADR[4],877448,6,0.002307503018528223,0.4457230567932129,0.9977412223815918,0.009863035753369331,0.012125355191528797
"Не лучше ли обратиться к травам (хмель в подушку настои успокоительных трав, валериану и т. д)Мне очень помогла методика Сильва (медитация) при чем когда переживала большое горе, потерю родного человека ( не могла спать, страх).",0,0,0,0,1,Finding[1],877448,7,0.9674574732780457,0.003950315993279219,0.017542095854878426,0.9949777722358704,0.009824839420616627
"Общее впечатление : Лучше не ис пользовать Амитриптилин,от него лучше будет временно.",0,0,0,0,0,NEUTRAL,877448,9,0.0022796799894422293,0.001233292161487043,0.002664853585883975,0.0013706856407225132,0.0006266222335398197
Как то простыла я на работе.,0,0,0,1,0,DI[4],893239,1,0.012472908943891525,0.009771235287189484,0.005029943305999041,0.9903395771980286,0.0036221654154360294
"А карандаш для ингаляций очень удобный: и небольшой тоже по размеру, и понюхал, нос пробило.",1,0,1,0,0,EF[1]|ADR[5],893239,11,0.9850430488586426,0.002007806673645973,0.005233814008533955,0.01084058079868555,0.00672941142693162
Может быть конечно аллергия на сам бальзам.,0,0,1,0,0,ADR[6],893239,16,0.0024154717102646828,0.0032524450216442347,0.9917136430740356,0.00122093188110739,0.0027082168962806463
"А в остальном очень удобная штука, которая действительно помогает.",1,0,0,0,0,EF[2],893239,18,0.9836277961730957,0.003727615112438798,0.008106725290417671,0.0028180330991744995,0.0036307235714048147
Общее впечатление : хорошо помогает при заложенности носа RATING 4 NOTE,0,0,0,1,0,DI[3],893239,20,0.02588570863008499,0.0030867457389831543,0.0057776328176259995,0.9921194314956665,0.006243107840418816
И не надо мазать нос.,0,0,0,0,0,NEUTRAL,893239,12,0.2073756754398346,0.00107147719245404,0.0008762901416048408,0.004969962406903505,0.005019156262278557
"Случилось мне заболеть: недомогание, боль в суставах, головная боль, из носа течет, на второй день еще и температура поднялась.",0,0,0,1,0,DI[2],655288,2,0.0020856994669884443,0.007382719311863184,0.18763072788715363,0.9891268610954285,0.13536645472049713
"В общем итоге, деньги на ветер, а самочувствие не поправлено.",0,1,0,0,0,INF[1],655288,8,0.0057328990660607815,0.991880476474762,0.008650122210383415,0.06277303397655487,0.020257577300071716
