sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
Простудные заболевания - очень распространенное явление в наше время.,0,0,0,0,1,Finding[3],875711,1,0.018278365954756737,0.007941498421132565,0.15879711508750916,0.03227902203798294,0.03856883570551872
каждый человек в своей жизни простужался не по одному разу.,0,0,0,0,1,Finding[4],875711,2,0.02198323793709278,0.0075766174122691154,0.01357740443199873,0.03987341746687889,0.020018702372908592
"В течение многих лет изобретено множество различных лекарств и это неудивительно, ведь организм имеет такое свойство, как привыкание к лекарству.",0,0,0,0,1,Finding[5],875711,3,0.02394312433898449,0.07018736004829407,0.7672596573829651,0.05551857501268387,0.03586769104003906
При очередном простудном заболевании врач выписал на это средство (Амиксин).,0,0,0,1,0,DI[6],875711,5,0.01683330163359642,0.051196563988924026,0.09475304931402206,0.18759752810001373,0.1435605138540268
Через несколько дней от простуды не осталось и следа.,1,0,0,1,0,EF[1]|DI[2],875711,8,0.20577873289585114,0.09031987190246582,0.056100066751241684,0.11593230068683624,0.02443961426615715
То есть когда препарат со временем перестает оказывать эффективное действие на организм.,0,0,0,0,0,NEUTRAL,875711,4,0.0017967262538149953,0.10738836973905563,0.0970662534236908,0.001965865259990096,0.00553971529006958
"По своему личному опыту могу сказать, что препарат лишь купирует проявления простудного заболевания, избавляет от симптомов, но не вылечивает полностью.",0,1,0,1,0,INF[5]|DI[3],2657172,1,0.3930544853210449,0.648622453212738,0.275113582611084,0.6258796453475952,0.10605709254741669
"У меня развился затяжной бронхит, так как я считал, что поправился, а на деле лишь сбил симптомы и заболел сильнее по новой спустя лишь пару дней после казавшегося излечения.",0,0,0,1,0,DI[6],2657172,2,0.03792698308825493,0.5633866190910339,0.35970473289489746,0.2709004878997803,0.21430325508117676
"Нужно использовать комплексное лечение, прогревание и принимать лекарства от кашля и насморка отдельно.",0,0,0,1,0,DI[2],2657172,4,0.00475593376904726,0.13725608587265015,0.004925557412207127,0.12332723289728165,0.05783814564347267
"Препарат подходит для быстрого снятия симптомов и облегчения существования, но для выздоровления не годится.",1,1,0,0,0,INF[1]|EF[4],2657172,5,0.2995602488517761,0.922554075717926,0.48639312386512756,0.4192051887512207,0.08017224818468094
Впечатление двоякое.,0,0,0,0,0,NEUTRAL,2657172,6,0.02104397676885128,0.6335511803627014,0.8907579779624939,0.0091046541929245,0.012465127743780613
"Иммунофлазид один из немногих препаратов, который облегчает протекание ОРВИ.",1,0,0,1,0,EF[2]|DI[3],656340,2,0.04024391993880272,0.19047415256500244,0.5137790441513062,0.2302343249320984,0.5301522016525269
"Препарат желательно применять не только во время болезни, но и после, как бы для подкрепления иммунитета.",0,0,0,1,0,DI[1],656340,7,0.2586961090564728,0.10527674108743668,0.06429490447044373,0.4452695846557617,0.09905873239040375
"Сколько уже было испробовано всяких разных противовирусных препаратов, на пальцах не пересчитать, и каждый раз когда идешь в аптеку с рецептом, думаешь, авось это то что нам надо( Иногда разочаровываешься в качестве, иногда в цене.",0,0,0,0,0,NEUTRAL,656340,1,0.039076268672943115,0.03710387274622917,0.15665224194526672,0.11333383619785309,0.05289632827043533
"купила 2 пачки, назначено по 2 таб.",0,0,1,0,0,ADR[1],668099,6,0.002791960723698139,0.02789897657930851,0.01255804579705,0.0046198489144444466,0.013385497964918613
"в день, 10 дней.",0,0,1,0,0,ADR[4],668099,7,0.010462404228746891,0.03700406104326248,0.012142714112997055,0.007810019887983799,0.015929143875837326
"Вчера выпила, ночью проснулась чтобы покормить ребенка и понимаю что просто не могу встать.",0,0,1,0,0,ADR[3],668099,8,0.008313368074595928,0.03939615935087204,0.04753842577338219,0.019869187846779823,0.004762648139148951
"Целый день хожу как старенькая бабушка, хромая, волочу ногу за собой!",0,0,1,0,0,ADR[2],668099,11,0.016630474478006363,0.09627236425876617,0.22801603376865387,0.11798042058944702,0.02524592913687229
"Прочитала что могут быть боли в мышцах, мол побочное действие!",0,0,0,0,0,NEUTRAL,668099,13,0.008307348005473614,0.11079096794128418,0.08489259332418442,0.03969228267669678,0.11866824328899384
"Муж болеет орви, в аптеке купили ингавирин.",0,0,0,1,0,DI[3],1325273,1,0.007221811916679144,0.061993226408958435,0.04952067881822586,0.0255945585668087,0.17497049272060394
"Температура правда спала, но после приема третей таблетки начал закашливаться аш до рвоты, мондраш волнами, давление 130(хотя с давлением вообще проблем не было), жуткая головная боль.",1,0,1,1,0,EF[1]|ADR[6]|DI[2],1325273,2,0.01340642012655735,0.9422104358673096,0.9858837723731995,0.03540917858481407,0.08824126422405243
"А и ещё голова как будто едит куда-то, х. з куда.",0,0,1,0,0,ADR[5],1325273,4,0.0019304014276713133,0.05298147723078728,0.9591715335845947,0.0022486078087240458,0.004480973817408085
"Ужасный препарат, не надо его покупать, до этого пили кагоцел, цитовир, чего меня дёрнуло купить... Всё выкинула... Кстате при побочке сначала дала лактофильтрум, а потом через час таблетку от аллергии.",0,0,0,0,1,Finding[4],1325273,5,0.030775276944041252,0.7096150517463684,0.25142404437065125,0.149405837059021,0.11155794560909271
"Это было и после второй таблетки, но я на ингавирин даже не подумала, а на следующий день никаких таблеток не пили только ингавирин и началось.",0,0,0,0,0,NEUTRAL,1325273,3,0.002655560150742531,0.10355247557163239,0.9106991291046143,0.0036718808114528656,0.015829332172870636
"Я очень боюсь сквозняков, в результате которых у меня очень часто появляется простуда на губах и глазах.",0,0,0,1,0,DI[5],2412180,1,0.1430826038122177,0.024733498692512512,0.10978382080793381,0.22045102715492249,0.04101492092013359
"Для меня настоящим спасением в таких ситуациях стало применения таблеток ""Ацикловир Сандоз"", которые не только убивают инфекцию но и повышают иммунитет к ней.",1,0,0,0,0,EF[3],2412180,2,0.23526254296302795,0.17971187829971313,0.31777840852737427,0.8009069561958313,0.1604589819908142
Поэтому пролечившись курс можно следующих 7-8 месяцев жить нормально не переживая за сквозняки и вирусы.,1,0,0,0,0,EF[1],2412180,3,0.8600711822509766,0.1216016486287117,0.03287133574485779,0.23981019854545593,0.06113306060433388
Мне хватает при появлении болячек попринимать таблетки 2 дня как от герпеса не остается и следа.,1,0,0,1,0,EF[4]|DI[2],2412180,5,0.4543747305870056,0.15338268876075745,0.1785719245672226,0.8134960532188416,0.12280068546533585
"Еще есть мазь с аналогичным названием но она менее еффективна чем таблетки, разве что применять их в комплексе.",0,0,0,0,0,NEUTRAL,2412180,4,0.007436522748321295,0.7106694579124451,0.4078174829483032,0.039106134325265884,0.11061595380306244
Почти все члены моей семьи болеют гайморитом.,0,0,0,1,0,DI[2],2451820,2,0.08306770026683807,0.014255429618060589,0.1713338941335678,0.05152641609311104,0.05074410140514374
"А на сейчас что я могу сказать: после того, как применяю, в носу становится легче, на запах и вкус непротивный, да и незаметно, как он попадает в нос.",1,0,0,0,0,EF[1],2451820,7,0.3004454970359802,0.36329612135887146,0.434647798538208,0.5089049339294434,0.27592310309410095
Пока что помогает.,1,0,0,0,0,EF[3],2451820,8,0.20360687375068665,0.869569718837738,0.006523896008729935,0.02302195504307747,0.02314465492963791
Здраствуйте!,0,0,0,0,0,NEUTRAL,2451820,1,0.8190909624099731,0.004718465730547905,0.0019992105662822723,0.005495314486324787,0.0028121061623096466
"Совсем недавно заставила сделать прививку от гриппа мужа и дочку, так как в доме есть годовалый малыш.",0,0,0,1,0,DI[1],588478,2,0.09088671207427979,0.041549257934093475,0.0753919705748558,0.15607888996601105,0.189975768327713
Прошлый год для наших знакомых был просто кошмарным по заболеваемости гриппом.,0,0,0,1,0,DI[4],588478,3,0.0025959033519029617,0.010785208083689213,0.2991051971912384,0.00407728785648942,0.015335575677454472
"Три семьи (это только те кого знаю я) лежали пластом неделю с температурой под 40 и каким только чудом мы не заразились, одному Богу известно.",0,0,0,1,0,DI[6],588478,4,0.015843696892261505,0.024738900363445282,0.04417695850133896,0.01230629626661539,0.01576017029583454
Прошлогодняя статистика по заболеваемости ОРВИ не утешительная.,0,0,0,1,0,DI[7],588478,5,0.0013728549238294363,0.0056702555157244205,0.04172075167298317,0.0035436092875897884,0.01877928152680397
"А вот муж, на 5 день заболел и заразил меня.",0,1,0,0,0,INF[5],588478,8,0.006669180933386087,0.01787777617573738,0.04162019491195679,0.0032331531401723623,0.030347274616360664
"Время покажет, эффективна ли вакцина, но знакомые и родственники, делающие ежегодно прививку Грипполом Плюс гриппом не болели.",0,0,0,0,1,Finding[2],588478,11,0.003486964851617813,0.07563623040914536,0.09512216597795486,0.0042460826225578785,0.03164415434002876
"И переносят её хорошо, без повышения температуры.",0,0,0,0,1,Finding[3],588478,12,0.6541756391525269,0.03169264644384384,0.028912298381328583,0.14414101839065552,0.02642318233847618
"Я противник прививок, но некоторые прививки нужны.",0,0,0,0,0,NEUTRAL,588478,1,0.0038747668731957674,0.011423728428781033,0.019376490265130997,0.009322947822511196,0.09436064958572388
"Заметила, что дети стали меньше болеть, а если всё таки заболевают болезнь протекает легче и порою ограничевается только насморком.",1,0,0,1,0,EF[3]|DI[4],2436411,3,0.6149730682373047,0.04969539865851402,0.06116022169589996,0.47552818059921265,0.03313911333680153
Давненько не болели серьёзно с температурой.,1,0,0,1,0,EF[1]|DI[2],2436411,4,0.005878063850104809,0.057826876640319824,0.010982990264892578,0.01637047529220581,0.01292287465184927
Уже года два-три даём этот препарат детям.,0,0,0,0,0,NEUTRAL,2436411,1,0.3891124725341797,0.04021664336323738,0.026164796203374863,0.19397470355033875,0.019689658656716347
"Купил данный препарат, чтобы повторно лечится от простуды.",0,0,0,1,0,DI[4],2510045,1,0.027159856632351875,0.054473627358675,0.03699053078889847,0.310498982667923,0.10171173512935638
Это хорошее средство против вируса.,1,0,0,0,0,EF[5],2510045,3,0.3646615147590637,0.03082282841205597,0.008139971643686295,0.5367201566696167,0.08587523549795151
Эффект значительный - облегчение и быстрое исчезновение синдромов простуды.,1,0,0,1,0,EF[2]|DI[1],2510045,8,0.697250247001648,0.1559603065252304,0.18164849281311035,0.8034451007843018,0.12624727189540863
Но мне на данный момент Арбидол не помогает.,0,1,0,0,0,INF[3],2510045,13,0.02523113042116165,0.962492823600769,0.06853758543729782,0.020447097718715668,0.02280239760875702
