sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
А вот с аквалором все стало намного проще.,0,0,0,0,0,NEUTRAL,877405,4,0.006761758588254452,0.0009205517126247287,0.0009250930743291974,0.3892460763454437,0.0023580000270158052
Мои дети не аллергетики.,0,0,0,0,1,Finding[2],2886803,2,0.001315060188062489,0.0074840122833848,0.0013207605807110667,0.0396624431014061,0.8693498373031616
У моих деток после начала приема этого препарата появилась тяжелой формы медикаментозная аллергия.,0,0,1,0,0,ADR[3],2886803,3,0.001164945075288415,0.048687323927879333,0.9425211548805237,0.026012543588876724,0.6568998098373413
"В то время как мы попали в больницу, доктор нам сообщил, что именно после приема этого препарата очень много детей поступает в больницы скорой помощи с тяжелыми аллергическими реакциями.",0,0,1,0,0,ADR[1],2886803,5,0.0028477786108851433,0.020587584003806114,0.04792741313576698,0.06776677817106247,0.9376027584075928
И протекала очень тяжело.,0,0,0,0,0,NEUTRAL,2886803,4,3.179642590112053e-05,0.0005375227774493396,0.8504273891448975,0.004975190386176109,0.04253752529621124
"Как только я чувствовала, что начинаю заболевать, обычно у меня начинает чесаться нос, я часто чихаю и першит в горле, то сразу же я ставила эти свечи.",0,0,0,1,0,DI[2],5801040,7,0.004151914268732071,0.004092661663889885,0.3939150273799896,0.9027037024497986,0.026523228734731674
Кроме них я никакого лечения не начинала и как правило уже на третий день у меня все проходило.,1,0,0,0,0,EF[1],5801040,10,0.0036948921624571085,0.03138459101319313,0.0244026817381382,0.7663869857788086,0.010722186416387558
"А сейчас и своему маленькому сынульке, если начинает болеть тоже их ставлю, легко и действенно, помогает всегда.",0,0,0,0,0,NEUTRAL,5801040,13,0.004352909047156572,0.0009099672315642238,0.0020368341356515884,0.9227073788642883,0.0068641649559140205
"На работе, ближе к обеду я почувствовала себя плохо, начался озноб, стало болеть все тело.",0,0,0,1,0,DI[1],24065,1,7.584608101751655e-05,0.00033428496681153774,0.9981880784034729,0.005704278592020273,0.045685943216085434
"Как я знала, это были первые признаки простуды, если не принять меры, завтра я не смогу встать с постели.",0,0,0,1,0,DI[5],24065,2,0.00012516982678789645,0.00041439253254793584,0.9967488050460815,0.00933586061000824,0.051788151264190674
Принимала по инструкции и уже в конце рабочего дня почувствовала себя хорошо.,1,0,0,0,0,EF[3],24065,6,0.006268331315368414,0.0009000679710879922,0.003636788111180067,0.026741456240415573,0.008181148208677769
"Для профилактики приняла еще одну таблетку, а сейчас всегда с собой ношу ""Ринзу"", мало ли что.",0,0,0,1,0,DI[2],24065,8,0.0006940996972844005,0.0005830670124851167,0.03280214965343475,0.932971715927124,0.01180571410804987
"Не знаю как вам, но в моем случае помог, поэтому пока я ему доверяю.",1,0,0,0,0,EF[4],24065,10,0.008484657853841782,0.000333381729433313,0.0006643086089752614,0.012495752424001694,0.002064900239929557
"Во время обеда пошла в аптеку, где мне посоветовали купить ""Арбидол"" или ""Ринза"", исходя из цены купила второе лекарство.",0,0,0,0,0,NEUTRAL,24065,4,0.0005352685693651438,0.001215534284710884,0.006948591209948063,0.8937726020812988,0.043141428381204605
"К сожалению результата он не дал, через две недели мы заболели.",0,1,0,0,0,INF[2],217439,4,0.0007884074584580958,0.01605912297964096,0.004010481759905815,0.08036088943481445,0.29326310753822327
"Вылечились, опять в сад с ИРС-19, но опять слегли, причем с сильным ринитом.",0,0,1,0,0,ADR[5],217439,5,0.0017135433154180646,0.0014425326371565461,0.13048376142978668,0.4922165274620056,0.00458938255906105
Я таких зеленых и густых соплей еще ни разу у своей дочки не видела.,0,0,1,0,0,ADR[4],217439,6,3.0070616048760712e-05,9.025714825838804e-05,0.9816938042640686,0.002418557647615671,0.012437224388122559
"Мне объяснили, что надо читать инструкцию, там написаны побочные эффекты: бронхит, синусит и ларингит.",0,0,0,0,1,Finding[1],217439,8,0.0034656161442399025,0.0057897791266441345,0.009160884656012058,0.9861345887184143,0.024029549211263657
В нашем случае оказался сильный ринит.,0,0,1,0,0,ADR[3],217439,9,9.295019845012575e-05,0.00018325523706153035,0.27781322598457336,0.022743873298168182,0.26865628361701965
"Всегда хочется, чтобы ребенок был здоров, поэтому ищем средства, чтобы защититься от вирусов.",0,0,0,0,0,NEUTRAL,217439,1,0.0014693617122247815,0.000566673930734396,0.0014869330916553736,0.5497490167617798,0.019211769104003906
"Но он нам не подошел по одной интересной причине: его нельзя ни разгрызать и запивать водой, ни толочь и в разведенным виде пить.",0,1,0,0,0,INF[1],2706079,2,0.023432008922100067,0.15578371286392212,0.3743094205856323,0.20870937407016754,0.39118891954421997
Только тогда от приема препарата будет толк с высокой степенью вероятности.,0,0,0,0,0,NEUTRAL,2706079,4,4.5016000512987375e-05,5.048169259680435e-05,0.058743271976709366,0.01033671572804451,0.0076758707873523235
Я уже около 10 лет каждый год делала прививки от гриппа.,0,0,0,0,1,Finding[4],2734199,1,0.003835874842479825,0.0021075366530567408,0.006819718983024359,0.9686277508735657,0.017331430688500404
"Всё было хорошо, гриппом и ОРЗ не болела.",0,0,0,0,1,Finding[2],2734199,3,0.003402926493436098,0.00035908204154111445,0.0005071935011073947,0.01478580292314291,0.003427824703976512
"В результате я переболела через две недели без температуры типа ОРЗ с сильнейшим насморком, около недели была жуткая слабость, после этого через две недели заболела гриппом с жуткой ломотой всех суставов, высокой температурой и пр.",0,0,1,1,1,ADR[1]|DI[3]|Finding[5],2734199,6,0.000993824447505176,0.010777427814900875,0.9526265263557434,0.035931266844272614,0.6358747482299805
Сугубо факты.,0,0,0,0,0,NEUTRAL,2734199,8,9.991343176807277e-06,2.037254671449773e-05,0.5553721189498901,0.0016959412023425102,0.0037643390242010355
На осмотре в 3 месяца невролог поставил диагноз синдром двигательных нарушений и выписал 10-дневный курс уколов с постепенным увеличением дозы.,0,0,0,1,0,DI[3],2689254,2,0.00156618922483176,0.001429521362297237,0.11024919152259827,0.9896485209465027,0.014836869202554226
"Не знаю, связаны ли 2 факта, у ребенка начался сильный атопический дерматит.",0,0,1,0,0,ADR[1],2689254,6,0.0014063249109312892,0.014356773346662521,0.38181671500205994,0.016119813546538353,0.8894580006599426
"Невролог сказала, что Кортексин часто вызывает аллергические реакции, ведь его синтезируют из мозга животных, чаще свиней и коров.",0,0,1,0,0,ADR[2],2689254,7,0.003441443433985114,0.01769510842859745,0.07777784019708633,0.17352542281150818,0.9183040261268616
