sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
Но на второй день- сыпь по всему телу.,0,0,1,0,0,ADR[3],594103,3,0.0029618386179208755,0.0024795755743980408,0.9962658286094666,0.0016929053235799074,0.0019458873430266976
"Общее впечатление : Помогает, но дает сильную сыпь RATING 3 NOTE",1,0,1,0,0,EF[5]|ADR[6],594103,7,0.00463141268119216,0.0011748133692890406,0.9961982369422913,0.002056895988062024,0.002457414288073778
Пришлось отказаться.,0,0,0,0,0,NEUTRAL,594103,6,0.0006702964892610908,0.0008060610271058977,0.0074587296694517136,0.003094881074503064,0.0019782250747084618
Стараюсь делать прививки от гриппа каждый год.,0,0,0,1,0,DI[4],652119,1,0.012997781857848167,0.004322637338191271,0.002610619179904461,0.1739412546157837,0.9567524194717407
"После прививки температуры не было, общее состояние тоже было хорошее.",1,0,0,0,1,EF[9]|Finding[3],652119,6,0.947578489780426,0.002934227464720607,0.0019714217633008957,0.995305597782135,0.31839942932128906
Сильных ОРВИ не было (прошло 2 мес.,0,0,0,0,1,Finding[5],652119,7,0.05248500034213066,0.03145848587155342,0.0012923218309879303,0.9988166093826294,0.024097910150885582
"), но было фарингит (красное горло) - сидели на больничном.",0,0,0,1,0,DI[6],652119,8,0.0032060868106782436,0.002253781771287322,0.0032384847290813923,0.9934666752815247,0.0160899069160223
Первый раз почувствовала недомогания - УЖАСНО болели мышцы на ногах (ниже колен) и на руках - от локтей до кончиков пальцев.,0,0,1,0,0,ADR[7],652119,10,0.006297205574810505,0.0010980144143104553,0.627846896648407,0.9927240014076233,0.02505742572247982
Т. к. мышечная боль - симптом гриппа - то объяснила себе боли иммунизацией организма.,0,0,1,1,0,ADR[8]|DI[1],652119,14,0.003000878496095538,0.0022243433631956577,0.005978071130812168,0.9954413175582886,0.053448304533958435
"Надеюсь, гриппом болеть не буду.",0,0,0,1,0,DI[2],652119,16,0.059881024062633514,0.0044640107080340385,0.0005037817172706127,0.5437261462211609,0.7391934990882874
делала в сентябре.,0,0,0,0,0,NEUTRAL,652119,5,0.0013405686477199197,0.0008712287526577711,0.008978956378996372,0.001462979824282229,0.0006352511700242758
"Мы начинаем прием ""ударной дозы"" при первых признаках простуды, и как ни странно (возможно, это самовнушение), но он помогает.",1,0,0,1,0,EF[6]|DI[5],639476,2,0.99819415807724,0.007987258024513721,0.0144355408847332,0.9928994178771973,0.011468818411231041
"Заболевание протекает менее выраженно, ребенок чувствует себя хорошо, не лежит весь день от усталости.",1,0,0,0,1,EF[3]|Finding[4],639476,3,0.9950870871543884,0.0015803884016349912,0.013418157584965229,0.020406175404787064,0.1284264773130417
"У нас бывает, что простуда начинается снова через перу месяцев, тогда пьем что-то другое.",0,0,0,1,0,DI[2],639476,9,0.004037956707179546,0.0172114297747612,0.0022096300963312387,0.994293749332428,0.0022449444513767958
"А так даже для профилактики берем, особенно в осенне-зимний период.",0,0,0,1,0,DI[1],639476,10,0.010296816006302834,0.0057511404156684875,0.0025375564582645893,0.9959210157394409,0.0023338310420513153
"В какой-то мере Анаферон относится к гомеопатии, а такие препараты, как известно, действую очень медленно в плане лечения, но зато эффективно, заставляя организм бороться с вирусом самостоятельно.",0,0,0,0,0,NEUTRAL,639476,6,0.0016738548874855042,0.0028788859490305185,0.0006782169220969081,0.004271236713975668,0.02575555630028248
"Я большой противник всех ... феронов, т. к. они подавляют иммунитет.",0,0,0,0,1,Finding[5],884467,1,0.002998213516548276,0.0029970062896609306,0.0021349885500967503,0.4024037718772888,0.8306488990783691
"И рассказывает, что просто невозможно стало: то старший ребенок из школы простуду принесет, вся семья болеет.",0,0,0,1,0,DI[4],884467,4,0.0022018160670995712,0.004749484825879335,0.0014492954360321164,0.9868983030319214,0.0071554407477378845
"То муж на работе грипп подхватит, и снова все болеют.",0,0,0,1,0,DI[1],884467,5,0.006913158111274242,0.038804542273283005,0.0005171036464162171,0.9890791773796082,0.09623435139656067
Мазать носики всех членам семьи в простудный и гриппозный период.,0,0,0,1,0,DI[3],884467,8,0.004536990541964769,0.002030831528827548,0.0028065277729183435,0.987439751625061,0.0021851095370948315
"Общее впечатление : Похоже, и правда помогает от вирусов RATING 3 NOTE",1,0,0,0,0,EF[2],884467,11,0.03495728597044945,0.002190978964790702,0.000842325622215867,0.0009565773070789874,0.0009061879827640951
"Применять их, я считаю, нужно в крайнем случае.",0,0,0,0,0,NEUTRAL,884467,2,0.0022929070983082056,0.0008894521160982549,0.0014540530974045396,0.0028589144349098206,0.0005464061396196485
"Раньше я никогда не принимала успокаивающие, только что разве на ночь, когда не могла заснуть.",0,0,0,1,0,DI[3],2491250,1,0.0004391932743601501,0.005408045835793018,0.007813379168510437,0.9299986362457275,0.10360731929540634
"Недавно мне поставили диагноз невроз и я поняла все"" прелести"" заболевания нервной системы-это кошмар.",0,0,0,1,0,DI[1],2491250,2,0.0033165435306727886,0.006284447852522135,0.0032932672183960676,0.9947197437286377,0.003372771432623267
"Начали мучить сердцебиения, раздражительность, плаксивость, бессонница.",0,0,0,1,0,DI[7],2491250,3,0.0044813742861151695,0.004226838704198599,0.9985228180885315,0.012250885367393494,0.0022676996886730194
"К сожалению хочу сказать, что при действительно серьезных проблемах с нервной системой она оказалась бесполезной, все равно что ""мертвому припарка"".",0,1,0,0,0,INF[4],2491250,5,0.01816432550549507,0.9488348364830017,0.009372062049806118,0.9964700937271118,0.0046346476301550865
"Даже уснуть не помогает, нужно более сильное средство.",0,1,0,1,0,INF[5]|DI[2],2491250,6,0.02595929242670536,0.9973445534706116,0.008389957249164581,0.9621776342391968,0.013837237842381
"А так если чисто расстроился, расплакался временно, кто то обидел, то вполне поможет успокоиться.",0,0,0,0,1,Finding[6],2491250,7,0.3303844630718231,0.007127220276743174,0.040624603629112244,0.9995961785316467,0.013806261122226715
Время использования: много раз,0,0,0,0,0,NEUTRAL,2491250,8,0.0015721980016678572,0.0008583961753174663,0.002347493777051568,0.00259348563849926,0.0005524797597900033
"Так как имела проблемы с засыпанием, повышенную активность в течение дня.",0,0,0,1,0,DI[1],2404812,2,0.006405135150998831,0.0026639276184141636,0.0075680711306631565,0.9946925044059753,0.001948720309883356
Одной из причин моего психического расстройства врачи признали применение данного препарата.,0,0,0,1,0,DI[2],2404812,4,0.003371016588062048,0.0027739808429032564,0.004706498235464096,0.9922602772712708,0.0025714270304888487
А также барбовал провоцирует нарушения женского здоровья.,0,0,1,0,0,ADR[3],2404812,6,0.0010356178972870111,0.0014445747947320342,0.28317174315452576,0.0004517070483416319,0.04177932068705559
"Хочу предостеречь любителей растительных препаратов, т. к барбовал содержит фенобарбитал, вызывающий привыкание (похлеще, чем наркотические средства).",0,0,1,0,0,ADR[4],2404812,7,0.009218803606927395,0.009145829826593399,0.03784850612282753,0.011052661575376987,0.9853838086128235
Лечитесь с умом!,0,0,0,0,0,NEUTRAL,2404812,8,0.004189974162727594,0.0015028748894110322,0.0009727580472826958,0.0025656011421233416,0.00048007091390900314
"Средство эффективное, иммунный ответ возрастает чуть ли не с первого дня применения, эффект при грамотном курсовом приеме длится 2-3 месяца.",1,0,0,0,0,EF[1],565283,2,0.9991569519042969,0.005224934313446283,0.009866085834801197,0.06635156273841858,0.009017931297421455
"Простым языком: если вы через 5-6 месяцев не повторите курс, то в этот момент риск подхватить инфекционное заболевание повышается, т. е. это сбивает естественные иммунные настройки организма.",0,0,0,0,1,Finding[2],565283,9,0.7863702178001404,0.0006016570259816945,0.0012653563171625137,0.9585402011871338,0.1753566712141037
Побочек при приеме не наблюдалось.,0,0,0,0,0,NEUTRAL,565283,3,0.0025777209084481,0.0028106810059398413,0.0011384370736777782,0.000846643524710089,0.0020608403719961643
"На четвертый раз-второй день, у сына начался пристуобразный кашель, нос полностью перестал дышать(отек носа), сын начал тереть горло как будто и там отек произошел.",0,0,1,1,0,ADR[2]|DI[3],2439532,4,0.0142949428409338,0.06650061905384064,0.9989724159240723,0.471098929643631,0.011672941036522388
Он просто стал задыхаться.,0,0,1,0,0,ADR[4],2439532,5,0.001448358641937375,0.00942249596118927,0.08690725266933441,0.2911027669906616,0.0005026176222600043
Я быстро дала Зиртек(от аллергии)-можно сказать впихнула ложку с лекарством и через некоторое время все прошло как будто ничего и не было.,0,0,0,1,0,DI[1],2439532,6,0.9639717936515808,0.011825122870504856,0.00410236744210124,0.00470470916479826,0.24138180911540985
Читайте побочные эффекты.,0,0,0,0,0,NEUTRAL,2439532,10,0.0014096066588535905,0.000930719543248415,0.0017594258533790708,0.002582003129646182,0.0007327588391490281
"Людям, когда бывает плохо - депрессия, ухудшение, нарушение сна, прибегают к таблеткам, с желанием избавиться от плохого самочувствия.",0,0,0,1,0,DI[2],877448,1,0.0023415223695337772,0.004190127830952406,0.003868694417178631,0.9944986701011658,0.007305909879505634
"Когда принимаешь его, кружится голова, давление скачет и если принимаешь продолжительное время, самое неприятное попадаешь в зависимость.",0,0,1,0,0,ADR[3],877448,5,0.002469382481649518,0.004569775890558958,0.9985587000846863,0.006064930465072393,0.0033634575083851814
"не станет лучше и не можешь без него, отечность.",0,0,1,0,0,ADR[4],877448,6,0.00037847241037525237,0.007836145348846912,0.9795767068862915,0.0010720433201640844,0.01102796196937561
"Не лучше ли обратиться к травам (хмель в подушку настои успокоительных трав, валериану и т. д)Мне очень помогла методика Сильва (медитация) при чем когда переживала большое горе, потерю родного человека ( не могла спать, страх).",0,0,0,0,1,Finding[1],877448,7,0.5487521886825562,0.0008875837083905935,0.027777813374996185,0.9934737086296082,0.002679991303011775
"Общее впечатление : Лучше не ис пользовать Амитриптилин,от него лучше будет временно.",0,0,0,0,0,NEUTRAL,877448,9,0.09268287569284439,0.004097216296941042,0.002844785340130329,0.0006842713919468224,0.0005239105084910989
Как то простыла я на работе.,0,0,0,1,0,DI[4],893239,1,0.005114983767271042,0.005242510698735714,0.002420947188511491,0.9918298125267029,0.0017042964464053512
