sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
"I became nervous, Moody, just a little something-immediately screeching, to the grandparents does not go, everything is next to me and on the handles... Hard( and after all, before the nursery it was an active, sociable and cheerful baby... Doctors advised to drink a sedative.",0,0,0,1,1,DI[3]|Finding[1],252298,4,0.04002813622355461,0.0031663598492741585,0.336211621761322,0.0004817303561139852,0.0003987093223258853
"After a week of taking the baby, it's easier to stay in the garden, and even though we still cry there, the process of getting used to it is a little easier.",1,0,0,0,0,EF[2],252298,7,0.9438313841819763,0.0036483313888311386,0.011138534173369408,0.004050435032695532,0.0013613500632345676
"I am very happy that the tablets are not bitter, I dissolve them in water and my daughter has no problems drinking them without drinking water.",0,0,0,0,0,NEUTRAL,252298,8,0.0025269854813814163,0.0019745032768696547,0.0033160627353936434,0.0017787342658266425,0.002138086361810565
"And so with the appearance of a child in our family and frequent colds and viral diseases in our medicine Cabinet for a long time and firmly settled ""Aflubin"".",0,0,0,1,0,DI[1],2457636,2,0.0020270003005862236,0.00273373955860734,0.0024860838893800974,0.0020332045387476683,0.0037028223741799593
"The disease receded a little, but then came with a new force and no longer what Aflubin """" did not help (although we drank it for prevention for a whole month).""",0,1,0,1,0,INF[3]|DI[2],2457636,5,0.004047689493745565,0.3529036343097687,0.005475562531501055,0.0015493967803195119,0.004567260853946209
Sometimes it seemed that viruses are used to the drug and simply do not respond to it.,0,1,0,0,0,INF[4],2457636,6,0.0020597607363015413,0.0023145899176597595,0.0032181080896407366,0.0014735471922904253,0.0017968870233744383
Well can not say completely useless but we are in the long-term use stopped to help at all.,0,0,0,0,0,NEUTRAL,2457636,1,0.002388695254921913,0.003916038200259209,0.0036930199712514877,0.0010944344103336334,0.001148481504060328
I've tried a lot of cold remedies.,0,0,0,1,0,DI[1],902248,1,0.0016210605390369892,0.00215896125882864,0.003546722698956728,0.002049568109214306,0.0036205758806318045
But the effect was zero.,0,1,0,0,0,INF[2],902248,4,0.003928092774003744,0.6558358669281006,0.017520839348435402,0.0012702485546469688,0.003778962418437004
But I didn't find it working on me.,0,1,0,0,0,INF[3],902248,13,0.035837773233652115,0.9887416958808899,0.018931226804852486,0.010879085399210453,0.028621666133403778
Overall impression: it doesn't help Me.Dislike.,0,1,0,0,0,INF[4],902248,17,0.0030773894395679235,0.8285675644874573,0.2632012367248535,0.0009341139229945838,0.004032294265925884
"At the first symptoms, I take powders.",0,0,0,0,0,NEUTRAL,902248,2,0.0022185146808624268,0.0018760907696560025,0.004879979882389307,0.0011689523234963417,0.0012923964532092214
"After removing a small pappiloma on the face (which reappeared 6 months later), the dermatologist mentioned this drug, said you can try it.",0,0,0,1,0,DI[5],1410682,1,0.0013223496498540044,0.0024920781143009663,0.0020574205555021763,0.004522521980106831,0.00701511325314641
"But after some time, pappiloma on the face began to return again, and even on the fingers of the hands began to appear small tumors.",0,0,0,1,0,DI[8],1410682,3,0.0019310896750539541,0.03486012667417526,0.0013126994017511606,0.007586275693029165,0.03487303853034973
Helped by 120%!,1,0,0,0,0,EF[4],1410682,6,0.9840548634529114,0.0052491771057248116,0.005036911461502314,0.0038646517787128687,0.0031616915948688984
"Pappiloma on the face passed without a trace, neoplasms on the fingers of the hands passed + a wart on the pad of the index finger, which was with me for 10-15 years.",1,0,0,1,1,EF[1]|DI[2]|Finding[6],1410682,7,0.001578770810738206,0.007983356714248657,0.002961086807772517,0.037289757281541824,0.08987005800008774
"Of the side effects, I had a headache and drowsiness.",0,0,1,0,0,ADR[3],1410682,9,0.0012759865494444966,0.0016627919394522905,0.9968805313110352,0.0010012014536187053,0.0014083244604989886
A little hair began to fall out (maybe not because of this).,0,0,1,0,0,ADR[7],1410682,10,0.0012327289441600442,0.0017145582241937518,0.9967935681343079,0.0009346624137833714,0.0013915435411036015
I do not regret it and I am only glad!,0,0,0,0,0,NEUTRAL,1410682,12,0.9040095210075378,0.006607810501009226,0.004935643170028925,0.001931957434862852,0.0009974174899980426
"I took half a tablet half an hour before bed, fell asleep, as if I fell somewhere... after an hour, my eyes opened and it started, my body is burning, my mouth is dry, my tongue sticks to the roof of my mouth, I feel so lethargic.",0,0,1,0,0,ADR[1],828011,2,0.0011573766823858023,0.0014966704184189439,0.9965497255325317,0.0010026457021012902,0.0014943797141313553
"In the end, I drank POLYSORB to wash myself.",0,0,0,0,0,NEUTRAL,828011,3,0.0013461641501635313,0.006552877835929394,0.001967635005712509,0.029717255383729935,0.04771553725004196
"I often suffer from colds, so I buy different antivirals.",0,0,0,1,0,DI[1],2670520,3,0.0017810302088037133,0.0021528219804167747,0.001787195447832346,0.005951396189630032,0.0059070885181427
"The ointment should be placed in each nostril for a few hours, but usually after 15-20 minutes, strong discharge from the nose begins and it has to be cleaned.",0,0,0,1,0,DI[3],2670520,6,0.0007589390152134001,0.0011692446423694491,0.6133058667182922,0.000614157528616488,0.0017348957480862737
"With its help, the runny nose passes faster.",1,0,0,1,0,EF[2]|DI[4],2670520,8,0.392498642206192,0.0009552216506563127,0.05597488209605217,0.01245205756276846,0.0008363205706700683
"The ointment has a convenient packaging, with a wide lid that closes tightly, a thick consistency, I use it with a cotton swab.",0,0,0,0,0,NEUTRAL,2670520,5,0.0012412918731570244,0.0006461232551373541,0.7328859567642212,0.0008619813597761095,0.0005405378760769963
"The next morning, there were rashes on the face and hands, similar to mosquito bites.",0,0,1,0,0,ADR[1],2388814,2,0.0010387151269242167,0.0016461719060316682,0.9966037273406982,0.001084278104826808,0.0015050326474010944
"After cancellation, the rash passed slowly.",0,0,1,0,0,ADR[2],2388814,5,0.001530377077870071,0.04222755506634712,0.12121621519327164,0.2171965390443802,0.048765700310468674
One or two mosquitoes couldn't do that.,0,0,0,0,0,NEUTRAL,2388814,3,0.0015473599778488278,0.0013030122499912977,0.019115371629595757,0.0008035651408135891,0.0009090061648748815
"By the way, the pills helped somewhat reduce the symptoms of the disease.",1,0,0,0,0,EF[1],2732826,6,0.9908896088600159,0.010096408426761627,0.0037691770121455193,0.005194604396820068,0.004416690208017826
"These tablets are used as an antibiotic, or rather an antiviral agent.",0,0,0,0,0,NEUTRAL,2732826,3,0.0015514222905039787,0.004899243358522654,0.0021727229468524456,0.007091840263456106,0.010264541953802109
"If I lay at home and was ill, I would not have noticed the side effects, namely drowsiness, when I lay at home next time with SARS, I slept perfectly.",0,0,1,1,0,ADR[3]|DI[1],2800633,4,0.0016304790042340755,0.001721286796964705,0.9971700310707092,0.0008961124112829566,0.0015250848373398185
"But if you carry the disease on your feet, then this is not Your vehicle and God forbid, if you are driving a vehicle, there is a warning on the package... Since I was carrying the disease on my feet, after drinking 2 tablets during the working day, an hour after applying the latter, I began to ""knock out"" in a minibus, I had to pinch my hand)))) In my life, I used it 2 times personally for myself, I did not give it to my family members at all.",0,0,1,0,0,ADR[2],2800633,5,0.0015880927676334977,0.003335001412779093,0.003093158593401313,0.002926240675151348,0.008744735270738602
"In the sotave of the drug: paracetamol, cetirizine hydrochloride, chlorpheniramine maleate, dextromethorphan hydrobromide.",0,0,0,0,0,NEUTRAL,2800633,3,0.0013966010883450508,0.002483673859387636,0.0021866080351173878,0.003945481963455677,0.009593559429049492
"I get sick quite often, and I have to somehow fight a cold.",0,0,0,1,0,DI[2],2492997,1,0.0007782646571286023,0.0012347119627520442,0.9894464612007141,0.000707295082975179,0.0008808260899968445
"""Altabor "" I began to use for colds constantly and here are my observations: - it works slowly, that is, for those people who go to work and require a quick analgesic effect, this drug will not work; - speaking of pain relief-in this regard, the drug does not work in any way - only gradual treatment; - the composition, of course, pleased - on herbs and only binding components, which is extremely suitable for treatment; General treatment lasts up to 5 days - during this time, the sore throat passes completely and inflammation, too.",1,1,0,1,0,INF[4]|EF[3]|DI[1],2492997,3,0.022652454674243927,0.019028760492801666,0.9907861948013306,0.00037931313272565603,0.0012376450467854738
