sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
"I became nervous, Moody, just a little something-immediately screeching, to the grandparents does not go, everything is next to me and on the handles... Hard( and after all, before the nursery it was an active, sociable and cheerful baby... Doctors advised to drink a sedative.",0,0,0,1,1,DI[3]|Finding[1],252298,4,6.330516043817624e-05,7.66416997066699e-05,0.9983230233192444,0.007297681178897619,0.012744120322167873
"After a week of taking the baby, it's easier to stay in the garden, and even though we still cry there, the process of getting used to it is a little easier.",1,0,0,0,0,EF[2],252298,7,0.0009427880286239088,0.0001451220305170864,0.014144610613584518,0.006131256930530071,0.0010741987498477101
"I am very happy that the tablets are not bitter, I dissolve them in water and my daughter has no problems drinking them without drinking water.",0,0,0,0,0,NEUTRAL,252298,8,0.00116222002543509,0.00010039757762569934,0.0027792409528046846,0.03852568939328194,0.004889979492872953
"And so with the appearance of a child in our family and frequent colds and viral diseases in our medicine Cabinet for a long time and firmly settled ""Aflubin"".",0,0,0,1,0,DI[1],2457636,2,0.0013905109371989965,0.0029154170770198107,0.6943372488021851,0.02640395425260067,0.9499030113220215
"The disease receded a little, but then came with a new force and no longer what Aflubin """" did not help (although we drank it for prevention for a whole month).""",0,1,0,1,0,INF[3]|DI[2],2457636,5,0.00020095874788239598,0.0019499199697747827,0.9946516752243042,0.008383659645915031,0.0024288243148475885
Sometimes it seemed that viruses are used to the drug and simply do not respond to it.,0,1,0,0,0,INF[4],2457636,6,0.00037611403968185186,0.00029559616814367473,0.0790364146232605,0.031132947653532028,0.8699998259544373
Well can not say completely useless but we are in the long-term use stopped to help at all.,0,0,0,0,0,NEUTRAL,2457636,1,0.000236575462622568,0.0001434780569979921,0.0017069221939891577,0.033486124128103256,0.002308437367901206
I've tried a lot of cold remedies.,0,0,0,1,0,DI[1],902248,1,0.0006815054803155363,0.0005648036603815854,0.1195877343416214,0.04966343939304352,0.9311925172805786
But the effect was zero.,0,1,0,0,0,INF[2],902248,4,1.6763719031587243e-05,1.4035263120604213e-05,0.9313242435455322,0.0016881620977073908,0.005516962613910437
But I didn't find it working on me.,0,1,0,0,0,INF[3],902248,13,0.0005513053620234132,0.025252681225538254,0.010799114592373371,0.005448171403259039,0.005421831738203764
Overall impression: it doesn't help Me.Dislike.,0,1,0,0,0,INF[4],902248,17,0.00012666564725805074,0.00012571504339575768,0.9980283379554749,0.0014166987966746092,0.0013790655648335814
"At the first symptoms, I take powders.",0,0,0,0,0,NEUTRAL,902248,2,1.9894041543011554e-05,1.0983908396156039e-05,0.8925237655639648,0.0021568965166807175,0.00893891416490078
"After removing a small pappiloma on the face (which reappeared 6 months later), the dermatologist mentioned this drug, said you can try it.",0,0,0,1,0,DI[5],1410682,1,2.782887895591557e-05,2.185714583902154e-05,0.12471827119588852,0.0749690979719162,0.024000031873583794
"But after some time, pappiloma on the face began to return again, and even on the fingers of the hands began to appear small tumors.",0,0,0,1,0,DI[8],1410682,3,0.0005884295678697526,0.0005704067880287766,0.8667864203453064,0.02124844118952751,0.8441110253334045
Helped by 120%!,1,0,0,0,0,EF[4],1410682,6,0.009770995937287807,7.398347952403128e-05,0.005847024731338024,0.0023638096172362566,0.0016289543127641082
"Pappiloma on the face passed without a trace, neoplasms on the fingers of the hands passed + a wart on the pad of the index finger, which was with me for 10-15 years.",1,0,0,1,1,EF[1]|DI[2]|Finding[6],1410682,7,0.0003738818340934813,0.00011342002835590392,0.9975138902664185,0.0013119501527398825,0.0012289562728255987
"Of the side effects, I had a headache and drowsiness.",0,0,1,0,0,ADR[3],1410682,9,0.0002742935321293771,0.00013118294009473175,0.9980624318122864,0.001135519822128117,0.0010629897005856037
A little hair began to fall out (maybe not because of this).,0,0,1,0,0,ADR[7],1410682,10,0.0001622995623620227,0.00012036570115014911,0.9984676241874695,0.0015091684181243181,0.001328134909272194
I do not regret it and I am only glad!,0,0,0,0,0,NEUTRAL,1410682,12,0.0032125026918947697,5.060131661593914e-05,0.017566610127687454,0.0013093343004584312,0.0009720686939544976
"I took half a tablet half an hour before bed, fell asleep, as if I fell somewhere... after an hour, my eyes opened and it started, my body is burning, my mouth is dry, my tongue sticks to the roof of my mouth, I feel so lethargic.",0,0,1,0,0,ADR[1],828011,2,0.0002199517039116472,0.0001320854207733646,0.9984800219535828,0.0013423599302768707,0.0012792294146493077
"In the end, I drank POLYSORB to wash myself.",0,0,0,0,0,NEUTRAL,828011,3,0.004726249258965254,0.0026735016144812107,0.005893196910619736,0.9604913592338562,0.013438663445413113
"I often suffer from colds, so I buy different antivirals.",0,0,0,1,0,DI[1],2670520,3,0.001362239709123969,0.0009202157380059361,0.0031237509101629257,0.21014326810836792,0.8489654660224915
"The ointment should be placed in each nostril for a few hours, but usually after 15-20 minutes, strong discharge from the nose begins and it has to be cleaned.",0,0,0,1,0,DI[3],2670520,6,0.00020391090947669,0.0001418686588294804,0.9987444877624512,0.0017062901752069592,0.0014867186546325684
"With its help, the runny nose passes faster.",1,0,0,1,0,EF[2]|DI[4],2670520,8,0.0003108463133685291,6.342613050946966e-05,0.992787778377533,0.0012338896049186587,0.0008014605264179409
"The ointment has a convenient packaging, with a wide lid that closes tightly, a thick consistency, I use it with a cotton swab.",0,0,0,0,0,NEUTRAL,2670520,5,0.0009679902577772737,0.0007606917060911655,0.043024953454732895,0.06538455188274384,0.9352715611457825
"The next morning, there were rashes on the face and hands, similar to mosquito bites.",0,0,1,0,0,ADR[1],2388814,2,0.00018661060312297195,0.00044413626892492175,0.9983612895011902,0.06431587785482407,0.09067485481500626
"After cancellation, the rash passed slowly.",0,0,1,0,0,ADR[2],2388814,5,0.0001549355365568772,8.438243821728975e-05,0.9975213408470154,0.0014083191053941846,0.0010841855546459556
One or two mosquitoes couldn't do that.,0,0,0,0,0,NEUTRAL,2388814,3,0.00017100169498007745,0.00013780042354483157,0.7582424879074097,0.029515855014324188,0.7894454598426819
"By the way, the pills helped somewhat reduce the symptoms of the disease.",1,0,0,0,0,EF[1],2732826,6,0.0054000248201191425,8.78508944879286e-05,0.0017963747959583998,0.0935978814959526,0.0013166656717658043
"These tablets are used as an antibiotic, or rather an antiviral agent.",0,0,0,0,0,NEUTRAL,2732826,3,0.002248668810352683,0.001490795868448913,0.0006243709358386695,0.3986733853816986,0.14917491376399994
"If I lay at home and was ill, I would not have noticed the side effects, namely drowsiness, when I lay at home next time with SARS, I slept perfectly.",0,0,1,1,0,ADR[3]|DI[1],2800633,4,0.00024045116151683033,0.00013566274719778448,0.9988157749176025,0.0017689797095954418,0.00147230364382267
