sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
"I became nervous, Moody, just a little something-immediately screeching, to the grandparents does not go, everything is next to me and on the handles... Hard( and after all, before the nursery it was an active, sociable and cheerful baby... Doctors advised to drink a sedative.",0,0,0,1,1,DI[3]|Finding[1],252298,4,0.000802111579105258,0.0007162757683545351,0.9974199533462524,0.001996447565034032,0.003956858068704605
"After a week of taking the baby, it's easier to stay in the garden, and even though we still cry there, the process of getting used to it is a little easier.",1,0,0,0,0,EF[2],252298,7,0.00109160749707371,0.0010265939636155963,0.161325603723526,0.024770908057689667,0.014596535824239254
"I am very happy that the tablets are not bitter, I dissolve them in water and my daughter has no problems drinking them without drinking water.",0,0,0,0,0,NEUTRAL,252298,8,0.0021748554427176714,0.0020963656716048717,0.03874259814620018,0.0479683056473732,0.08605080842971802
"And so with the appearance of a child in our family and frequent colds and viral diseases in our medicine Cabinet for a long time and firmly settled ""Aflubin"".",0,0,0,1,0,DI[1],2457636,2,0.010927943512797356,0.010284796357154846,0.0047901994548738,0.8632016181945801,0.1713266521692276
"The disease receded a little, but then came with a new force and no longer what Aflubin """" did not help (although we drank it for prevention for a whole month).""",0,1,0,1,0,INF[3]|DI[2],2457636,5,0.004322998691350222,0.003983648959547281,0.10224051028490067,0.801273763179779,0.008516635745763779
Sometimes it seemed that viruses are used to the drug and simply do not respond to it.,0,1,0,0,0,INF[4],2457636,6,0.006825625896453857,0.007306947838515043,0.014498081058263779,0.027639959007501602,0.9151089787483215
Well can not say completely useless but we are in the long-term use stopped to help at all.,0,0,0,0,0,NEUTRAL,2457636,1,0.0005283890059217811,0.00047880655620247126,0.9862762689590454,0.0031533048022538424,0.002547316253185272
I've tried a lot of cold remedies.,0,0,0,1,0,DI[1],902248,1,0.00698725925758481,0.0069101834669709206,0.014820798300206661,0.4200363755226135,0.019404912367463112
But the effect was zero.,0,1,0,0,0,INF[2],902248,4,0.0007035338203422725,0.0006173244910314679,0.9909147024154663,0.001822390127927065,0.002710215048864484
But I didn't find it working on me.,0,1,0,0,0,INF[3],902248,13,0.00094881426775828,0.0008014384657144547,0.9901686906814575,0.001785490894690156,0.003179140854626894
Overall impression: it doesn't help Me.Dislike.,0,1,0,0,0,INF[4],902248,17,0.0005870903842151165,0.0005240860627964139,0.9934945702552795,0.0027161554899066687,0.0024729962460696697
"At the first symptoms, I take powders.",0,0,0,0,0,NEUTRAL,902248,2,0.0003137103340122849,0.00030686179525218904,0.9837024211883545,0.0028086313977837563,0.0034172500018030405
"After removing a small pappiloma on the face (which reappeared 6 months later), the dermatologist mentioned this drug, said you can try it.",0,0,0,1,0,DI[5],1410682,1,0.00144040712621063,0.0014530475018545985,0.4611756503582001,0.10309001058340073,0.005616629496216774
"But after some time, pappiloma on the face began to return again, and even on the fingers of the hands began to appear small tumors.",0,0,0,1,0,DI[8],1410682,3,0.0007296809926629066,0.0007671528146602213,0.3457787334918976,0.015427260659635067,0.11564596742391586
Helped by 120%!,1,0,0,0,0,EF[4],1410682,6,0.0018495251424610615,0.001890796353109181,0.0401122011244297,0.022071735933423042,0.014449847862124443
"Pappiloma on the face passed without a trace, neoplasms on the fingers of the hands passed + a wart on the pad of the index finger, which was with me for 10-15 years.",1,0,0,1,1,EF[1]|DI[2]|Finding[6],1410682,7,0.0013371998211368918,0.0012584463693201542,0.9953977465629578,0.009815914556384087,0.029324648901820183
