sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
But phrase everything became much easier.,0,0,0,0,0,NEUTRAL,877405,4,0.00997323077172041,0.0015722382813692093,0.0013011879054829478,0.0005956011591479182,0.0005418001092039049
My children are not allergic.,0,0,0,0,1,Finding[2],2886803,2,0.0016689784824848175,0.001819137716665864,0.0014492858899757266,0.0010196849470958114,0.000885683752130717
My children after the start of taking this drug had a severe form of drug Allergy.,0,0,1,0,0,ADR[3],2886803,3,0.0007904574740678072,0.0022462799679487944,0.009311912581324577,0.000661548925563693,0.005810622591525316
"While we were in the hospital, the doctor told us that it is after taking this drug that a lot of children are admitted to emergency hospitals with severe allergic reactions.",0,0,1,0,0,ADR[1],2886803,5,0.0014878021320328116,0.001010228181257844,0.0032579293474555016,0.0009287064895033836,0.0029890863224864006
And it leaked very heavily.,0,0,0,0,0,NEUTRAL,2886803,4,0.0009317144867964089,0.00322447600774467,0.9897996187210083,0.0006669526919722557,0.00113227020483464
"As soon as I felt that I was beginning to get sick, usually my nose starts to itch, I often sneeze and have a sore throat, then immediately I put these candles on.",0,0,0,1,0,DI[2],5801040,7,0.0013366293860599399,0.001827854197472334,0.04704444110393524,0.042508065700531006,0.10820244252681732
"In addition to them, I did not start any treatment, and as a rule, everything went away on the third day.",1,0,0,0,0,EF[1],5801040,10,0.0009223326342180371,0.008738401345908642,0.0018948762444779277,0.0008889624732546508,0.002144796773791313
"And now, if my little son starts to get sick, I also put them on, easily and effectively, it always helps.",0,0,0,0,0,NEUTRAL,5801040,13,0.08638527989387512,0.001148402108810842,0.0006757166120223701,0.15449745953083038,0.003604151075705886
"At work the afternoon I felt ill, started vomiting, became ill the whole body.",0,0,0,1,0,DI[1],24065,1,0.0010526753030717373,0.001575494883581996,0.9907580614089966,0.000968723208643496,0.0015296428464353085
"As I knew, these were the first signs of a cold, if I don't take action, I won't be able to get out of bed tomorrow.",0,0,0,1,0,DI[5],24065,2,0.002177064772695303,0.0012208962580189109,0.00472212815657258,0.002765640616416931,0.021527452394366264
I took it according to the instructions and at the end of the working day I felt good.,1,0,0,0,0,EF[3],24065,6,0.7577906847000122,0.0033650656696408987,0.0012252797605469823,0.0013675536029040813,0.0012048135977238417
"For prevention, I took another pill, and now I always carry ""Rinza""with me, you never know what.",0,0,0,1,0,DI[2],24065,8,0.0016116842161864042,0.0014809895073994994,0.001391434925608337,0.0018628573743626475,0.0013413431588560343
"I don't know about you, but in my case helped, so I trust him.",1,0,0,0,0,EF[4],24065,10,0.15112242102622986,0.0014313665451481938,0.0011198187712579966,0.0008174505201168358,0.0007674755761399865
"During lunch I went to the pharmacy where I was advised to buy ""Arbidol"" or ""Rien"", based on the price I bought the second cure.",0,0,0,0,0,NEUTRAL,24065,4,0.0011396089103072882,0.0016514103626832366,0.0019146420527249575,0.001097382279112935,0.0021713711321353912
"Unfortunately, it didn't give any results, and two weeks later we got sick.",0,1,0,0,0,INF[2],217439,4,0.0010856129229068756,0.901908814907074,0.06750374287366867,0.0019590987358242273,0.008494921028614044
