sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
Colds are a very common phenomenon in our time.,0,0,0,0,1,Finding[3],875711,1,0.007908306084573269,0.003915978595614433,0.00511532835662365,0.9641028642654419,0.01373550295829773
every person in their life has caught a cold more than once.,0,0,0,0,1,Finding[4],875711,2,0.0071334075182676315,0.007065925747156143,0.006787395104765892,0.9811998009681702,0.010416140779852867
"Over the years, many different drugs have been invented, and this is not surprising, because the body has such a property as getting used to the drug.",0,0,0,0,1,Finding[5],875711,3,0.005926890764385462,0.006050601601600647,0.00999363698065281,0.011145994998514652,0.011177140288054943
"With another cold, the doctor prescribed this remedy (Amixin).",0,0,0,1,0,DI[6],875711,5,0.014291851781308651,0.009211941622197628,0.008341527543962002,0.9830046892166138,0.004850991070270538
"After a few days, the cold was gone.",1,0,0,1,0,EF[1]|DI[2],875711,8,0.954754114151001,0.015170730650424957,0.013276167213916779,0.9786633253097534,0.013200976885855198
"That is, when the drug eventually ceases to have an effective effect on the body.",0,0,0,0,0,NEUTRAL,875711,4,0.01680518314242363,0.523152768611908,0.010681047104299068,0.0043752253986895084,0.0069758775644004345
"From my personal experience, I can say that the drug only stops the manifestations of colds, relieves the symptoms, but does not cure completely.",0,1,0,1,0,INF[5]|DI[3],2657172,1,0.059798456728458405,0.9511311054229736,0.00898261833935976,0.9680740833282471,0.012949652969837189
"I developed a long-lasting bronchitis, because I thought I had recovered, but in fact only brought down the symptoms and became more ill again only a couple of days after the apparent cure.",0,0,0,1,0,DI[6],2657172,2,0.11385181546211243,0.9167575240135193,0.018469972535967827,0.9935465455055237,0.017512543126940727
"You need to use a comprehensive treatment, warming up and taking medications for cough and runny nose separately.",0,0,0,1,0,DI[2],2657172,4,0.009760145097970963,0.00938716996461153,0.003995415288954973,0.9836730360984802,0.017569316551089287
"The drug is suitable for rapid relief of symptoms and ease of existence, but it is not suitable for recovery.",1,1,0,0,0,INF[1]|EF[4],2657172,5,0.10712339729070663,0.004500746726989746,0.0029769055545330048,0.03196016326546669,0.011537021957337856
The impression is twofold.,0,0,0,0,0,NEUTRAL,2657172,6,0.005956385750323534,0.008047289215028286,0.010677018202841282,0.010884786956012249,0.007314941380172968
Immunoflazid is one of the few drugs that facilitates the course of SARS.,1,0,0,1,0,EF[2]|DI[3],656340,2,0.016552524641156197,0.0069490945897996426,0.005136003717780113,0.9863818883895874,0.010197463445365429
"The drug should be used not only during the disease, but also after, as if to strengthen the immune system.",0,0,0,1,0,DI[1],656340,7,0.014740712940692902,0.0031475273426622152,0.007213553413748741,0.9855475425720215,0.0441364087164402
"How long have tried all sorts of different antiviral drugs on the fingers to count, and every time you go to a drugstore with the recipe, I think maybe that's what we need( Sometimes disappointed in quality, sometimes in price.",0,0,0,0,0,NEUTRAL,656340,1,0.004177367780357599,0.008563976734876633,0.007304730825126171,0.02934580296278,0.0059277950786054134
bought 2 packs assigned to 2 tab.,0,0,1,0,0,ADR[1],668099,6,0.005455972161144018,0.009433919563889503,0.016530169174075127,0.007378411944955587,0.007366958539932966
"a day, for 10 days.",0,0,1,0,0,ADR[4],668099,7,0.00651256088167429,0.015553025528788567,0.014057150110602379,0.007127746473997831,0.00564529886469245
"I had a drink last night, I woke up to feed the baby and I just can't get up.",0,0,1,0,0,ADR[3],668099,8,0.008663691580295563,0.01596897840499878,0.1726773977279663,0.004546636249870062,0.010820964351296425
"The whole day walking like an old lady, limping, dragging the leg behind you!",0,0,1,0,0,ADR[2],668099,11,0.011993047781288624,0.012556876055896282,0.970392107963562,0.009809312410652637,0.023347720503807068
"I read that there may be pain in the muscles, they say a side effect!",0,0,0,0,0,NEUTRAL,668099,13,0.014819781295955181,0.008632797747850418,0.9836390018463135,0.0162966288626194,0.04810378700494766
"My husband is ill with SARS, they bought ingavirin at the pharmacy.",0,0,0,1,0,DI[3],1325273,1,0.011262983083724976,0.0058439262211322784,0.007901032455265522,0.9798857569694519,0.006354267243295908
"The temperature really was asleep, but after taking the third pill began to cough ash to vomit, mandras waves 130 pressure(although pressure is generally had no problems), terrible headache.",1,0,1,1,0,EF[1]|ADR[6]|DI[2],1325273,2,0.04221300780773163,0.033998437225818634,0.9942384958267212,0.2771834433078766,0.02894449420273304
"And head as if going somewhere, Hz where.",0,0,1,0,0,ADR[5],1325273,4,0.00907154195010662,0.023940525949001312,0.9660130143165588,0.01075960323214531,0.023244885727763176
"A terrible drug, do not buy it, before that they drank kagocel, cytovir, which I was tempted to buy... I threw everything away... By the way, when poboochke first gave Lactofiltrum, and then an hour later a tablet for allergies.",0,0,0,0,1,Finding[4],1325273,5,0.0015666793333366513,0.030775776132941246,0.1029021292924881,0.8124896883964539,0.7864867448806763
"It was after the second pill, but I didn't even think about ingavirin, and the next day they didn't take any pills, only ingavirin and it started.",0,0,0,0,0,NEUTRAL,1325273,3,0.0030563578475266695,0.14687073230743408,0.3847154378890991,0.005258544348180294,0.011210274882614613
"I am very afraid of drafts, as a result of which I often get a cold on my lips and eyes.",0,0,0,1,0,DI[5],2412180,1,0.005074210464954376,0.0027307639829814434,0.010161194019019604,0.9619389772415161,0.037140853703022
"For me, the real salvation in such situations was the use of tablets ""Acyclovir Sandoz"", which not only kill the infection but also increase immunity to it.",1,0,0,0,0,EF[3],2412180,2,0.378315269947052,0.005044098012149334,0.0044740429148077965,0.9814218282699585,0.035623420029878616
"Therefore, after a course of treatment, you can live normally for the next 7-8 months without worrying about drafts and viruses.",1,0,0,0,0,EF[1],2412180,3,0.9723443388938904,0.006259088404476643,0.013558393344283104,0.06649541854858398,0.02191282995045185
I have enough when sores appear to take tablets for 2 days as herpes does not leave a trace.,1,0,0,1,0,EF[4]|DI[2],2412180,5,0.9677330255508423,0.03533867374062538,0.010297880508005619,0.9893863201141357,0.02698099985718727
"There is also an ointment with the same name, but it is less effective than tablets, except that they are used in a complex.",0,0,0,0,0,NEUTRAL,2412180,4,0.024084417149424553,0.13924694061279297,0.013604586012661457,0.0026981232222169638,0.004576691891998053
Almost all my family members have sinusitis.,0,0,0,1,0,DI[2],2451820,2,0.005231942515820265,0.009615504182875156,0.008394453674554825,0.9879390001296997,0.018778186291456223
"But for now, what can I say: after I apply it, it becomes easier in the nose, the smell and taste are not unpleasant, and it is not noticeable how it gets into the nose.",1,0,0,0,0,EF[1],2451820,7,0.9862521290779114,0.013577812351286411,0.023038199171423912,0.09880172461271286,0.020427819341421127
"So far, it helps.",1,0,0,0,0,EF[3],2451820,8,0.9757385849952698,0.021047111600637436,0.02806873805820942,0.01000162772834301,0.02216966450214386
