sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
Простудные заболевания - очень распространенное явление в наше время.,0,0,0,0,1,Finding[3],875711,1,0.00344855641014874,0.005562677513808012,0.005246067885309458,0.9759431481361389,0.013414635322988033
каждый человек в своей жизни простужался не по одному разу.,0,0,0,0,1,Finding[4],875711,2,0.006486708298325539,0.007937638089060783,0.005190493538975716,0.9880587458610535,0.008637760765850544
"В течение многих лет изобретено множество различных лекарств и это неудивительно, ведь организм имеет такое свойство, как привыкание к лекарству.",0,0,0,0,1,Finding[5],875711,3,0.00534196337684989,0.006926636211574078,0.013759613037109375,0.004459196701645851,0.1362580806016922
При очередном простудном заболевании врач выписал на это средство (Амиксин).,0,0,0,1,0,DI[6],875711,5,0.007862593047320843,0.007946041412651539,0.00551199447363615,0.9859663844108582,0.0054025957360863686
Через несколько дней от простуды не осталось и следа.,1,0,0,1,0,EF[1]|DI[2],875711,8,0.9148305058479309,0.025144079700112343,0.0029478720389306545,0.9845742583274841,0.01042213011533022
То есть когда препарат со временем перестает оказывать эффективное действие на организм.,0,0,0,0,0,NEUTRAL,875711,4,0.005665347911417484,0.3140328526496887,0.005469165742397308,0.006213134620338678,0.005953729618340731
"По своему личному опыту могу сказать, что препарат лишь купирует проявления простудного заболевания, избавляет от симптомов, но не вылечивает полностью.",0,1,0,1,0,INF[5]|DI[3],2657172,1,0.25561216473579407,0.8148320317268372,0.0028431799728423357,0.9956402778625488,0.03368039429187775
"У меня развился затяжной бронхит, так как я считал, что поправился, а на деле лишь сбил симптомы и заболел сильнее по новой спустя лишь пару дней после казавшегося излечения.",0,0,0,1,0,DI[6],2657172,2,0.07287658751010895,0.21973857283592224,0.005691160913556814,0.9980887770652771,0.013339958153665066
"Нужно использовать комплексное лечение, прогревание и принимать лекарства от кашля и насморка отдельно.",0,0,0,1,0,DI[2],2657172,4,0.013629556633532047,0.006869208533316851,0.0025967848487198353,0.9861391186714172,0.008670053444802761
"Препарат подходит для быстрого снятия симптомов и облегчения существования, но для выздоровления не годится.",1,1,0,0,0,INF[1]|EF[4],2657172,5,0.020202910527586937,0.07203403115272522,0.0006031727534718812,0.09724971652030945,0.008808203041553497
Впечатление двоякое.,0,0,0,0,0,NEUTRAL,2657172,6,0.005628690589219332,0.009347006678581238,0.0057168034836649895,0.015275467187166214,0.0030727526172995567
"Иммунофлазид один из немногих препаратов, который облегчает протекание ОРВИ.",1,0,0,1,0,EF[2]|DI[3],656340,2,0.004663391504436731,0.0035022185184061527,0.004615292884409428,0.9686856865882874,0.06546717882156372
"Препарат желательно применять не только во время болезни, но и после, как бы для подкрепления иммунитета.",0,0,0,1,0,DI[1],656340,7,0.013153808191418648,0.007378226611763239,0.005093408282846212,0.9906705617904663,0.006923167034983635
"Сколько уже было испробовано всяких разных противовирусных препаратов, на пальцах не пересчитать, и каждый раз когда идешь в аптеку с рецептом, думаешь, авось это то что нам надо( Иногда разочаровываешься в качестве, иногда в цене.",0,0,0,0,0,NEUTRAL,656340,1,0.002283634152263403,0.008702692575752735,0.007956305518746376,0.017382562160491943,0.007450025994330645
"купила 2 пачки, назначено по 2 таб.",0,0,1,0,0,ADR[1],668099,6,0.005881397519260645,0.007372829597443342,0.007837117649614811,0.008416975848376751,0.004814515821635723
"в день, 10 дней.",0,0,1,0,0,ADR[4],668099,7,0.020272905007004738,0.004148636478930712,0.004135399591177702,0.019483288750052452,0.0027931544464081526
"Вчера выпила, ночью проснулась чтобы покормить ребенка и понимаю что просто не могу встать.",0,0,1,0,0,ADR[3],668099,8,0.004498952534049749,0.0019296363461762667,0.81131511926651,0.41284891963005066,0.08650579303503036
"Целый день хожу как старенькая бабушка, хромая, волочу ногу за собой!",0,0,1,0,0,ADR[2],668099,11,0.0011553411604836583,0.006019685883074999,0.23000146448612213,0.2094605565071106,0.601442277431488
"Прочитала что могут быть боли в мышцах, мол побочное действие!",0,0,0,0,0,NEUTRAL,668099,13,0.00754093611612916,0.009592816233634949,0.9575400352478027,0.004184466786682606,0.046132441610097885
"Муж болеет орви, в аптеке купили ингавирин.",0,0,0,1,0,DI[3],1325273,1,0.009167192503809929,0.00931432843208313,0.005112123675644398,0.9902997016906738,0.006827118806540966
"Температура правда спала, но после приема третей таблетки начал закашливаться аш до рвоты, мондраш волнами, давление 130(хотя с давлением вообще проблем не было), жуткая головная боль.",1,0,1,1,0,EF[1]|ADR[6]|DI[2],1325273,2,0.270476371049881,0.02642981894314289,0.9899243712425232,0.9490231275558472,0.07026228308677673
"А и ещё голова как будто едит куда-то, х. з куда.",0,0,1,0,0,ADR[5],1325273,4,0.006257804110646248,0.009340540505945683,0.9663336277008057,0.01039192732423544,0.027861542999744415
"Ужасный препарат, не надо его покупать, до этого пили кагоцел, цитовир, чего меня дёрнуло купить... Всё выкинула... Кстате при побочке сначала дала лактофильтрум, а потом через час таблетку от аллергии.",0,0,0,0,1,Finding[4],1325273,5,0.005893774796277285,0.09719011932611465,0.41229063272476196,0.775391161441803,0.9799529314041138
"Это было и после второй таблетки, но я на ингавирин даже не подумала, а на следующий день никаких таблеток не пили только ингавирин и началось.",0,0,0,0,0,NEUTRAL,1325273,3,0.004398715682327747,0.016789749264717102,0.03037896752357483,0.002291544107720256,0.023763330653309822
"Я очень боюсь сквозняков, в результате которых у меня очень часто появляется простуда на губах и глазах.",0,0,0,1,0,DI[5],2412180,1,0.0036979003343731165,0.0056510139256715775,0.007794511038810015,0.9872056245803833,0.04687931016087532
