human_label	predicted_label	class_confidence	doc_id	sent_id	text
NEUTRAL	EF	0.84278363	2433935	7	Через пару месяцев такой случай подвернулся.
EF	INF	0.64325035	826379	14	В общем лекарство хорошее, теперь пользуемся им мы с мужем., но аллергикам не советую.
EF	INF	0.99248296	1133905	7	Итог: препарат работает, но такая работа и её последствия - врагу не пожелаешь!
NEUTRAL	INF	0.8069605	1133905	3	Пил год феназепам, спасибо тетке - поделилась, пока не закончился.
EF	INF	0.9914717	2402827	2	Этот спрей нам иногда помогает, когда уже насморк запущен настолько, что уже ничего не помогает.
EF	INF	0.93907976	2402827	7	Это средство эффективное и пока не подводило.
INF	NEUTRAL	0.9646512	2729929	7	По мне, так это пустышка, которая может обладать только эффектом плацебо.
NEUTRAL	EF	0.99373287	2729929	4	Тенотен должен был оказать успокаивающее и противотревожное действие, но при этом не вызывая сонливости и заторможенности.
INF	EF	0.9940801	807762	1	После него на 4 день с 37,3 у ребенка 4 лет поднялась температура до 38,00, лучше инфлюцид, который действительно помогает!!!
NEUTRAL	EF	0.84331733	807762	2	Общее впечатление : отвратительный RATING 1 NOTE
INF	NEUTRAL	0.5458208	2397151	11	Разочарована, так как пьешь в надежде на хотя бы месячную ремиссию, тратишь деньги(стоит не дешево), о времени и надеждах вообще не упоминаю.
NEUTRAL	INF	0.9162334	2397151	5	Температура выше субфибрильной 37,2 не поднимается, но самочувствие при этом- полная дрянь.
NEUTRAL	INF	0.98815405	2501951	4	Может быть его надо периодически употреблять, не знаю, но это наводит на мысль о его бесполезности.
INF	EF	0.98449373	618939	7	Ощущение предболезненное.
INF	NEUTRAL	0.9456203	618939	12	Возможно это личная непереносимость, но на фоне предыдущего опыта с ваксигриппом ощущения крайне неприятные.
NEUTRAL	EF	0.9934453	656330	8	Поэтому я считаю что мазь малоэффективна.
EF	NEUTRAL	0.98939335	894083	7	Не могу сказать что питаю к Тонзилгону нежные чувства, но препарат однозначно достойный!
NEUTRAL	EF	0.8937146	2389422	7	Ребенок стал болеть пуще прежнего, конечно виной всему адаптация к новому коллективу.
NEUTRAL	EF	0.9920048	2461263	5	И более того с обратным действием - вызывает заложенность и удушье.
INF	NEUTRAL	0.96821827	1484511	8	Пользы нет, зато для щитовидки вред!
NEUTRAL	EF	0.9878957	2396436	3	Когда я читала его инструкцию, для меня стало неожиданностью, что он воздействует не только на работу сердца, но и положительно влияет на другие органы и системы.
INF	NEUTRAL	0.99355894	805646	1	После двух раз применения, с промежутком в 12 часов, получила признаки простуды (обильные выделения из носа (больше справа), чихание, увеличение шейных лимфоузлов).
EF	NEUTRAL	0.73756945	3004353	1	Конкретно успокаивают посильнее иных таблеток.
INF	NEUTRAL	0.9725165	2380047	15	Больше не куплю, деньги на ветер.
INF	NEUTRAL	0.99326044	955050	10	Нет того спокойствия как в танке, как многие утверждали.
NEUTRAL	INF	0.99064296	955050	13	Но для меня Тенотен - нет.
EF	INF	0.6432229	2538754	5	На месяц мне хватило 2х упаковок, пусть он и дороже многих успокоительных средств, но эффект от него есть.
NEUTRAL	INF	0.98781115	2538754	1	Был сложный период в жизни, нервы шалили не на шутку, по ночам не спала .
INF	NEUTRAL	0.9906001	2663330	11	Пили и болели.
NEUTRAL	EF	0.9902914	656261	5	Да и стоимость курса лечения заметно увеличивается исходя из назначаемых доз, накладно как-то.
INF	EF	0.47588784	2544941	7	Да, говорит, мне мама во время вирусов давала, правда толку немного, но не вредит же.
NEUTRAL	INF	0.51753163	2418508	1	Всем привет!
NEUTRAL	EF	0.9854651	2423783	3	И вот по телевизору увидела рекламу о лекарстве "Тенотен" все нахваливают говорят что классный, и в аптеке тоже сказали что препарат хороший.
NEUTRAL	EF	0.8335403	2695437	6	Сам спрей довольно резкий, жжет слизистую некоторое время после нанесения, ребенку не нравится.
EF	NEUTRAL	0.9928925	1740396	7	Результаты стали видны через две недели, каждый день начали появляться новые слова, но был один момент.
EF	NEUTRAL	0.8921871	2445904	3	Она недорогая, простая в применении - всего лишь смазать внутри носа перед выходом из дома, и путь вирусной инфекции в организм закрыт) Ещё ею можно мазать герпетическую сыпь, особенно в комплексе с противовирусными таблетками.
NEUTRAL	EF	0.98964053	2661222	4	Кроме применения лекарственнных препаратов, вечером, перед сном я стараюсь успокоиться, снять эмоциональное напряжение.
EF	NEUTRAL	0.9889403	822369	8	В прошлом году я приняла трехдневный курс лечения "Эргофероном" и полностью вылечилась.
EF	NEUTRAL	0.9926957	822369	9	Таблетки "Эргоферона" кроме лечебного эффекта, являются отличным профилактическим средством.
NEUTRAL	INF	0.96293056	2702457	2	Одним из симптомов моего заболевания-с 5 лет упорная бессонница.
INF	NEUTRAL	0.930641	579743	4	В результате понял, что это не медикаментозный препарат, а банальная биодобавка, от которой толку как с козла молока :) Понял это по НУЛЕВОМУ результату лечения.
EF	NEUTRAL	0.99381703	2460790	6	Результат мы увидели через месяц.
EF	NEUTRAL	0.9667991	2460790	7	Наш малыш начал говорить по два три слова в предложении.
NEUTRAL	INF	0.98727244	950111	7	В составе действительно нет ничего страшного.
INF	NEUTRAL	0.9936154	936675	9	Я говорю, что не действует, а они все равно выписывают.
NEUTRAL	EF	0.76443404	936675	14	Дешевле, но зато как эффективно.
NEUTRAL	EF	0.96249413	2443740	2	нагрузки на учебе, летом толком не отдохнула, погода оставляет желать лучшего.
INF	EF	0.937144	591900	3	Мы пробовали, когда была просто аллергия на непонятный нам продукт - легче не стало.
INF	NEUTRAL	0.992724	591900	6	Я тоже пострадала от укусов комаров летом, тоже мазалась и тоже как чесалась так и чесалась.
EF	INF	0.9924092	832817	8	Правда, осталась еще маленькая ранка, но зато губу не раздуло, не разнесло, дальше герпес не пошел.
NEUTRAL	EF	0.9605715	832817	3	Я какие только средства не перепробовала: и Герпевир, и Зовиракс и еще какое-то средство было, а еще врач мне порекомендовал еще на ранней стадии появления герпеса присушивать его спиртом, вернее спиртовым раствором (кстати, помог).
INF	EF	0.9963426	905423	7	Общее впечатление : И лечились и профилактика фигня!
NEUTRAL	INF	0.9984194	905423	2	Второй раз, заболела я, и хотела подать ребенку противовирусное средство, чтобы не заразился, в итоге заболел малой больше чем я. Стоит этот сироп я бы сказала дорого, а эффекта особо мы не увидели.
