human_label	predicted_label	class_confidence	doc_id	sent_id	text
NEUTRAL	EF	0.99388933	252298	4	Стала нервной, капризной, чуть что -сразу визг, к бабушкам и дедушкам не идет, все рядом со мной да на ручках... Тяжело( А ведь перед яслями это был активный, общительный и жизнерадостный малыш... Врачи посоветовали попить успокоительное.
NEUTRAL	EF	0.9318409	2670520	10	Как всегда желаю вам не болеть.
EF	INF	0.99837506	2402827	2	Этот спрей нам иногда помогает, когда уже насморк запущен настолько, что уже ничего не помогает.
EF	INF	0.99855787	2402827	7	Это средство эффективное и пока не подводило.
INF	NEUTRAL	0.99482024	2729929	7	По мне, так это пустышка, которая может обладать только эффектом плацебо.
NEUTRAL	INF	0.9985329	2729929	8	Поэтому лично я не рекомендую.
INF	EF	0.9989178	807762	1	После него на 4 день с 37,3 у ребенка 4 лет поднялась температура до 38,00, лучше инфлюцид, который действительно помогает!!!
NEUTRAL	EF	0.993083	2501951	2	Ребенок пошел в детский сад, а это постоянные сопли, кашель, постоянные больничные (2-4 дня ходим, 2 недели болеем), и вот в аптеке мне посоветовали препарат "Иммунал", как прекрасное средство для повышения иммунитета.
INF	EF	0.9438321	618939	7	Ощущение предболезненное.
INF	NEUTRAL	0.9983089	656330	12	Общее впечатление : Малоэффективный препарат RATING 3 NOTE
NEUTRAL	EF	0.97163266	656330	5	Поэтому мы старались больше пяти дней ею нос не мазать.
INF	EF	0.9989017	2461263	5	И более того с обратным действием - вызывает заложенность и удушье.
INF	NEUTRAL	0.9981336	1484511	8	Пользы нет, зато для щитовидки вред!
NEUTRAL	EF	0.9988495	2396436	3	Когда я читала его инструкцию, для меня стало неожиданностью, что он воздействует не только на работу сердца, но и положительно влияет на другие органы и системы.
INF	EF	0.99847275	805646	1	После двух раз применения, с промежутком в 12 часов, получила признаки простуды (обильные выделения из носа (больше справа), чихание, увеличение шейных лимфоузлов).
NEUTRAL	EF	0.99872786	805646	3	Прижигаю 3% перекисью водорода, выпила 1 таб Флюконазола, капаю в нос сок алоэ.
NEUTRAL	EF	0.98808694	3004353	4	Надеюсь пройдет
NEUTRAL	EF	0.99624085	2706058	2	Анализы крови показали низкий иммунитет и наличие вируса Эпштайна-Барр.
INF	NEUTRAL	0.99452245	2380047	15	Больше не куплю, деньги на ветер.
NEUTRAL	EF	0.6971975	2438938	6	Раньше я на работе очень сильно нервничала, но моя работа связана с людьми, так что стрессы мне были не уместны.
INF	EF	0.99870527	955050	10	Нет того спокойствия как в танке, как многие утверждали.
NEUTRAL	EF	0.9980609	955050	7	Реклама, конечно, сыграла свою роль.
NEUTRAL	INF	0.9981584	913556	2	Пришла с работы - слезы градом, насморк такой, что носового платка на раз не хватает.
INF	EF	0.99838364	2423783	7	Пропила курс таблеток, выпила всю пачку и эффекта ноль.
NEUTRAL	EF	0.99876606	2420568	6	Рекомендую.
NEUTRAL	EF	0.9841457	1740396	4	Следующее узи показало полный порядок.
EF	NEUTRAL	0.9967816	2410110	9	Фармацевт посоветовала спрей Гриппферон, уверяла что очень эффективное средство способствует профилактике и лечению гриппа и ОРВИ.
EF	NEUTRAL	0.99920076	822369	9	Таблетки "Эргоферона" кроме лечебного эффекта, являются отличным профилактическим средством.
EF	NEUTRAL	0.71461433	2702457	6	И лишь только азалептин-хорошо справляется с бессонницей но имеет побочных меньше чем аминазин.
NEUTRAL	EF	0.9699981	2460790	9	Цена его конечно немного кусается но видя результат можно и потратить такие деньги.
