#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=webanno.custom.SentenceLink|referenceRelation|referenceType


#Text=Первый раз столкнулся с препаратом когда лечили бабушку, уже довольно пожилая и возможно по-старости ее последнее время беспокоила гипертония.
1-1	0-6	Первый	_	_	_	_	
1-2	7-10	раз	_	_	_	_	
1-3	11-21	столкнулся	_	_	_	_	
1-4	22-23	с	_	_	_	_	
1-5	24-34	препаратом	_	_	_	_	
1-6	35-40	когда	_	_	_	_	
1-7	41-47	лечили	_	_	_	_	
1-8	48-55	бабушку	_	_	_	_	
1-9	55-56	,	_	_	_	_	
1-10	57-60	уже	_	_	_	_	
1-11	61-69	довольно	_	_	_	_	
1-12	70-77	пожилая	_	_	_	_	
1-13	78-79	и	_	_	_	_	
1-14	80-88	возможно	_	_	_	_	
1-15	89-100	по-старости	_	_	_	_	
1-16	101-103	ее	_	_	_	_	
1-17	104-113	последнее	_	_	_	_	
1-18	114-119	время	_	_	_	_	
1-19	120-130	беспокоила	_	_	_	_	
1-20	131-141	гипертония	*	DI	_	_	
1-21	141-142	.	_	_	_	_	

#Text=Принимала таблетки, но в одно время стался микро-инсульт и парализовало левую сторону, так вот одним из препаратов был у нее кавинтон.
2-1	143-152	Принимала	_	_	_	_	
2-2	153-161	таблетки	*	Drugform	_	_	
2-3	161-162	,	_	_	_	_	
2-4	163-165	но	_	_	_	_	
2-5	166-167	в	_	_	_	_	
2-6	168-172	одно	_	_	_	_	
2-7	173-178	время	_	_	_	_	
2-8	179-185	стался	_	_	_	_	
2-9	186-199	микро-инсульт	*	DI	_	_	
2-10	200-201	и	_	_	_	_	
2-11	202-214	парализовало	*[1]	DI[1]	_	_	
2-12	215-220	левую	*[1]	DI[1]	_	_	
2-13	221-228	сторону	*[1]	DI[1]	_	_	
2-14	228-229	,	_	_	_	_	
2-15	230-233	так	_	_	_	_	
2-16	234-237	вот	_	_	_	_	
2-17	238-243	одним	_	_	_	_	
2-18	244-246	из	_	_	_	_	
2-19	247-257	препаратов	_	_	_	_	
2-20	258-261	был	_	_	_	_	
2-21	262-263	у	_	_	_	_	
2-22	264-267	нее	_	_	_	_	
2-23	268-276	кавинтон	*	Drugname	_	_	
2-24	276-277	.	_	_	_	_	

#Text=Около двух лет кололи всевозможные препараты и было хорошее комплексное лечение, но результат все-равно был слабым, немного отпустило, но руку и ногу бабушке до конца не отпустило.
3-1	278-283	Около	_	_	*->5-1|*->2-1	EF[5]|INF[2]	
3-2	284-288	двух	_	_	*->5-1|*->2-1	EF[5]|INF[2]	
3-3	289-292	лет	_	_	*->5-1|*->2-1	EF[5]|INF[2]	
3-4	293-299	кололи	_	_	*->5-1|*->2-1	EF[5]|INF[2]	
3-5	300-312	всевозможные	_	_	*->5-1|*->2-1	EF[5]|INF[2]	
3-6	313-322	препараты	_	_	*->5-1|*->2-1	EF[5]|INF[2]	
3-7	323-324	и	_	_	*->5-1|*->2-1	EF[5]|INF[2]	
3-8	325-329	было	_	_	*->5-1|*->2-1	EF[5]|INF[2]	
3-9	330-337	хорошее	_	_	*->5-1|*->2-1	EF[5]|INF[2]	
3-10	338-349	комплексное	_	_	*->5-1|*->2-1	EF[5]|INF[2]	
3-11	350-357	лечение	_	_	*->5-1|*->2-1	EF[5]|INF[2]	
3-12	357-358	,	_	_	*->5-1|*->2-1	EF[5]|INF[2]	
3-13	359-361	но	_	_	*->5-1|*->2-1	EF[5]|INF[2]	
3-14	362-371	результат	_	_	*->5-1|*->2-1	EF[5]|INF[2]	
3-15	372-381	все-равно	_	_	*->5-1|*->2-1	EF[5]|INF[2]	
3-16	382-385	был	_	_	*->5-1|*->2-1	EF[5]|INF[2]	
3-17	386-392	слабым	_	_	*->5-1|*->2-1	EF[5]|INF[2]	
3-18	392-393	,	_	_	*->5-1|*->2-1	EF[5]|INF[2]	
3-19	394-401	немного	_	_	*->5-1|*->2-1	EF[5]|INF[2]	
3-20	402-411	отпустило	_	_	*->5-1|*->2-1	EF[5]|INF[2]	
3-21	411-412	,	_	_	*->5-1|*->2-1	EF[5]|INF[2]	
3-22	413-415	но	_	_	*->5-1|*->2-1	EF[5]|INF[2]	
3-23	416-420	руку	_	_	*->5-1|*->2-1	EF[5]|INF[2]	
3-24	421-422	и	_	_	*->5-1|*->2-1	EF[5]|INF[2]	
3-25	423-427	ногу	_	_	*->5-1|*->2-1	EF[5]|INF[2]	
3-26	428-435	бабушке	_	_	*->5-1|*->2-1	EF[5]|INF[2]	
3-27	436-438	до	_	_	*->5-1|*->2-1	EF[5]|INF[2]	
3-28	439-444	конца	_	_	*->5-1|*->2-1	EF[5]|INF[2]	
3-29	445-447	не	_	_	*->5-1|*->2-1	EF[5]|INF[2]	
3-30	448-457	отпустило	_	_	*->5-1|*->2-1	EF[5]|INF[2]	
3-31	457-458	.	_	_	*->5-1|*->2-1	EF[5]|INF[2]	

#Text=Сам лично столкнулся с препаратом в кабинете у лора, беспокоил шум в ушах и к моему удивлению мне был прописан кавинтон форте.
4-1	459-462	Сам	_	_	_	_	
4-2	463-468	лично	_	_	_	_	
4-3	469-479	столкнулся	_	_	_	_	
4-4	480-481	с	_	_	_	_	
4-5	482-492	препаратом	_	_	_	_	
4-6	493-494	в	_	_	_	_	
4-7	495-503	кабинете	_	_	_	_	
4-8	504-505	у	_	_	_	_	
4-9	506-510	лора	_	_	_	_	
4-10	510-511	,	_	_	_	_	
4-11	512-521	беспокоил	_	_	_	_	
4-12	522-525	шум	*[2]	DI[2]	_	_	
4-13	526-527	в	*[2]	DI[2]	_	_	
4-14	528-532	ушах	*[2]	DI[2]	_	_	
