synset_id,sense_id,sense_term
118752-N,118752-N-135794,ВЯЛОСТЬ
118752-N,118752-N-137325,ДРЯБЛОСТЬ
8509-N,8509-N-119867,ИШЕМИЯ
8509-N,8509-N-753541,ИШЕМИЧЕСКИЙ БОЛЕЗНЬ СЕРДЦЕ
8509-N,8509-N-115496,ИШЕМИЧЕСКИЙ БОЛЕЗНЬ
143639-N,143639-N-676991,ЭНЦЕФАЛОПАТИЯ
122264-N,122264-N-689970,КОЛИКА
122264-N,122264-N-140321,КОЛИКИ
9489-N,9489-N-119940,ПАНКРЕАТИТ
9489-N,9489-N-679757,ВОСПАЛЕНИЕ ПОДЖЕЛУДОЧНЫЙ ЖЕЛЕЗА
9409-N,9409-N-677097,БЕЛЫЙ КРОВЯНОЙ ТЕЛЬЦЕ
9409-N,9409-N-683729,БЕЛЫЙ КРОВЯНОЙ ШАРИК
9409-N,9409-N-677098,БЕЛЫЙ КРОВЯНОЙ КЛЕТКА
9409-N,9409-N-119751,ЛЕЙКОЦИТ
111192-N,111192-N-136579,ДАВЛЕНИЕ
122219-N,122219-N-136579,ДАВЛЕНИЕ
5767-N,5767-N-104360,КРОВЯНОЙ ДАВЛЕНИЕ
5767-N,5767-N-184114,ДАВЛЕНИЕ КРОВЬ
5767-N,5767-N-100537,АРТЕРИАЛЬНЫЙ ДАВЛЕНИЕ
5767-N,5767-N-136579,ДАВЛЕНИЕ
127111-N,127111-N-174185,ПРЕССИНГ
127111-N,127111-N-136579,ДАВЛЕНИЕ
127111-N,127111-N-202410,НАЖИМ
127111-N,127111-N-109657,ПРЕСС
138943-N,138943-N-205582,ОТКРЫТЫЙ ПЕРЕЛОМ
4774-N,4774-N-749212,ДОСТАВКА В БОЛЬНИЦА
4774-N,4774-N-102604,ГОСПИТАЛИЗАЦИЯ
113386-N,113386-N-135700,ВЫСЫПАНИЕ
113386-N,113386-N-135705,ВЫСЫПКА
124454-N,124454-N-135700,ВЫСЫПАНИЕ
124454-N,124454-N-741807,ПОЯВЛЕНИЕ СЫПЬ
111042-N,111042-N-146572,ПЕРЕЛИВ
111042-N,111042-N-146573,ПЕРЕЛИВАНИЕ
133639-N,133639-N-146573,ПЕРЕЛИВАНИЕ
133639-N,133639-N-204484,ПЕРЕТЕКАНИЕ
133639-N,133639-N-204797,ПЕРЕТОК
133639-N,133639-N-146572,ПЕРЕЛИВ
111043-N,111043-N-146573,ПЕРЕЛИВАНИЕ
111043-N,111043-N-146572,ПЕРЕЛИВ
9635-N,9635-N-119645,ПЕРЕЛИВАНИЕ КРОВЬ
9635-N,9635-N-121689,ТРАНСФУЗИОННЫЙ ТЕРАПИЯ
9635-N,9635-N-121753,ТРАНСФУЗИЯ
9635-N,9635-N-146573,ПЕРЕЛИВАНИЕ
114826-N,114826-N-194491,ЭГОЦЕНТРИЧНОСТЬ
114826-N,114826-N-157985,ЭГОЦЕНТРИЗМ
152549-N,152549-N-142658,МЯГКОСТЬ
119174-N,119174-N-142658,МЯГКОСТЬ
118696-N,118696-N-178347,НЕЖНОСТЬ
118696-N,118696-N-142658,МЯГКОСТЬ
138339-N,138339-N-142658,МЯГКОСТЬ
138339-N,138339-N-731384,МЯГКОСТЬ ХАРАКТЕР
7860-N,7860-N-104790,КЕСАРЕВ СЕЧЕНИЕ
7860-N,7860-N-124960,ЧРЕВОСЕЧЕНИЕ
5802-N,5802-N-213471,ПРОБЛЕМА В РАЗВИТИЕ
5802-N,5802-N-213472,ОТКЛОНЕНИЕ В РАЗВИТИЕ
5802-N,5802-N-115581,НАРУШЕНИЕ УМСТВЕННЫЙ РАЗВИТИЕ
5802-N,5802-N-213470,НАРУШЕНИЕ ИНТЕЛЛЕКТУАЛЬНЫЙ РАЗВИТИЕ
5802-N,5802-N-108061,ОЛИГОФРЕНИЯ
5802-N,5802-N-213983,МАЛОУМИЕ
5802-N,5802-N-217540,УМСТВЕННЫЙ НЕПОЛНОЦЕННОСТЬ
5802-N,5802-N-201826,ИМБЕЦИЛЬНОСТЬ
5802-N,5802-N-113379,УМСТВЕННЫЙ ОТСТАЛОСТЬ
5802-N,5802-N-217552,ИДИОТИЯ
5802-N,5802-N-213982,ЗАДЕРЖКА УМСТВЕННЫЙ РАЗВИТИЕ
5802-N,5802-N-756031,ЗАДЕРЖКА В РАЗВИТИЕ
5802-N,5802-N-119859,ДЕБИЛЬНОСТЬ
119632-N,119632-N-147387,ПОДАВЛЕННОСТЬ
118430-N,118430-N-684123,ТЯЖЕСТЬ НА ДУША
118430-N,118430-N-683825,УГНЕТЕННЫЙ СОСТОЯНИЕ
118430-N,118430-N-189544,ПРИШИБЛЕННОСТЬ
118430-N,118430-N-147387,ПОДАВЛЕННОСТЬ
118430-N,118430-N-166691,УГНЕТЕННОСТЬ
118430-N,118430-N-683826,УДРУЧЕННЫЙ СОСТОЯНИЕ
118430-N,118430-N-160426,УДРУЧЕННОСТЬ
118430-N,118430-N-737441,КАМЕНЬ НА ДУША
118430-N,118430-N-720119,СОСТОЯНИЕ ПОДАВЛЕННОСТЬ
118430-N,118430-N-684125,ДУШЕВНЫЙ ТЯЖЕСТЬ
118430-N,118430-N-683824,ПОДАВЛЕННЫЙ СОСТОЯНИЕ
118430-N,118430-N-737440,КАМЕНЬ НА СЕРДЦЕ
118430-N,118430-N-684124,ТЯЖЕСТЬ НА СЕРДЦЕ
8393-N,8393-N-101469,МЛАДЕНЧЕСТВО
8393-N,8393-N-179782,МЛАДЕНЧЕСКИЙ ВОЗРАСТ
1321-N,1321-N-683576,НЕСОСТОЯТЕЛЬНОСТЬ БАНКРОТСТВО
1321-N,1321-N-715235,ПРИЗНАНИЕ БАНКРОТ
1321-N,1321-N-715347,СФЕРА БАНКРОТСТВО
1321-N,1321-N-100793,БАНКРОТСТВО
1321-N,1321-N-204380,БАНКРОТСТВО НЕСОСТОЯТЕЛЬНОСТЬ
